Song Title,Artists,BPM,Comments,Length

"2 Hard 4 The Radio [Drake][Clean]{Dj Cut 2026}","Drake","106.100000","2020s Rap/Cusp","3:05"

"24 Hours [Clean]","TeeFLii feat. 2 Chainz","100.150000","2020s Rap/Cusp","3:36"

"Act Up: Thot Verse [Dirty] (4 Phrase)","JuneAllYear","96","2020s Rap","2:42"

"Another Great Adventure [Edited]","Slick Rick","106","2020s Rap/Cusp","1:34"

"Another Great Adventure [Explicit]","Slick Rick","106","2020s Rap/Cusp","1:34"

"bad [Edited] [Dj Cut 2025]","310babii & James Brown","100","2020s Rap/Cusp","2:29"

"bad [Explicit] [Dj Cut 2025]","310babii & James Brown","100","2020s Rap/Cusp","2:29"

"Best Friend (feat. Doja Cat)","Saweetie","93","2020s Rap","2:36"

"Big Energy [Clean]","Latto","106","2020s Rap","2:53"

"CATFISH [Clean]","Doechii","91","2020s Rap","2:14"

"DENIAL IS A RIVER [Clean] {Dj Cut 2025}","Doechii","93","2020s Rap/Cusp","2:26"

"Die Hard (8ct Looper)","Kendrick Lamar, Blxst & Amanda Reifer","101","2020s Rap","3:59"

"Ever Since U Left Me (I Went Deaf) [Dirty]{Dj Cut 2026} ","French Montana","107.070000","2020s Rap/Cusp","2:35"

"Ever Since U Left Me (I Went Deaf) [Edited]{Dj Cut 2026}","French Montana","107.070000","2020s Rap/Cusp","2:35"

"family ties","Baby Keem & Kendrick Lamar","116","2020s Rap","4:12"

"FATHER (feat. Travis Scott) [Edited]{Dj Cut 2026}","Kanye West","107.120000","2020s Rap/Cusp","1:59"

"FE!N (Clean) [4 Phrase]","Travis Scott","148","2020s Rap","3:15"

"Glamorous Lifestyle [Edited]","The Jacka","99.200000","Amazon.com Song ID: 200000595461858","3:57"

"Glamorous Lifestyle [Explicit]","The Jacka","99.200000","2020s Rap/Cusp","3:57"

"Go Ladies [Explicit] (Dj Cut 2026)","French Montana","126.000000","Amazon.com Song ID: 200000768821163","2:34"

"Go Ladies [Edited] (Dj Cut 2026)","French Montana","126.000000","Amazon.com Song ID: 289348057","2:34"

"Good [Edited]","P-Lo","98","2020s Rap","2:01"

"Good [Explicit]","P-Lo","98","2020s Rap","2:01"

"goosebumps","Travis Scott","130","2020s Rap","4:04"

"HOLLYWOOD [Clean]","YG & Shoreline Mafia","107.000000","2020s Rap/Cusp","3:00"

"JT Coming [Clean]","JT","111","2020s Rap/Cusp","1:48"

"Just Wanna Rock [Clean]","Lil Uzi Vert","120.060000","2020s Rap","2:04"

"Like That [Clean](4 Phrase)","Future, Metro Boomin & Kendrick Lamar","81","2020s Rap","4:28"

"Look At Me! (Clean) (4 Phrase)","XXXTENTACION","140.130000","2020s Rap","2:06"

"Look At Me! (Dirty) (4 Phrase)","XXXTENTACION","140.000000","2020s Rap","2:06"

"LOT OF ME (Dj Cut 2026)","Lil Tecca","154.450000","2020s Rap","2:04"

"Lovin On Me [Clean]","Jack Harlow","105","2020s Rap/Cusp","2:18"

"MILLION DOLLAR BABY","Tommy Richman","138","2020s Rap","2:35"

"Mudergram Deux [Edited](Dj Cut 2025)","LL COOL J & Eminem","104","2020s Rap/Cusp","3:19"

"Mudergram Deux [Explicit](Dj Cut 2025)","LL COOL J & Eminem","104","2020s Rap/Cusp","3:19"

"No Hands (Clean) [Dj Special 2024]","Waka Flocka Flame","131.470000","2020s Rap/Cusp","4:28"

"Not Like Us (Clean) [Dj Cut 2024]","Kendrick Lamar","101","2020s Rap/Cusp/MensSports","4:37"

"Not Like Us (Dirty) [Dj Cut 2024]","Kendrick Lamar","101","2020s Rap/Cusp","4:37"

"Outside [Clean]","Cardi B","80","2020s Rap/Cusp","3:27"

"Ransom [Edited] (Dj Cut 2026)(4 Phrase)","Lil Tecca","91.100000","2020s Rap","2:22"

"Ransom [Explicit] (Dj Cut 2026)(4 Phrase)","Lil Tecca","91.100000","2020s Rap","2:22"

"Rich Baby Daddy (Clean) [Dj Cut 2024)","Drake","146","2020s Rap","5:16"

"Rich Flex [Doubletime]","Drake & 21 Savage","152","2020s Rap","3:59"

"Rolex (Clean) [Dj cut 2024] (4 phrase)","Ayo & Teo","145","2020s Rap","4:00"

"Run It Back!! (Dj Special 2026)","De La Soul & Nas","89","2020s Rap/Cusp","2:30"

"Shake Dat Ass (Twerk Song) [Clean]{4 Phrase}","BossMan Dlow feat. GloRilla","88","2020s Rap","3:50"

"SHYNE [Edited](4 Phrase)","Travis Scott & GloRilla","149","2020s Rap","3:13"

"SHYNE [Explicit](4 Phrase)","Travis Scott & GloRilla","149","2020s Rap","3:13"

"soak city (do it) [Fortnite Emote Version] [Clean][4 Phrase]","310babii","102","2020s Rap","1:54"

"soak city (do it) [4 Phrase](Dirty)","310babii","102","2020s Rap","1:54"

"squabble up [Clean] (Doubletime)","Kendrick Lamar","104","2020s Rap/Cusp","2:38"

"TGIF [Clean]","GloRilla","140.010000","2020s Rap","2:45"

"The Thrill [Clean]","Wiz Khalifa & Empire of the Sun","127.470000","2020s Rap/Cusp","3:55"

"tv off [Clean] [feat. Lefty Gunplay]","Kendrick Lamar & Lefty Gunplay","100","2020s Rap/Cusp","3:45"

"Where To Start [Clean]","Wale","100","2020s Rap","3:35"

"YAYA (Clean Remix)","Snoop Dogg & 310babii, Compton Av, Steelz","98","2020s Rap/Cusp","3:15"

