Title,Artist,Album,Year,Length,BPM
Crazy Baldhead,Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1976,3:23,126
Easy Skanking,Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1978,2:56,81
Keep on Moving,Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1977,4:22,79
Natural Mystic,Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1977,3:27,80
One Drop,Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1977,3:52,60
Pimper's Paradise,Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1976,3:28,78
Rebel's Hop,Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1970,2:38,73
"Roots, Rock, Reggae",Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1976,3:31,76
So Much Trouble in the World,Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1979,3:58,78
Sun Is Shining,Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1971,4:36,76
Trenchtown Rock [Live] [Live],Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1973,4:12,83
War,Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1976,3:32,77
Who the Cap Fit,Bob Marley & the Wailers,Natural Mystic: The Legend Lives On [Bonus Tracks],1976,4:17,79
