
Title,Artist,Album,Year,Length,BPM


"(When You Gonna) Give It up to Me [Radio Version]","Sean Paul","Only Hits","2006","4:04","96"

"1,2 Step (Mixed)","Ciara","All Star Jams 25","    ","3:17","114"

"4 Minutes [Dj Cut 2023]","Madonna","Hard Candy","2008","3:40","113"

"Adddictive (Dj Cut 2024)","Truth Hurts","ALL STAR JAMS vol 15","    ","3:32","102"

"Ain't It Funny","Jennifer Lopez","HIP HOP & RnB MIX 2002","    ","3:30","91"

"Ain't No Mountain High Enough","Michael McDonald","Motown","2003","2:50","120"

"Ain't No Other Man (Dj Cut 2025)","Christina Aguilera","Keeps Gettin Better- A Decade Of Hits ","2008","3:39","128"

"All I Have","Jennifer Lopez feat. LL Cool J","This Is Me...Then","2002","4:15","83"

"American Boy (DJ Cut)","Estelle Kanye West","Estelle Kanye West","","4:25","119"

"Angel (feat. Rayvon)","Shaggy","Hot Shot","","3:55","85"

"Baby Boy [Clean] (4 phrase doubletime)","Beyoncé feat. Sean Paul","Dangerously In Love","2003","4:05","91"

"Baby I love You (Remix) (Dj Cut)","Jennifer Lopez","All Star Jams","","4:08","112"

"Baby, I'm Back [Clean] [feat. Akon]","Baby Bash & Akon","Trouble (Deluxe Edition) [Clean]","2005","3:40","100"

"Backseat (clean) [Dj Cut 2023]","New Boyz","Too Cool to Care (Deluxe Version)","2011","3:49","125"

"Backseat (Dirty) [Dj Cut 2023]","New Boyz","Too Cool To Care","2011","3:49","125"

"Bad Romance ","Lady Gaga","Lady Gaga","    ","5:04","119"

"Bag Lady (Cheeba Sac Radio Edit)","Erykah Badu","Bag Lady","2000","4:12","84"

"Beautiful Girls","Sean Kingston","Sean Kingston","2008","4:02","130"

"Blame It (Cold Start)","Jamie Foxx","Jamie Foxx","    ","4:50","88"

"Blame It (Dj Special 2025) [4 Phrase]","Jamie Foxx","Jamie Foxx","","4:51","88"

"Bootylicious","Destiny's Child","Survivor","2001","3:28","103"

"Born This Way (Cusp)","Lady Gaga","Lady Gaga","    ","4:18","125"

"Bossy Featuring Too $hort (4 Phrase)","Kelis featuring Too $hort","Kelis Was Here [Clean]","2006","4:35","84"

"Bringing Sexy Back","Justin Timberlake","Justin Timberlake","    ","4:02","117"

"Buttons (Original)","The Pussycat Dolls","PCD","2005","3:46","106"

"Buttons {Remix Ft. Snoop} (Dj Cut 2022 OK)","The Pussycat Dolls (Featuring Snoop Dogg)","Much Dance 2007","2006","3:41","108"

"Bye Bye Bye (Dj Cut)","N'Sync","No Strings Attached","    ","3:20","86"

"Can't Stop The Feeling! ","Justin Timberlake","NOW That's What I Call Music, Vol. 59 [Clean]","2016","3:54","113"

"Candyman","Christina Aguilera","Back To Basics","2006","3:14","86"

"Carry Out (Featuring Justin Timberlake) [feat. Justin Timberlake]","Timbaland","Shock Value II (Deluxe)","2009","3:53","99"

"Caught Up","Usher","Confessions (Expanded Edition) [Clean]","2004","3:45","110"

"Cha Cha Slide (Radio Edit)","DJ Casper","Cha Cha Slide","2004","3:45","124"

"Circus (Dj Cut 2024)","Britney Spears","Circus","2008","3:12","115"

