Song Title,Artists,BPM,Comments,Length

"#1 (Edited)","Nelly","90","2000s Y2K Rap Top Acts-Bay","3:19"

"#1 Stunna (Explicit)[Dj Cut 2026]","Big Tymers","89.010000","2000s Y2K Rap Nation","5:00"

"#1 Stunna [Clean](Dj Cut 2026)","Big Tymers","89.010000","2000s Y2K Rap Nation","5:00"

"2 Step Remix (Dj Special 2024)","Unk Feat. T-pain","154","2000s Y2K Rap Nation","4:56"

"03 Bonnie and Clyde (Dj Cut)","Jay-Z F. Beyonce","90","2000s Y2K Rap Top Acts-Bay","3:36"

"21 Questions","50 Cent","93","2000s Y2K Rap Top Acts-Bay","3:37"

"99 Problems (Clean) (Dj Cut 2024)","Jay-Z","93","2000s Y2K Rap Top Acts-Bay","0:45"

"After Party [Clean] (Dj cut)","Lil' Kim","102","2000s Y2K Rap Top Acts-Bay","2:58"

"Ain't Gone Do It [Explicit]","Too $Hort & E-40","102","2000s Y2K Rap Top Acts-Bay","2:54"

"Ain't Got No Haters [feat. Too Short](Dj Cut special 2022)","Ice Cube","96","2000s Y2K Rap Top Acts-Bay","3:32"

"Air Force Ones","Nelly","83","2000s Y2K Rap Top Acts-Bay","3:16"

"All Falls Down (Edited)","Kanye West","91","2000s Y2K Rap Top Acts-Bay","3:44"

"All The Way Up (feat. French Montana & Infared)","Fat Joe & Remy Ma","87","2000s Y2K Rap Nation/MensSports","3:12"

"Always On Time","Ja Rule ft Ashanti","97","2000s Y2K Rap Top Acts-Bay","3:59"

"Anaconda [Dirty](Dj Cut 2026)","Nicki Minaj","130","2000s Y2K Rap Nation","4:34"

"Anaconda [Ultra-Clean](Dj Cut 2026)","Nicki Minaj","130","2000s Y2K Rap Nation","4:34"

"Ante Up (Robbin Hoodz Theory) [Clean]","M.O.P.","94","2000s Y2K Rap Nation/MensSports","3:53"

"Area Codes [Hoe-Dirty] {Dj Cut 2025}","Ludacris","102","2000s Y2K Rap Nation","4:14"

"Area Codes [Pro -Clean]{Dj Cut 2025}","Ludacris","102","2000s Y2K Rap Nation","3:37"

"Automatic Ft Fabulous (Dirty)","E-40","96","2000s Y2K Rap Top Acts-Bay","4:21"

"Automatic Ft Fabulous (RadioEdit)","E-40","96","2000s Y2K Rap Top Acts-Bay/Menssports","4:18"

"A  Bay Bay [Clean] - 77 (doubletime)","Hurricane Chris","154","2000s Y2K Rap Nation","4:17"

"B___h [Trick!] (Remix Clean)[Dj Cut 2026]","E-40","95.000000","2000s Y2K Rap Top Acts-Bay","4:21"

"B*tch [Explicit] [feat. Too $hort]","E-40","95","2000s Y2K Rap Top Acts-Bay","3:23"

"Bad Boy For Life (Radio Edit)","P Diddy","90","2000s Y2K Rap Top Acts-Bay/Menssports","4:11"

"Bad Boy For Life","P.Diddy & The Bad Boy Family","90","2000s Y2K Rap Top Acts-Bay","4:10"

"Baller Baby","Chingy","96","2000s Y2K Rap Nation","4:00"

"Bartender [Clean](Dj Cut 2025)","T-Pain feat. Akon","105","2000s Y2K Rap Top Acts-Bay","4:00"

"Beautiful ft. Pharrell Williams (Dirty)","Snoop Dogg","101","2000s Y2K Rap Top Acts-Bay","4:58"

"Beautiful ft. Pharrell Williams (Clean)","Snoop Dogg","101","2000s Y2K Rap Top Acts-Bay","5:28"

"Bebot ","The Black Eyed Peas","107","2000s Y2K Rap Top Acts-Bay/Menssports","3:30"

"Because I Got High (Censored)","Afroman","83","2000s Y2K Rap Nation","3:19"

"Because I Got High (dirty)","Afroman","83","2000s Y2K Rap Nation","5:06"

"Becky [Clean] (DJ Cut 2025)","Plies","100","2000s Y2K Rap Nation","3:33"

"Between Me and You (Dj Cut 2024)","Ja Rule","94","2000s Y2K Rap Top Acts-Bay","4:14"

"Beware of the Boys","Jay-Z","98","2000s Y2K Rap Top Acts-Bay/Menssports","3:57"

"B---h Please II (Dirty)","Eminem","96","2000s Y2K Rap Top Acts-Bay","4:51"

"B---h Please II (Clean)","Eminem","96","2000s Y2K Rap Top Acts-Bay","4:51"

"Bia' Bia' [Edited] (Dj cut 2022)(4 phrase)","Lil Jon","80","2000s Y2K Rap Nation","5:01"

"Bia' Bia' [Explicit] (doubletime)","Lil Jon","80","2000s Y2K Rap Nation","5:01"

"Bia' Bia' 2 (Clean)(Dj Cut 2022)(4 phrase)","Lil Jon & The East Side Boyz, Too Short & Chyna Whyte","80","2000s Y2K Rap Nation","4:04"

"Big Bank [Clean] (Dj Cu 2024 OK)","YG","102.000000","2000s Y2K Rap Nation","4:07"

"Blow the Whistle [Clean]","Too $hort","100","2000s Y2K Rap Top Acts-Bay/Menssports","2:43"

"Blow the Whistle [Explicit]","Too $hort","100","2000s Y2K Rap Top Acts-Bay","2:43"

"Bojangles Remix [Clean]","Pitbull","108","2000s Y2K Rap Top Acts-Bay","4:30"

"Boom Boom Pow (Clean Radio Edit)","The Black Eyed Peas","130","2000s Y2K Rap Top Acts-Bay","3:40"

"Bounce With Me (Edited) ","Lil Bow Wow feat. XSCAPE","144","2000s Y2K Rap Nation","2:56"

"Bow Wow (That's My Name) (LP Radio Edit) [Clean]","Lil Bow Wow","92","2000s Y2K Rap Nation","3:42"

"Break Me Off (Dj Cut 2024 OK)","Missy Elliott/Ludacris","94","2000s Y2K Rap Top Acts-Bay","2:53"

"Bring Em Out","T.I.","98","2000s Y2K Rap Top Acts-Bay/Menssports","3:38"

"Burn Rubber (Clean 2.0)","Too $hort","103","2000s Y2K Rap Top Acts-Bay/Menssports","3:01"

"Buzzin (Remix Edited Version) [Dj Cut 2025]","Mann","104","2000s Y2K Rap Nation","3:51"

"Candy (I Taste Just Like)","Foxy Brown feat. Kelis","102","2000s Y2K Rap Nation","3:10"

"Candy Shop (Super Clean)","50 Cent","98","2000s Y2K Rap Top Acts-Bay","3:32"

"Can't Believe it (Dj Cut)","T-Pain","90","2000s Y2K Rap Top Acts-Bay","4:22"

"Can't Deny It (clean) [Dj Cut 2023]","Fabolous","90","2000s Y2K Rap Top Acts-Bay","5:09"

"Can't Let You Go (feat. Lil' Mo & Mike Shorey)","Fabolous feat. Lil' Mo and Mike Shorey","96","2000s Y2K Rap Nation","3:44"

"Change Clothes (ft.Pharrel)","Jay-Z","104","2000s Y2K Rap Top Acts-Bay","4:19"

"Change The Game [Clean] (Album Version (Edited)) [feat. Beanie Sigel & Memphis Bleek]","Jay-Z","94","2000s Y2K Rap Top Acts-Bay","3:09"

"Choosin'","Too $hort feat. Jagged Edge and Jazze Pha","95","2000s Y2K Rap Top Acts-Bay","3:59"

"Clint Eastwood (Clean Mix)","Gorillaz","84","2000s Y2K Rap Nation","5:47"

"Country Grammar [4 Phrase] (Dirty) (Dj Cut 2024)","Nelly","81","2000s Y2K Rap Top Acts-Bay","4:55"

"Country Grammar [4 Phrase] (Clean) (Dj Cut 2024)","Nelly","81","2000s Y2K Rap Top Acts-Bay/Menssports","4:55"

"Crazy Rap","Afroman","99","2000s Y2K Rap Nation","5:53"

"Culo","Pitbull Feat. Lil John","120","2000s Y2K Rap Top Acts-Bay","5:39"

"Damn! [Don't Start No Stuff Won't Be No Stuff] (Radio Edit){4 Phrase}","Youngbloodz Feat. Lil' Jon","84.240000","2000s Y2K Rap Nation","4:58"

"Dem Jeans (feat. Jermaine Dupri) {Dirty}","Chingy featuring Jermaine Dupri","85","2000s Y2K Rap Nation","3:49"

"Dilemma (feat. Kelly Rowland)","Nelly (feat. Kelly Rowland)","84","2000s Y2K Rap Top Acts-Bay","4:51"

"Dirt Off Your Shoulder - (Clean)","Jay-Z","82","2000s Y2K Rap Top Acts-Bay","3:58"

"Dirt Off Your Shoulder (Dirty)","Jay-Z","82","2000s Y2K Rap Top Acts-Bay","4:05"

"Don't Phunk With My Heart","The Black Eyed Peas","131","2000s Y2K Rap Top Acts-Bay","4:00"

"Don't Stop The Party","Pitbull feat. TJR","127","2000s Y2K Rap Top Acts-Bay","3:33"

"Drop It Like Its Hot (clean)","Snoop Dogg feat. Pharrel","92","2000s Y2K Rap Top Acts-Bay/Menssports","4:32"

"E.I. (Explicit)","Nelly","90","2000s Y2K Rap Top Acts-Bay","4:45"

"E.I. (Album Version)","Nelly","90","2000s Y2K Rap Top Acts-Bay","4:45"

"Empire State Of Mind (Radio Edit)","Jay-Z F. Alicia Keys","86","2000s Y2K Rap Top Acts-Bay","4:34"

"Encore","Eminem","89","2000s Y2K Rap Top Acts-Bay","5:00"

"Excuse Me  Miss Again (Class Edit)","Jay Z","100","2000s Y2K Rap Top Acts-Bay","3:12"

"Excuse Me  Miss (Dirty)","Jay Z","100","2000s Y2K Rap Top Acts-Bay","3:11"

"Fast Like A Nascar - Dirty","Keak Da Sneak","104","2000s Y2K Rap Top Acts-Bay","3:59"

"Feelin Myself","Mac Dre","100","2000s Y2K Rap Top Acts-Bay","3:32"

"Feeling Myself (Class Edit)","Mac Dre","100","2000s Y2K Rap Top Acts-Bay","3:29"

"Fireball","Pitbull feat. John Ryan","123","2000s Y2K Rap Top Acts-Bay/Menssports","3:55"

"Flashing Lights [Clean]","Kanye West","90","2000s Y2K Rap Top Acts-Bay","3:57"

"Freakin' It ","Will Smith","112","2000s Y2K Rap Top Acts-Bay","3:59"

"Freek-A-Leek ft. Lil Jon (Clean)[Dj Cut 2025]","Petey Pablo","105","2000s Y2K Rap Nation","3:57"

"Freek-A-Leek ft. Lil Jon (Dirty)[Dj Cut 2025]","Petey Pablo","105","2000s Y2K Rap Nation","3:55"

"Function [Clean]","E-40","100","2000s Y2K Rap Top Acts-Bay","4:46"

"Gangsta Lovin (Dj Cut 2025)","Eve","95","2000s Y2K Rap Top Acts-Bay","2:42"

"Get Back (clean) - 172 [4 Phrase]","Ludacris","86","2000s Y2K Rap Top Acts-Bay/Menssports","4:37"

"Get By (Dirty) [Dj Special 2023]","Talib Kweli","90","2000s Y2K Rap Nation","3:47"

"Get By (Edited) [Dj Special 2023]","Talib Kweli","90","2000s Y2K Rap Nation","3:47"

"Get It On Tonight (Remix) (Dj Cut 2022)","L.L. Cool J","103","2000s Y2K Rap Top Acts-Bay","3:43"

"Get Low [Clean]","Lil Jon & The East Side Boyz & Ying Yang Twins","101","2000s Y2K Rap Top Acts-Bay","5:25"

"Get Stupid {Dirty}(Dj Special 2026)","Mac Dre","91.000000","2000s Y2K Rap Top Acts-Bay","3:55"

"Get Stupid {Edited}(Dj Special 2026)","Mac Dre","91.000000","2000s Y2K Rap Top Acts-Bay","3:55"

"Get Ur Freak On [Explicit] (4 Phrase)","Missy Elliott","88","2000s Y2K Rap Top Acts-Bay","3:57"

"Get Ur Freak On (Clean)","Missy Elliot","91","2000s Y2K Rap Top Acts-Bay","2:57"

"Get Your Roll On [Clean]","Big Tymers","89","2000s Y2K Rap Nation/B-Sides","3:52"

"Ghost Ride IT (Clean)","Mistah FAB","109","2000s Y2K Rap Nation","3:53"

"Gigilo","Nick Cannon/R.KELLY","96","2000s Y2K Rap Nation","2:49"

"Give Me Everything","Pitbull","129","2000s Y2K Rap Top Acts-Bay","4:06"

"Go Dj (4 Phrase)","Lil Wayne","159","2000s Y2K Rap Nation","3:49"

"Go Girl [Clean]- Pitbull","Pitbull","115","2000s Y2K Rap Top Acts-Bay","3:50"

"Go Girl (Explicit)- Pitbull","Pitbull","115","2000s Y2K Rap Top Acts-Bay","3:51"

"GoldDigger (CLEAN) Cold Start"," Kanye West ft. Jamie Foxx","92","2000s Y2K Rap Top Acts-Bay","3:30"

"GoldDigger (CLEAN)[Dj Cut 2025]"," Kanye West ft. Jamie Foxx","92","2000s Y2K Rap Top Acts-Bay","3:34"

"Good Life (Dirty)","Kanye West","85","2000s Y2K Rap Top Acts-Bay","3:53"

"Good Life (Radio Edit) ","Kanye West","85","2000s Y2K Rap Top Acts-Bay","3:50"

"Good Times (I Get High) [Explicit]","Styles P","82","2000s Y2K Rap Nation","3:32"

"Good Times (I Get High) (Clean)","Styles P","82","2000s Y2K Rap Nation","3:17"

"Gossip Folks (feat. Ludacris)","Missy Elliott","122","2000s Y2K Rap Top Acts-Bay","3:55"

"Got Money (Clean) [Dj Cut 2024]","Lil Wayne Ft T-Pain","82","2000s Y2K Rap Nation","4:12"

"Greenlight (Radio Mix) [feat. LunchMoney Lewis]","Pitbull","115","2000s Y2K Rap Top Acts-Bay","3:55"

"Halftime (Stand Up & Get Crunk!) [Clean] {120bpm}[135bpm break]","Ying Yang Twins & Homebwoi","120.000000","2000s Y2K Rap Top Acts-Bay/Menssports","4:32"

