Song Title,Artists,BPM,Comments,Length

"4 Minutes [Dj Cut 2023]","Madonna","113","2000s Y2K Pop-Rockwave A-Sides","3:40"

"22 (Taylor's Version) [Dj Cut 2024]","Taylor Swift","104","2000s Y2K Pop-Rockwave A-Sides","3:56"

"Absolutely (Story of a Girl) [Clean]{Dj Cut 2025}","Nine Days","98","2000s Y2K Pop-Rockwave B-Sides","3:19"

"Adventure of a Lifetime","Coldplay","112","2000s Y2K Pop-Rockwave A-Sides","4:24"

"Ain't It Fun (Blanced)","Paramore","104","2000s Y2K Pop-Rockwave A-Sides/WMSport","4:57"

"Ain't No Rest for the Wicked (Doubletime)","Cage the Elephant","156","2000s Y2K Pop-Rockwave A-Sides","2:56"

"All Summer Long","Kid Rock","103","2000s Y2K Pop-Rockwave A-Sides","4:57"

"All The Small Things (Dj Cut 2025)","Blink 182","148","2000s Y2K Pop-Rockwave A-Sides","2:46"

"American Bad Ass (Dj Cut 2025)","Kid Rock","90","2000s Y2K Pop-Rockwave A-Sides","4:32"

"American Idiot {Clean} (Dj Cut 2026)[4 Phrase]","Green Day","93.000000","2000s Y2K Pop-Rockwave A-Sides","2:57"

"Are You Gonna Be My Girl (4 Phrase)","Jet","105","2000s Y2K Pop-Rockwave A-Sides/Menssports","3:34"

"Beverly Hills","Weezer","88","2000s Y2K Pop-Rockwave A-Sides","3:12"

"Black Horse and the Cherry Tree (Radio Version)","KT Tunstall","105","2000s Y2K Pop-Rockwave A-Sides","2:52"

"Boulevard Of Broken Dreams","Green Day","84","2000s Y2K Pop-Rockwave B-Sides","4:20"

"Boys In The Hood - Dynamite Hack (Class Edit)","Dynamite Hack","81","2000s Y2K Pop-Rockwave B-Sides","3:03"

"Boyz In The Hood [Explicit]","Dynamite Hack","81","2000s Y2K Pop-Rockwave B-Sides","3:06"

"Burn It To The Ground","Nickelback","132","2000s Y2K Pop-Rockwave A-Sides/Menssports","3:31"

"Butterfly (Dj Special 2022)","Crazy Town","103","2000s Y2K Pop-Rockwave A-Sides","3:34"

"Calling All Angels","Train","83","2000s Y2K Pop-Rockwave B-Sides","4:02"

"Can't Stop (Dj Cut 2025)","Red Hot Chili Peppers","91","2000s Y2K Pop-Rockwave A-Sides","4:18"

"Chelsea Dagger","The Fratellis","155","2000s Y2K Pop-Rockwave A-Sides","3:35"

"Circus (Dj Cut 2024)","Britney Spears","115","2000s Y2K Pop-Rockwave A-Sides","3:12"

"Click Click Boom (Dj Cut 2025)","Saliva","96","2000s Y2K Pop-Rockwave A-Sides/Menssports","4:12"

"Clint Eastwood (Clean Mix) - 168","Gorillaz","84","2000s Y2K Pop-Rockwave A-Sides","5:47"

"Clocks","Coldplay","131","2000s Y2K Pop-Rockwave B-Sides","5:08"

"Closing Time","Semisonic","92","2000s Y2K Pop-Rockwave A-Sides","4:32"

"Crazy B...h (Amended Version) (Dj Cut 2023)","Buckcherry","98","2000s Y2K Pop-Rockwave A-Sides","3:21"

"Cupid's Chokehold / Breakfast In America (Radio Mix)","Gym Class Heroes","159","2000s Y2K Pop-Rockwave A-Sides","3:57"

"Dancing in the Moonlight (2001 Remix)","Toploader","119","2000s Y2K Pop-Rockwave A-Sides","3:52"

"Dani California","Red Hot Chili Peppers","96","2000s Y2K Pop-Rockwave A-Sides","4:41"

"Dig In","Lenny Kravitz","118","2000s Y2K Pop-Rockwave A-Sides","3:38"

"Disposable Teens (134bpm)","Marilyn Manson","134","2000s Y2K Pop-Rockwave A-Sides","3:04"

"Down With The Sickness (Radio Version)","Disturbed","90","2000s Y2K Pop-Rockwave B-Sides","4:02"

"Drift Away (4 phrase doubletime)","Uncle Kracker","152","2000s Y2K Pop-Rockwave A-Sides","4:15"

"Drops Of Jupiter (Dj Cut) (Doubletime)","Train","159","2000s Y2K Pop-Rockwave A-Sides","4:14"

"Everybody's Free [To Wear Sunscreen] (4ct looper)(REQUEST_ONLY)","Baz Luhrmann","90","2000s Y2K Pop-Rockwave B-Sides","7:09"

"Everyday","Dave Matthews Band","93","2000s Y2K Pop-Rockwave A-Sides","4:44"

"Fat Lip (Dj Cut 2026)[Dirty]","Sum 41","98.000000","2000s Y2K Pop-Rockwave A-Sides/Menssports","2:58"

"Fat Lip (Dj Cut 2026)[Edited}","Sum 41","98.000000","2000s Y2K Pop-Rockwave A-Sides/Menssports","2:58"

"Feel Good Inc.","Gorillaz","138","2000s Y2K Pop-Rockwave A-Sides/Menssports","3:43"

"Fell In Love With a Girl (Dj Cut 2025)[4 Phrase]","The White Stripes","94","2000s Y2K Pop-Rockwave A-Sides","1:55"

"Fire In the Kitchen","Manafest","150","2000s Y2K Pop-Rockwave B-Sides","2:48"

"First Date (Dj Cut 2025) [4 Phrase]","blink-182","96","2000s Y2K Pop-Rockwave A-Sides","2:59"

"Flower (Sally Up Sally Down)","Moby","80.470000","2000s Y2K Pop-Rockwave B-Sides","3:26"

"Follow Me","Uncle Cracker","105","2000s Y2K Pop-Rockwave A-Sides","3:41"

"Galvanize (Edit) (Dj Special 2022 OK)","The Chemical Brothers","104","2000s Y2K Pop-Rockwave A-Sides/Menssports","4:09"

"Gimme More [Edit]","Britney Spears","113","2000s Y2K Pop-Rockwave A-Sides","4:11"

"Gimme More (Dirty)","Britney Spears","113","2000s Y2K Pop-Rockwave A-Sides","4:11"

"Girl All the Bad Guys Want (Dj Cut 2025) 3.0","Bowling For Soup","131.000000","2000s Y2K Pop-Rockwave A-Sides","3:21"

"Gives You Hell","The All-American Rejects","100","2000s Y2K Pop-Rockwave A-Sides","3:33"

"Hanging By A Moment (Dj Club-Special 2022)","Lifehouse","124","2000s Y2K Pop-Rockwave B-Sides","3:35"

"Harder, Better, Faster, Stronger","Daft Punk","123","2000s Y2K Pop-Rockwave A-Sides","3:46"

"Headstrong","Trapt","92","2000s Y2K Pop-Rockwave A-Sides","4:46"

"Heaven - [LLB](Dj Cut 2025)","Los Lonely Boys","92","2000s Y2K Pop-Rockwave A-Sides","3:58"

"Heaven - Los Lonely Boys (Cold Start)","Los Lonely Boys","92","2000s Y2K Pop-Rockwave A-Sides","3:48"

"Here Is Gone REDUCE","Goo Goo Dolls","102","2000s Y2K Pop-Rockwave B-Sides","3:58"

"Here It Goes Again (Dj Cut 2024)","OK Go","146","2000s Y2K Pop-Rockwave A-Sides","3:03"

"Heute wird gefeiert (Und die Blas) [Dj Cut 2024)","Buddy","132","2000s Y2K Pop-Rockwave A-Sides/Euro-International","3:06"

"Hey Soul Sister","Train","97","2000s Y2K Pop-Rockwave A-Sides","3:39"

"Hollaback Girl (Dirty) (Dj Cut 2023)","Gwen Stefani","110","2000s Y2K Pop-Rockwave A-Sides/WMSport","3:29"

"Hollaback Girl (Radio Edit) (Dj Cut 2023)","Gwen Stefani","110","2000s Y2K Pop-Rockwave A-Sides/WMSport","3:29"

"Hung Up","Madonna","126","2000s Y2K Pop-Rockwave A-Sides","5:38"

"I Miss You","blink-182","110","2000s Y2K Pop-Rockwave A-Sides","3:47"

"I Write Sins Not Tragedies [Edited](4 Phrase)","Panic! At The Disco","85.310000","2000s Y2K Pop-Rockwave B-Sides","3:07"

"I Write Sins Not Tragedies [Explicit](4 Phrase)","Panic! At The Disco","85.310000","2000s Y2K Pop-Rockwave B-Sides","3:07"

"I'd Do Anything (Dj Special 2023)","Simple Plan","84","2000s Y2K Pop-Rockwave B-Sides","3:16"

"If You Seek Amy","Britney Spears","130","2000s Y2K Pop-Rockwave A-Sides","3:34"

"I'm A Believer (Dj Cut 2025) 2.0","Smash Mouth","82","2000s Y2K Pop-Rockwave A-Sides/Menssports","3:17"

"I'm Shipping Up To Boston (130bpm)","Dropkick Murphys","130","2000s Y2K Pop-Rockwave B-Sides/Menssports","2:47"

"Island in the Sun","Weezer","114","2000s Y2K Pop-Rockwave A-Sides","3:20"

"It's A Beautiful Day","U2","136","2000s Y2K Pop-Rockwave A-Sides","4:03"

"It's A Beautiful Day","U2","136","2000s Y2K Pop-Rockwave A-Sides","4:03"

"It's My Life - Bon Jovi","Bon Jovi","120","2000s Y2K Pop-Rockwave A-Sides","3:45"

"Jerk It Out (New Brauer Mix)","Caesars","135","2000s Y2K Pop-Rockwave B-Sides","3:15"

"Just Push Play (Clean) [Dj Cut 2025]","Aerosmith","100","2000s Y2K Pop-Rockwave A-Sides","3:38"

"Know Your Enemy","Green Day","130","2000s Y2K Pop-Rockwave A-Sides/Menssports","3:11"

"Kryptonite (4 Phrase)","3 Doors Down","99","2000s Y2K Pop-Rockwave A-Sides","3:54"

"Last Nite (4 Phrase)","The Strokes","104","2000s Y2K Pop-Rockwave A-Sides","3:21"

"Love Song","Sara Bareilles","123","2000s Y2K Pop-Rockwave A-Sides","4:19"

"Mercy (Duffy)","Duffy","130","2000s Y2K Pop-Rockwave B-Sides","3:41"

"Mess Around","Cage the Elephant","151","2000s Y2K Pop-Rockwave A-Sides","2:53"

"Minority (Clean) (Boosted intro)","Green Day","137","2000s Y2K Pop-Rockwave A-Sides","2:45"

"Minority (Dirty) (Boosted Intro)","Green Day","137","2000s Y2K Pop-Rockwave A-Sides","2:49"

"Miss Murder","AFI","143","2000s Y2K Pop-Rockwave A-Sides","3:26"

"MMMBop [Single Version]","Hanson","105","2000s Y2K Pop-Rockwave A-Sides","3:59"

"Mr Brightside","The Killers","149","2000s Y2K Pop-Rockwave A-Sides","3:46"

"My Own Worst Enemy [Edited]","Lit","103","2000s Y2K Pop-Rockwave A-Sides","2:49"

"My Own Worst Enemy [Explicit]","Lit","103","2000s Y2K Pop-Rockwave A-Sides","2:49"

