
Title,Artist,Album,Year,Length,BPM


"22 (Taylor's Version) [Dj Cut 2024]","Taylor Swift","Red (Taylor's Version)","","3:56","104"

"Absolutely (Story of a Girl) [Clean]{Dj Cut 2025}","Nine Days","Snapshots","2016","3:19","98"

"Adventure of a Lifetime","Coldplay","NOW That's What I Call Music, Vol. 57 [Clean]","2016","4:24","112"

"Ain't It Fun (Blanced)","Paramore","Paramore","2013","4:57","104"

"Ain't No Rest for the Wicked (Doubletime)","Cage the Elephant","Cage the Elephant (Expanded Edition)","2008","2:56","156"

"All Summer Long","Kid Rock","Rock 'N' Roll Jesus","2007","4:57","103"

"All The Small Things (Dj Cut 2025)","Blink 182","Blink 182 Greatest Hits","    ","2:46","148"

"American Bad Ass (Dj Cut 2025)","Kid Rock","American Bad Ass","","4:32","90"

"American Idiot {Clean} (Dj Cut 2026)[4 Phrase]","Green Day","Green Day","2004","2:57","93.000000"

"Are You Gonna Be My Girl (4 Phrase)","Jet","Get Born","    ","3:34","105"

"Beverly Hills","Weezer","Weezer","","3:12","88"

"Black Horse and the Cherry Tree (Radio Version)","KT Tunstall","Eye To The Telescope","2006","2:52","105"

"Boulevard Of Broken Dreams","Green Day","Green Day","    ","4:20","84"

"Boys In The Hood - Dynamite Hack (Class Edit)","Dynamite Hack","Dynamite Hack","","3:03","81"

"Boyz In The Hood [Explicit]","Dynamite Hack","Superfast [Explicit]","2000","3:06","81"

"Burn It To The Ground","Nickelback","Nickelback","    ","3:31","132"

"Butterfly (Dj Special 2022)","Crazy Town","Crazt Town","    ","3:34","103"

"Calling All Angels","Train","My Private Nation","2003","4:02","83"

"Can't Stop (Dj Cut 2025)","Red Hot Chili Peppers","By The Way","2002","4:18","91"

"Chelsea Dagger","The Fratellis","Costello Music","2007","3:35","155"

"Click Click Boom (Dj Cut 2025)","Saliva","Saliva","    ","4:12","96"

"Clint Eastwood (Clean Mix) - 168","Gorillaz","Gorillaz Collection","","5:47","84"

"Clocks","Coldplay","A Rush Of Blood To The Head","2002","5:08","131"

"Closing Time","Semisonic","Semisonic","    ","4:32","92"

"Crazy B...h (Amended Version) (Dj Cut 2023)","Buckcherry","15 [Clean]","","3:21","98"

"Cupid's Chokehold / Breakfast In America (Radio Mix)","Gym Class Heroes","Cupid's Chokehold / Breakfast In America","2007","3:57","159"

"Dancing in the Moonlight (2001 Remix)","Toploader","A Walk To Remember Music From The Motion Picture","2002","3:52","119"

"Dani California","Red Hot Chili Peppers","Red Hot Chili Peppers","    ","4:41","96"

"Dig In","Lenny Kravitz","Lenny","2001","3:38","118"

"Disposable Teens (134bpm)","Marilyn Manson","Disposible Teens, Pt. 2","2000","3:04","134"

"Down With The Sickness (Radio Version)","Disturbed","Disturbed","2000","4:02","90"

"Drift Away (4 phrase doubletime)","Uncle Kracker","No Stranger to Shame ","2002","4:15","152"

"Drops Of Jupiter (Dj Cut) (Doubletime)","Train","Drops of Jupiter","2001","4:14","159"

"Everybody's Free [To Wear Sunscreen] (4ct looper)(REQUEST_ONLY)","Baz Luhrmann","Something for Everybody","1998","7:09","90"

