Song Title,Artists,BPM,Comments,Length

"1 Thing","Amerie","100","2010s Pop/Cusp","3:57"

"2 On (8ct Looper)","Tinashe feat. Schoolboy Q","101","2010s Pop B-Sides","3:47"

"24K Magic (Clean)[Dj Cut 2026]","Bruno Mars","107","2010s Pop/Cusp/MensSports","3:38"

"24K Magic (Dirty)[Dj Cut 2026]","Bruno Mars","107","2010s Pop/Cusp","3:38"

"34+35 (Dj Special 2023)","Ariana Grande","110","2010s Pop B-Sides","3:10"

"About Damn Time (Dirty)","Lizzo","109","2010s Pop/Cusp","3:12"

"About Damn Time (Edited)","Lizzo","109","2010s Pop/Cusp","3:12"

"Alright - Jain","Jain","92","2010s Pop B-Sides","3:42"

"Animals","Martin Garix","130","2010s Pop/Cusp","5:14"

"Anything (Feat. Swizz Beatz)","Musiq Soulchild","106","2010s Pop B-Sides","3:52"

"Balam Pichkari","Pritam, Vishal Dadlani & Shalmali Kholgade","120","2010s Pop/Cusp/Asian-International/WMSport","4:32"

"Bang Bang (Dj Cut 2026) [4 Phrase]","Jessie J, Ariana Grande & Nicki Minaj","150.000000","2010s Pop/Cusp/WMSport","3:31"

"Better Days (8ct looper)","NEIKED & Mae Muller & Polo G","110","2010s Pop B-Sides","2:41"

"Billionaire [Feat. Bruno Mars] (Amended Album Version)","Travie McCoy","87","2010s Pop/Cusp","3:31"

"Billionaire (feat. Bruno Mars)(Dj Cut)","Travie McCoy","87","2010s Pop/Cusp","3:43"

"Blinding Lights (doubletime)","The Weeknd","85","2010s Pop B-Sides","3:22"

"Blurred Lines","Pharrell Williams feat. Robin Thicke","120","2010s Pop/Cusp","4:21"

"Brain","Big Sticky Mess","132","2010s Pop/Cusp","3:25"

"Break My Heart","Dua Lipa","113","2010s Pop/Cusp","3:42"

"Cake by the Ocean [Clean]","DNCE","119","2010s Pop/Cusp","3:36"

"Calabira","Enur","126","2010s Pop/Cusp","3:50"

"Call On Me","Eric Prydz","127","2010s Pop B-Sides","2:56"

"Can't Feel My Face (Dj Cut 2024)","The Weeknd","108","2010s Pop/Cusp","3:31"

"Chasing the Sun (Hardwell Edit)","The Wanted","128","2010s Pop B-Sides","3:15"

"Cheap Thrills","Sia feat. Sean Paul","90","2010s Pop/Cusp","3:39"

"Circles","Post Malone","120","2010s Pop B-Sides","3:35"

"Classic","Mkto","102.290000","2010s Pop/Cusp","2:55"

"Closer - Ne-Yo","Ne-Yo","126","2010s Pop B-Sides","3:54"

"Clumsy - 184","Fergie","92","2010s Pop/Cusp","4:01"

"Cold Heart (PNAU Remix)","Elton John & Dua Lipa","116","2010s Pop/Cusp","3:23"

"Crazy - Gnarls Barkley (Dj Cut 2022 OK)","Gnarls Barkley","112","2010s Pop/Cusp","3:05"

"Ctrl Alt Del","Dannic & Bougenvilla","128","2010s Pop/Cusp","2:41"

"Dance The Night","Dua Lipa","110","2010s Pop B-Sides","2:57"

"Dangerous","Kardinal Offishall","117","2010s Pop B-Sides","4:06"

"Danza Kuduro [feat. Lucenzo]","Don Omar and Lucenzo","130","2010s Pop/Cusp/Reggae-International","3:19"

"Despacito (feat. Justin Bieber)[Dj Cut Special 2026]","Luis Fonsi & Daddy Yankee","89.010000","2010s Pop/Cusp/Reggae-International","3:50"

"Disturbia","Rihanna","128","2010s Pop/Cusp/WMSport","7:42"

"Do Ya Thang","Leo Soul","100","2010s Pop/Cusp","3:10"

"Don't Mind [Clean] (Doubletime)","Kent Jones","159","2010s Pop B-Sides","3:16"

"Don't Start Now (Dj Cut)","Dua Lipa","124","2010s Pop B-Sides","3:10"

"Don't Wake Me Up (Panic City Radio Remix)(126 bpm)","Chris Brown","126","2010s Pop B-Sides","4:32"

"Don't You Know (Radio Edit) [feat. Jamie N Commons]","Kungs","120","2010s Pop B-Sides","3:05"

"Don't You Worry Child [feat. John Martin]","Swedish House Mafia","127","2010s Pop B-Sides","3:58"

"Dynamite [BTS] (Dj Cut 2022)","BTS","114","2010s Pop B-Sides","3:19"

"Dynamite - Taio Cruz [Clean][Sayin AY-YO)","Taio Cruz","120","2010s Pop/Cusp","3:24"

"Feel It Still - 79","Portugal. The Man","158","2010s Pop B-Sides","2:43"

"Feel So Close (To You Right Now)","Calvin Harris","128","2010s Pop/Cusp","3:28"

"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris","101","2010s Pop/Cusp","3:42"

"Fergalicious (Radio Edit)","Fergie","129","2010s Pop/Cusp/WMSport","3:43"

"Fighter","Christina Aguilera/Larry Gold","94","2010s Pop-Rockwave B-Side","4:06"

"Finesse (Clean Remix)  [Dj Cut 2026]","Bruno Mars","105","2010s Pop/Cusp","3:54"

"Finesse (Clean) [Dj Cut 2026]","Bruno Mars","105","2010s Pop/Cusp","3:26"

"Finesse (Dirty Remix)  [Dj Cut 2026]","Bruno Mars","105","2010s Pop/Cusp","3:56"

"Finesse (Explicit) [Dj Cut 2026]","Bruno Mars","105","2010s Pop/Cusp","3:29"

"Five Hours","Deorro","128","2010s Pop B-Sides","5:27"

"Focus [Clean]","Ariana Grande","100","2010s Pop/Cusp/WMSport","3:29"

"Forever","Chris Brown","120","2010s Pop B-Sides","4:36"

"Forget You","Ceelo Green","127","2010s Pop/Cusp/MensSports","3:43"

"{EDM} Frontlines [feat. GG Magree]","Zeds Dead & NGHTMRE","152.000000","2010s Pop B-Sides","3:35"

"Gangnam Style","Psy","132","2010s Pop/Cusp/Asian-International","4:09"

"Ganja Dub (doubletime)","Sukh Knight","140","2010s Pop B-Sides","4:41"

"Gasolina (Remix)","Daddy Yankee Ft. Pitbull & N.O.R.E.","96","2010s Pop/Cusp/Latin-International","4:49"

"Gecko (Overdrive)","Oliver Heldens","125","2010s Pop B-Sides","3:08"

"Get Low - Dillon Francis Ft Dj Snake","Dillon Francis Ft Dj Snake","101","2010s Pop B-Sides","3:33"

"Get Lucky","Pharrell Williams feat. Daft Punk & Nile","116","2010s Pop/Cusp","4:10"

"Give Me Your Love (NOW What's Next!)","Sigala feat. John Newman & Nile Rodgers","125","2010s Pop B-Sides","3:26"

"Good as Hell [Clean](Dj Cut 2024)","Lizzo","96","2010s Pop/Cusp/WMSport","2:48"

"Good as Hell [Dirty](Dj Cut 2024)","Lizzo","96","2010s Pop/Cusp","2:48"

"Goodies (Dj Cut 2025)","Ciara F. Petey Pablo","102","2010s Pop/Cusp","3:47"

"Happier (Dj cut)","Marshmello & Bastille","100","2010s Pop B-Sides","3:44"

"Happy (from Despicable Me 2) (Dj Cut 2022)","Pharrell Williams","80","2010s Pop/Cusp","3:57"

"Havana","Camila Cabello feat. Young Thug","105","2010s Pop B-Sides","3:37"

"Hey Mama","Nicki Minaj","86","2010s Pop/Cusp","3:10"

"Hey Soul Sister","Train","97","2010s Pop B-Sides","3:39"

"I Don't Care - 2NE1 (Reggae mix)","2ne1","150","2010s Pop B-Sides","3:53"

"I Don't Care - Ed Sheeran (Looper)","Ed Sheeran & Justin Bieber","102","2010s Pop B-Sides","3:40"

"I Know (Dionne Farris Tribute)","Imani Jones","103","2010s Pop B-Sides","3:47"

"I Want You To Know (Original Mix) - Zedd","Zedd feat. Selena Gomez","130.000000","2010s Pop B-Sides","4:48"

