
Title,Artist,Album,Year,Length,BPM


"5% TINT (Doubletime)","Travis Scott","ASTROWORLD","","3:16","139"

"679 (feat. Monty) [Clean] (8ct looper)","Fetty Wap","Fetty Wap (Deluxe) [Clean]","2015","3:06","95"

"All I Do Is Win (Doubletime)","DJ Khaled","All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)","2010","3:50","150"

"All Night (feat. Knox Fortune) {Dj Cut 2025}","Chance the Rapper","Coloring Book","2016","2:22","112"

"Anaconda [Dirty](Dj Cut 2026)","Nicki Minaj","The Pinkprint [Clean] (Deluxe)","2014","4:34","130"

"Anaconda [Ultra-Clean](Dj Cut 2026)","Nicki Minaj","Queen Radio: Volume 1 [Clean]","2022","4:34","130"

"Anti [Clean] (4 Phrase)","SOB X RBE","Anti","2017","2:49","91.200000"

"Ayy Ladies (Clean Version)","Travis Porter feat. Tyga","From Day 1","2012","3:31","96"

"B___h [Trick!] (Remix Clean)[Dj Cut 2026]","E-40","M.I.A.: The Lost Archives (The EP) [Explicit]","2011","4:21","95.000000"

"Badd (Clean)","Ying Yang Twins feat. Mike Jones","Ying Yang Twins","    ","3:53","100"

"Ballin’ [Clean] (Dj Cut)","Mustard & Roddy Ricch","Perfect Ten [Clean]","2019","1:51","97"

"Bartender [Clean](Dj Cut 2025)","T-Pain feat. Akon","Happy Hour: The Greatest Hits [Clean]","2014","4:00","105"

"Better Now [Clean] - 73","Post Malone","beerbongs & bentleys [Clean]","2018","3:51","145"

"Big Bank [Clean] (Dj Cu 2024)","YG","Stay Dangerous [Clean]","2018","4:07","102"

"Big Energy [Clean]","Latto","777 [Clean]","2022","2:53","106"

"Big Tymin'","Nef the Pharaoh","Big Tymin' - Single","2015","3:32","95"

"Black And Yellow (Clean Edit)","Wiz Khalifa","Essential Hits 73","2011","3:36","82"

"Bodak Yellow [Clean]","Cardi B","Bodak Yellow [Clean]","2017","3:45","125"

"Bojangles Remix [Clean]","Pitbull","Original Hits [Clean]","2012","4:30","108"

"Bottoms Up (doubletime)","Trey Songz","Trey Songz","    ","4:06","148"

"Bring Em Out","T.I.","Urban Legend","2004","3:38","98"

"Bring It Back [Clean]","Travis Porter","Bring It Back [Clean]","2011","3:36","98"

"Buy You A Drank (Clean) (4 Phrase)","T-Pain","Buy You A Drank (Clean)","2011","3:48","80"

"Buzzin Remix [Clean]","Mann","Buzzin Remix [Clean]","2010","3:44","104"

"Can't Believe it (Dj Cut)","T-Pain","Can't Believe it (Dj Cut)","","4:22","90"

"Can't Hold Us (feat. Ray Dalton)","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis","The Heist [Clean]","2012","4:18","146.460000"

"Cat Daddy [Clean] ","The Rejectz","Cat Daddy [Clean] ","    ","3:33","102"

"Choices (Yup) [Clean]","E-40","Choices (Yup) (Revised) [Clean]","2015","4:33","121.270000"

"Classic Man [Clean]","Jidenna feat. Roman GianArthur","Wondaland Presents: The Eephus [Clean]","2015","3:45","94"

"Club Can't Handle Me (feat. David Guetta)","Flo Rida","Only One Flo (Part 1) [Explicit]","2010","3:55","128"

