
Title,Artist,Album,Year,Length,BPM


"1985 (Dj Cut 2026)","Bowling for Soup","Bowling for Soup","    ","3:11","120.000000"

"Ain't It Fun (Blanced)","Paramore","Paramore","2013","4:57","104"

"all the good girls go to hell (Dj Cut)","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019","2:44","92"

"As It Was (8ct looper)","Harry Styles","Harry's House","2022","2:47","87"

"Bad Blood [feat. Kendrick Lamar] - 170","Taylor Swift","NOW That's What I Call Music! Vol. 56","2015","3:16","85"

"bad guy","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","2019","3:14","134"

"Bang! (Dj Special 2022)","AJR","Bang!","2020","2:51","140"

"Beggin'","Måneskin","Chosen [Explicit]","2017","3:32","134.280000"

"Believer (125bpm)","Imagine Dragons","Evolve","2017","3:24","125"

"Best Friend - Sofi Tucker (Clean)","Sofi Tukker feat. NERVO, The Knocks & Alisa Ueno","Best Friend (The Remixes) [Explicit]","2017","3:04","102"

"Best Song Ever (from "This Is Us")","One Direction","Best Song Ever (from "This Is Us")  - Single","","3:23","118"

"Blank Space (Dj Cut 2024)","Taylor Swift","1989 [+digital booklet]","2014","3:57","96"

"Blood In The Cut (Clean)","K.Flay","Blood In the Cut","    ","3:09","130"

"BOOM - {X Ambassadors} (Dj Cut 2024)","X Ambassadors","BOOM","2019","2:48","108"

"broken","lovelytheband","finding it hard to smile [Explicit]","2018","3:25","123"

"California Girls (DJ Special 2024)","Katy Perry","Katy Perry","","4:02","125"

"Call Me Maybe (Dj cut 2022)","Carly Rae Jepsen","Carly Rae Jepsen","    ","3:17","120"

"Can You Handle My Love?? [Clean] (8ct looper)","WALK THE MOON","Can You Handle My Love?? [Explicit]","2021","4:16","105"

"Can You Handle My Love?? (dirty) (8ct looper)","WALK THE MOON","Can You Handle My Love?? [Explicit]","2021","4:16","105"

"Cheerleader (Felix Jaehn Remix / Radio Edit)","Omi","NOW That's What I Call A Workout 2016","2015","2:59","118"

"Come With Me Now","Kongos","Lunatic [Explicit]","2014","3:32","104"

"Cool for the Summer [Clean]","Demi Lovato","NOW That's What I Call Music! Vol. 56","2015","3:33","114"

"Cooler Than Me (Single Mix) (Dj Cut OK) (130 bpm)","Mike Posner","31 Minutes To Takeoff","2010","3:47","130"

"Counting Stars","OneRepublic","Native","2014","4:18","122"

"Crazy Beautiful (NOW What's Next!)","Skylar Stecker","NOW That's What I Call Music! Vol. 56","2015","3:29","100"

"Dance Monkey","Tones and I","Dance Monkey","2019","3:29","98"

"Dangerous (feat. Joywave)","Big Data","Dangerous (feat. Joywave)","2014","4:40","103"

"Dirty Little Secret (doubletime) - 72","All American Rejects","All American Rejects","2005","3:14","143"

"Drag Me Down (Dj Special 2023)","One Direction","Made In The A.M. (Deluxe Edition)","","3:12","137"

"Elephant (123bpm) (8ct looper)","Tame Impala","Elephant","2012","3:31","123"

"Everybody's Gonna Love Somebody (120 bpm)","Alfie Templeman","Everybody’s Gonna Love Somebody","2021","3:57","120"

"Ex's & Oh's - 70","Elle King","NOW That's What I Call Music! Vol. 56","2015","3:20","140"

