Song Title,Artists,BPM,Comments,Length

"3 Tequila Floor (4 Phrase)","Josiah Siska","81","2020s Country/Cusp 2010s","3:29"

"A Bar Song (Tipsy) [Edited] {4 Phrase}","Shaboozey","81","2020s Country/Cusp 2010s","2:49"

"A Bar Song (Tipsy) [Explicit] {4 Phrase}","Shaboozey","81","2020s Country/Cusp 2010s","2:51"

"AA","Walker Hayes","104","2020s Country","3:10"

"Drink O' clock","Francelle","159","2020s Country","2:35"

"Drunk (And I Don't Wanna Go Home)","Elle King & Miranda Lambert","120","2020s Country","4:05"

"Gone Gone Gone","Casey Barnes","124","2020s Country/Cusp 2010s","3:16"

"Heart on Fire","Eric Church","120","2020s Country","4:19"

"I See Country","Ian Munsick","129.050000","2020s Country/Cusp 2010s","4:05"

"Miles On It (Dj Cut 2026)","Marshmello & Kane Brown","130","2020s Country/Cusp 2010s","3:02"

"One Margarita","Luke Bryan","90","2020s Country","3:13"

"Project","Chase McDaniel","127","2020s Country","3:00"

