
Title,Artist,Album,Year,Length,BPM


"(I've Got Spurs That) Jingle, Jangle, Jingle  (looper 8ct)","Gene Autry","Gene Autry, Vol. 2 (Remastered)","2012","2:42","112"

"(Now and Then There's) A Fool Such as I  (Country)","Elvis Presley","Elvis 30 #1 Hits","2002","2:39","126"

"Above And Beyond","Buck Owens","The Buck Owens Story, Volume 1: 1956-1964","1960","2:27","147"

"Ain't Nobody Here But Us Chickens (Dj Special 2022)","Louis Jordan & His Tympany Five","Ain't Nobody Here But Us Chickens (Dj Special 2022)","","3:00","150"

"Ain't That Just Like A Woman? (doubletime)","Louis Jordan & His Tympany Five","Man Alive - It's The Jumping Jive","1999","2:50","88"

"Alabam (Doubletime)","Cowboy Copas","Best Of The Best","2009","2:19","107"

"Alone With You (Doubletime)","Faron Young","The Complete Capitol Hits Of Faron Young","2000","1:57","106"

"Are You Teasing Me","Carl Smith","The Essential Carl Smith","2015","2:37","137"

"Beans And Cornbread","Louis Jordan & His Tympany Five","The Best Of Louis Jordan","1949","2:49","107"

"Big River (Doubletime)","Johnny Cash","Super Hits","1957","2:30","92"

"Big, Big Love (Wynn Stewart)(Dj Special 2022)(4 phrase)","Wynn Stewart","Mama Tried","1961","2:21","81"

"Billy Bayou (Doubletime)","Jim Reeves","Country Number Ones [Disc 4]","","2:06","83"

"Birmingham Bounce","Red Foley","Country Number Ones","","3:03","88"

"Blue Blue Day (Dj Cut 2022)(4 phrase)","Don Gibson","Country Number Ones","","2:03","99"

"Blue Moon of Kentucky (Dj Cut 2023)","Elvis Presley","The Complete '50s Albums Collection","1954","2:12","112"

"Caldonia (Single Version) (Dj Cut 2022)","Louis Jordan & His Tympany Five","20th Century Masters: The Millennium Collection: Best Of Louis Jordan (Reissue)","1999","2:00","83"

"Camptown Races (Doo Daa Doo Daa)[Dj Cut 2022](4 phrase doubletime))","The Jack  Halloran Singers","Camptown Races","2013","2:10","126"

"Candy Kisses","George Morgan","The Late Great - 14 Greatest Hits","2009","2:41","129"

"Caribbean (Dj Specail 2023)","Hank Snow","The Essential Hank Snow","2013","2:30","81"

"Chattanoogie Shoe Shime Boy (Dj special 2022)(4 phrase)","Red Foley","Country Number Ones [Disc 1]","","2:48","150"

"Choo Choo Ch'Boogie","Louis Jordan & His Tympany Five","20th Century Masters: The Millennium Collection: Best Of Louis Jordan (Reissue)","1999","2:44","85"

"Cigarettes and Coffee Blues (8ct looper)","Lefty Frizzell","The Essential Lefty Frizzell","2013","2:34","131"

"Deep In the Heart of Texas","Gene Autry","The Essential Gene Autry","2005","2:44","114"

"Divorce Me C.O.D (Doubletime)","Merle Travis","Country Number Ones [Disc 2]","","3:00","91"

"Drinking All My Troubles Away (4 phrase)","Paul Howard","Classic Country Hits!","1947","2:51","107"

"Dust On My Telephone (4 phrase)","Jim Boyd","","1949","2:51","104"

"Everybody's Somebody's Fool","Connie Francis","Gold","1999","2:38","84"

"Excuse Me (I Think I've Got a Heartache)(Dj Special 2023)","Buck Owens","Buck Owens","1960","2:27","143"

"Face To The Wall (Dj Cut 2023)","Faron Young","The Complete Capitol Hits Of Faron Young","2000","2:18","133"

