Song Title,Artists,BPM,Comments,Length

"(Love Is) The Tender Trap","Frank Sinatra","120","40s 50s Jazz and Big Band Classics","2:58"

"5 Card Stud (Song) (4 Phrase)","Dean Martin","105","40s 50s Jazz and Big Band Classics","2:02"

"A Foggy Day - 75","Frank Sinatra","150","40s 50s Jazz and Big Band Classics","2:17"

"A Rockin' Good Way (To Mess Around And Fall In Love)","Dinah Washington & Brook Benton","130","40s 50s Jazz and Big Band","2:29"

"Ain't Misbehavin' (4 Phrase)","Louis Armstrong","154","40s 50s Jazz and Big Band Classics","4:38"

"Ain't Nobody Here But Us Chickens (Dj Special 2022)","Louis Jordan & His Tympany Five","150","40s 50s Jazz and Big Band","3:00"

"Aint That A Kick In The Head (Dj Special 2023)","Dean Martin","133","40s 50s Jazz and Big Band Classics","2:28"

"Ain't That Just Like A Woman? (doubletime)","Louis Jordan & His Tympany Five","88","40s 50s Jazz and Big Band","2:50"

"Alexander’s Ragtime Band (Version by Ella Fitzgerald Acc by Paul Weston Orchestra)","Ella Fitzgerald & Paul Weston Orchestra","85","40s 50s Jazz and Big Band","2:44"

"All The Jive Is Gone (Dj special 2022) (4 Phrase)","Andy Kirk, The Big Band and Jazz Orchestra","100","40s 50s Jazz and Big Band","2:22"

"American Beauty Rose (4 phrase)","Frank Sinatra","96","40s 50s Jazz and Big Band Classics","2:20"

"Are You Having Any Fun","Tony Bennett","145","40s 50s Jazz and Big Band","2:46"

"A-Tisket, A-Tasket (8ct looper)","Ella Fitzgerald","82","40s 50s Jazz and Big Band","2:40"

"Baby (You've Got What It Takes)(Dj Special 2022)","Dinah Washington","132","40s 50s Jazz and Big Band","2:47"

"Beans And Cornbread","Louis Jordan & His Tympany Five","107","40s 50s Jazz and Big Band","2:49"

"Blues In The Night (My Mama Done Tol' Me) (91.49bpms)","Cab Calloway","91","40s 50s Jazz and Big Band","3:10"

"Boogie Woogie Bugle Boy","The Andrews Sisters","98","40s 50s Jazz and Big Band/WMSport","2:17"

"Caldonia (Single Version) (Dj Cut 2022)","Louis Jordan & His Tympany Five","83","40s 50s Jazz and Big Band","2:00"

"Camptown Races (Doo Daa Doo Daa)[Dj Cut 2022](4 phrase doubletime))","The Jack  Halloran Singers","126","40s 50s Jazz and Big Band","2:10"

"Can I Steal A Little Love","Frank Sinatra","122","40s 50s Jazz and Big Band Classics","2:33"

"Chattanoogie Shoe Shime Boy (Dj Special 2022)(4 phrase)","Red Foley","149","40s 50s Jazz and Big Band","2:48"

"Che La Luna (Doubletime)","Louis Prima","116","40s 50s Jazz and Big Band","1:54"

