Song Title,Artists,BPM,Comments,Length

"(Let Me Be Your) Teddy Bear (Dj Cut 2022)","Elvis Presley","89","50s Doo Wop/Pop","1:51"

"(You're So Square) Baby I Don't Care [Dj Special 2024]{4 Phrase}","Elvis Presley","95","50s Doo Wop-Honky Tonks","1:53"

"A Big Hunk O' Love (Doubletime)","Elvis Presley","87","50s Doo Wop-Honky Tonks","2:13"

"A Fool In Love (Dj special 2022 Tempo Adjusted 128bpm)","Ike And Tina Turner","128","50s Doo Wop","2:43"

"A Lover's question (Doubletime)","Clyde McPhatter","83","50s Doo Wop","2:33"

"A Mess of Blues","Elvis Presley","116","50s Doo Wop-Honky Tonks","2:41"

"A Teenager In Love - 79.38","Dion & The Belmonts","158","50s Doo Wop-Honky Tonks","2:33"

"All Shook up - 150","Elvis Presley","150","50s Doo Wop/Pop/MensSports","1:59"

"At The Hop (doubletime)","Danny & The Juniors","96","50s Doo Wop","2:33"

"Babalu's Wedding Day (4 Phrase)","The Eternals","98","50s Doo Wop","2:11"

"Be My Baby","The Ronettes","128","50s Doo Wop","2:41"

"Big Girls Dont Cry (l8ct ooper)","Frankie Valli","130","50s Doo Wop","2:28"

"Birth of the Boogie (Doubletime)","Bill Haley and His Comets","91","50s Doo Wop","2:14"

"Blue Moon","The Marcels","129","50s Doo Wop-Honky Tonks","2:16"

"Blue Suede Shoes (Dj cut 2022)(Doubletime)","Elvis Presley","96","50s Doo Wop-Honky Tonks","2:05"

"Blueberry Hill (92bpm)","Fats Domino","92","50s Doo Wop","2:20"

"Bony Moronie (Digitally Remastered)","Larry Williams","83","50s Doo Wop","3:06"

"Book of Love (8ct looper)","The Monotones","102","50s Doo Wop-Honky Tonks","2:21"

"Boom Boom (Dj Cut) (Doubletime)","John Lee Hooker","81","50s Doo Wop/MensSports","2:29"

"Breaking Up Is Hard to Do (Dj cut 2022)","Neil Sedaka","116","50s Doo Wop-Honky Tonks","2:48"

"Bye Bye Love (Dj Cut 2022)","Everly Brothers","83","50s Doo Wop","2:28"

"Chantilly Lace (Dj Cut Special 2022)","The Big Bopper","86","50s Doo Wop-Honky Tonks","2:47"

"Charlie Brown (Dj Cut 2022)","The Coasters","129","50s Doo Wop/Pop","2:25"

"C'mon Everybody (4 Phrase)","Eddie Cochran","89","50s Doo Wop-Honky Tonks","1:57"

"Come Go With Me","The Del-Vikings","128","50s Doo Wop","2:38"

"Come On, Let's Go (doubletime)","Ritchie Valens","81","50s Doo Wop","2:05"

"Crazy Arms","Jerry Lee Lewis","124","50s Doo Wop","2:45"

"Da Doo Ron Ron (FAST START)","The Crystals","148","50s Doo Wop/Pop/WMSport","2:16"

"Do You Want to Dance (Dj Cut 2023)[4 Phrase]","Bobby Freeman","82","50s Doo Wop","2:39"

"Doncha' Think It's Time (Dj Cut 2024)","Elvis Presley","135","50s Doo Wop-Honky Tonks","1:53"

"Don't Be Cruel (doubletime)","Elvis Presley","84","50s Doo Wop-Honky Tonks/MensSports","2:05"

"Dream Lover","Bobby Darin","132","50s Doo Wop","2:31"

"Duke Of Earl","Gene Chandler","103","50s Doo Wop-Honky Tonks","2:22"

"Dum Dum","Brenda Lee","127","50s Doo Wop-Jazz","2:26"

"Everybody Loves to Cha Cha Cha (Dj Cut 2023)","Sam Cooke","128","50s Doo Wop","2:48"

"Finger Poppin Time (Dj Cut 2022)","Hank Ballard & the Midnighters","80","50s Doo Wop-Honky Tonks","2:38"

"Flip Flop and Fly","Big Joe Turner and His Blues Kings","82","50s Doo Wop","2:49"

"Get a job (doubletime)","The Silhouettes","80","50s Doo Wop-Honky Tonks","2:48"

"Girl Next Door Went a 'Walking (Doubletime)","Elvis Presley","89","50s Doo Wop-Honky Tonks","2:13"

"Going To The Chapal Of Love (Dj Cut 2022)(4 phrase)","The Dixie Cups","123","50s Doo Wop-Honky Tonks","2:50"

"Good Golly Miss Molly - (82pm) (Douletime)","Little Richard","82","50s Doo Wop/Pop/MensSports","2:13"

"Good Rockin' Tonight (Dj Special 2023)[4 Phrase]","Elvis Presley","84","50s Doo Wop-Honky Tonks","2:02"

"Goody Goody","Frankie Lymon & The Teenagers","88","50s Doo Wop-Honky Tonks","2:13"

"Got a Lot O' Livin' to Do!","Elvis Presley","99","50s Doo Wop-Honky Tonks","2:34"

"Got My Mojo Working (Dj Special 2022)(4 phrase)","Muddy Waters","113","50s Doo Wop-Jazz","2:31"

"Great Balls Of Fire (Dj cut 2022)","Jerry Lee Lewis","80","50s Doo Wop/Pop/MensSports","1:58"

"Hard Headed Woman (Dj Cut 2022)","Elvis Presley","98","50s Doo Wop-Honky Tonks","1:59"

"Heartbreak Hotel (No Cut)","Elvis Presley","93","50s Doo Wop-Honky Tonks","2:08"

"Hey Little Girl (4 phrase doubletime)","Dee Clark","105","50s Doo Wop","2:15"

"High School Confidential (Dj Cut 2024)[4 Phrase]","Jerry Lee Lewis","93","50s Doo Wop-Honky Tonks","2:39"

"Honeycomb (Douletime)","Jimmie Rodgers","99","50s Doo Wop","2:17"

