Song Title,Artists,BPM,Comments,Length

"7-Rooms Of Gloom (Dj Cut)","The Four Tops","89","60s B-Sides_Motown Soul","2:23"

"A Fool In Love (Dj special 2022 Tempo Adjusted 128bpm)","Ike And Tina Turner","129","60s B-Sides_Motown Soul","2:43"

"ABC (Tempo Adjusted) [Dj Special 2023]","The Jackson 5","93","60s A-Sides_Motown Soul/MensSports","3:04"

"Ain't No Mountain High Enough (MG-TT) {Dj Cut 2026 From The Top}","Marvin Gaye","126.000000","used AudioCatalyst, NuQ","2:43"

"Ain't Nothing Like the Real Thing (8ct looper)","Marvin Gaye & Tammi Terrell","93","60s A-Sides_Motown Soul","2:17"

"Ain't That Peculiar (Single Version) (Doubletime)","Marvin Gaye","81","60s A-Sides_Motown Soul","3:00"

"Ain't Too Proud to Beg (Dj Cut)","The Temptations","119","60s A-Sides_Motown Soul/Pop/MensSports","2:48"

"Angel Doll","The Temptations","119","60s B-Sides_Motown Soul","2:31"

"Any Day Now (My Wild Beautiful Bird)","Chuck Jackson","109","60s B-Sides_Motown Soul","3:19"

"Baby I Need Your Loving","The Four Tops","121","60s A-Sides_Motown Soul","2:46"

"Baby Love","The Supremes","135","60s A-Sides_Motown Soul","2:38"

"Back In My Arms Again","The Supremes","121","60s B-Sides_Motown Soul","2:58"

"Beauty Is Only Skin Deep","The Temptations","120","60s A-Sides_Motown Soul","2:24"

"Beechwood 4-5789","The Marvelettes","139","60s B-Sides_Motown Soul","2:14"

"Bernadette (looper 8ct)","The Four Tops","111","60s A-Sides_Motown Soul","3:04"

"But It's Alright","J. J. Jackson","115","60s A-Sides_Motown Soul","2:56"

"Can I Get A Witness (song 5)","Marvin Gaye","84","60s A-Sides_Motown Soul","2:50"

"Chain Gang","Sam Cooke","131","60s A-Sides_Motown Soul","2:38"

"Chain Of Fools (Dj Cut 2022)","Aretha Franklin","117","60s A-Sides_Motown Soul","2:48"

"Come See About Me","The Supremes","126","60s A-Sides_Motown Soul/WMSport","2:42"

"Cool Jerk (Doubletime)","Capitols","84","60s B-Sides_Motown Soul","2:46"

"Dancin' Party","Chubby Checker","83","60s A-Sides_Motown Soul","2:06"

"Dancing in the Street","Martha & the Vandellas","125","60s A-Sides_Motown Soul/Pop/WMSport","2:40"

"Do You Love Me (Dj Special 2022)","The Contours","150","60s A-Sides_Motown Soul","2:43"

"Don't Mess With Bill (8ct looper)","The Marvelettes","116","60s B-Sides_Motown Soul","2:51"

"Drop In The Bucket (134bpm)","Kim Weston","134","60s B-Sides_Motown Soul","2:20"

"Everybody Needs Somebody to Love (Single Version)[4 Phrase]","Wilson Pickett","94","60s A-Sides_Motown Soul","2:20"

"Fingertips (Parts I & II) (Dj Cut 2022)","Stevie Wonder","139","60s B-Sides_Motown Soul","2:53"

"First I Look at the Purse (158bpm)","The Contours","158","60s A-Sides_Motown Soul","3:06"

"Foot Stomping (Pt. 1) (8ct looper)","The Flares","121","60s B-Sides_Motown Soul","2:18"

"Function at the Junction ","Shorty Long","114","60s A-Sides_Motown Soul","2:54"

"Get Ready (8ct looper)","The Temptations","135","60s A-Sides_Motown Soul/MensSports","2:39"

"Gimme Little Sign","Brenton Wood","112","60s B-Sides_Motown Soul","2:21"

"Girl (Why You Wanna Make Me Blue)","The Temptations","135","60s B-Sides_Motown Soul","2:17"

"Going To A Go-Go","Smokey Robinson & The Miracles","129","60s A-Sides_Motown Soul/MensSports","2:51"

"Got My Mojo Working (doubletime)","Muddy Waters","114","60s A-Sides_Motown Soul","2:50"

"Green Onions","Booker T. and The MG's","137","60s A-Sides_Motown Soul","2:55"

"He Was Really Sayin' Somethin'","The Velvelettes","134","60s A-Sides_Motown Soul","2:33"

"He's My Sunny Boy (8ct Looper)","Diana Ross & The Supremes","104","60s B-Sides_Motown Soul","2:21"

"He's The One I Love","Tammi Terrell","112","60s B-Sides_Motown Soul","2:37"

"Hip Hug-Her (8ct looper)","Booker T. & The M.G.'s","109","60s B-Sides_Motown Soul","2:27"

"Hit The Road Jack (doubletime)","Ray Charles","86","60s A-Sides_Panther Soul/Pop/MensSports","1:55"

"Hitch Hike (8ct Looper)","Marvin Gaye","113","60s B-Sides_Motown Soul","2:36"

"Hold On I'm Coming (Slow Start)","Sam and Dave","109","60s A-Sides_Motown Soul/MensSports","2:34"

"How Sweet It Is (To Be Loved By You)","Junior Walker & The All Stars","126","60s B-Sides_Motown Soul","3:02"

"How Sweet It Is To Be Loved By You (Dj Cut 2022)","Marvin Gaye","112","60s A-Sides_Motown Soul","3:01"

"I Can't Help Myself (Sugar Pie, Honey Bunch)","The Four Tops","127","60s A-Sides_Motown Soul","2:44"

"I Hear A Symphony - 70.4bpm (Doubletime) (Boosted)","The Supremes","141","60s A-Sides_Motown Soul","2:44"

"I Heard It Through The Grapevine (Boosted Intro)","Marvin Gaye","116","60s A-Sides_Motown Soul/Pop","3:14"

"I Second That Emotion (8ct looper)(Slow start)","Smokey Robinson","97","60s A-Sides_Motown Soul","2:49"

"I Want You Back","The Jackson 5","98","60s A-Sides_Motown Soul/Pop","3:00"

"I Was Made to Love Her (8ct looper)","Stevie Wonder","102","60s A-Sides_Motown Soul","2:35"

"If I Could Build My Whole World Around You","Marvin Gaye & Tammi Terrell","123","60s A-Sides_Motown Soul","2:26"

"I'll Be Doggone","Marvin Gaye","133","60s B-Sides_Motown Soul","2:49"

"I'll Be in Trouble (Dj Special 2021)","The Temptations","129","60s B-Sides_Motown Soul","2:58"

"I'm A Soul Man","Sam and Dave","113","60s A-Sides_Motown Soul/MensSports","2:39"

"Midnight Hour","Wilson Pickett","111","60s A-Sides_Motown Soul","2:29"

"It Takes Two (MG)(DJ Special 2022)","Marvin Gaye & Tammi Terrell","150","60s B-Sides_Motown Soul","2:58"

"It's the Same Old Song","The Four Tops","126","60s A-Sides_Motown Soul","2:46"

"Jimmy Mack","The Marvelettes","131","60s B-Sides_Motown Soul","2:51"

"Land Of 1000 Dances - 176 (Doubletime)","Wilson Pickett","87","60s A-Sides_Motown Soul","2:26"

"Loco-motion","Little Eva","128","60s B-Sides_Motown Soul","2:32"

"Love Child","Diana Ross & The Supremes","104","60s B-Sides_Motown Soul","2:57"

"Love Is Here and Now You're Gone (Dj Special 2023)","The Supremes","114","60s A-Sides_Motown Soul","2:51"

"(Love Is Like A Heatwave) Heat Wave (Doubletime)","Martha & the Vandellas","83","60s A-Sides_Panther Soul/WMSport","2:43"

"Mama Said - 70.16","The Shirelles","140","60s A-Sides_Motown Soul","2:06"

"Mashed Potato Time","Dee Dee Sharp","128","60s B-Sides_Motown Soul","2:41"

"Mickey's Monkey (4 phrase)","Smokey Robinson & The Miracles","94","60s B-Sides_Motown Soul","2:44"

"Money (That's What I Want)","Barrett Strong","133","60s B-Sides_Motown Soul","2:35"

"Mr. Pitiful","Otis Redding","124","60s B-Sides_Motown Soul","2:40"

"Mustang Sally","Wilson Pickett","109","60s A-Sides_Motown Soul","3:08"

"My Boy Lollipop (Dj Cut 2022)","Millie","132","60s A-Sides_Motown Soul","2:05"

"My Cherie Amour (Dj Cut)","Stevie Wonder","101","60s A-Sides_Motown Soul","2:41"

"My Girl (Slow start)","The Temptations","104","60s A-Sides_Motown Soul","2:45"

"My Guy","Mary Wells","125","60s A-Sides_Motown Soul","2:50"

"My Mistake (Was To Love You)","Diana Ross & Marvin Gaye","116","60s B-Sides_Motown Soul","3:01"

"My World Is Empty Without You (Dj Special 2023)","The Supremes","87","60s A-Sides_Motown Soul","2:36"

"Nathan Jones","The Supremes","157","60s B-Sides_Motown Soul","3:05"

"Needle in a Haystack","The Velvelettes","155","60s A-Sides_Motown Soul","2:32"

"Nothing But A Heartache (8ct Looper)","The Flirtations","112","60s B-Sides_Motown Soul","2:41"

"Nowhere to Run (Dj Cut 2025)","Martha & the Vandellas","129","60s A-Sides_Motown Soul/Pop/WMSport","3:10"

"Oogum Boogum Song (8ct looper)","Brenton Wood","112","60s B-Sides_Motown Soul","3:07"

"Please Mr. Postman (slow start)","The Marvelettes","121","60s A-Sides_Motown Soul","2:31"

"Pony Time (Dj Special 2023) [4 Phrase]","Chubby Checker","158","60s A-Sides_Motown Soul","2:33"

"Pride and Joy (122 bpm)","Marvin Gaye","122","60s A-Sides_Motown Soul","2:08"

"Proud Mary - Ike and Tina (Starts @ 97 ends at 89)","Ike  & Tina Turner","97","60s B-Sides_Motown Soul","4:52"

"Quarter To Three (doubletime)","Gary U.S. Bonds","82","60s B-Sides_Motown Soul","2:30"

"Quicksand (Single Version (Mono))(doubletime)","Martha & the Vandellas","85","60s B-Sides_Motown Soul","2:42"

"Reach Out (I'll Be There)","The Four Tops","119","60s A-Sides_Motown Soul","3:01"

"Reflections (awkard prases)","Diana Ross & The Supremes","99","60s A-Sides_Motown Soul","2:53"

"Shake a Tail Feather","The Five Du-Tones","154","60s A-Sides_Motown Soul","2:24"

"Shake Me, Wake Me (When It's Over) (8ct looper)","The Four Tops","129","60s B-Sides_Motown Soul","2:40"

"Shake Rattle and Roll (Sam Cooke)","Sam Cooke","135","60s A-Sides_Motown Soul","3:16"

"Shop Around (Dj special 2022)","Smokey Robinson & The Miracles","131","60s A-Sides_Motown Soul","2:41"

"Shotgun","Junior Walker & The All Stars","121","60s A-Sides_Motown Soul/Pop/MensSports","2:57"

"Signed, Sealed, Delivered I'm Yours","Stevie Wonder","108","60s A-Sides_Motown Soul/Pop","2:37"

"Sitting On The Dock Of The Bay","Otis Redding","103","60s A-Sides_Motown Soul/Pop","2:45"

"Someday We'll Be Together","Diana Ross and the Supremes","107","60s A-Sides_Motown Soul","3:28"

"Something About You","The Four Tops","130","60s B-Sides_Motown Soul","2:41"

"Soul Bossa Nova (8ct looper)","Quincy Jones","152","60s A-Sides_Motown Soul","2:45"

"Special Occasion","Smokey Robinson","103","60s B-Sides_Motown Soul","2:22"

"Spinning Wheel (Dj Cut)","Blood, Sweat & Tears","97","60s B-Sides_Motown Soul","4:06"

"Standing in the Shadows of Love","The Four Tops","114","60s A-Sides_Motown Soul","2:39"

"Still Water (Love)","The Four Tops","93","60s B-Sides_Motown Soul","3:16"

"Stoned Love","The Supremes","119","60s B-Sides_Motown Soul","3:01"

"Stop! In The Name Of Love (Dj cut 2022) ","The Supremes","116","60s A-Sides_Motown Soul","3:02"

"Stubborn Kind of Fellow","Marvin Gaye","109","60s B-Sides_Motown Soul","2:46"

"Sweet Soul Music ","Arthur Conley","80","60s A-Sides_Motown Soul","2:21"

"Take Me in Your Arms (Rock Me a Little While) (doubletime)(SLOW START)","Kim Weston","89","60s A-Sides_Motown Soul","2:58"

"Tears of a Clown (Slow Start)","Smokey Robinson & the Miracles","125","60s A-Sides_Motown Soul","3:07"

"That's The Way Love Is","Marvin Gaye","110","60s B-Sides_Motown Soul","3:36"

"That's Why (I Love You So)","Jackie Wilson","147","60s A-Sides_Motown Soul","2:06"

"The Boy From New York City","The Ad Libs","151","60s A-Sides_Motown Soul/WMSport","3:02"

"The Girl's Alright With Me (SLOW START)","The Temptations","125","60s B-Sides_Motown Soul","2:50"

"The Happening (Dj Cut 2024)","The Supremes","98","60s B-Sides_Motown Soul","3:36"

"The "In" Crowd (Dobie Gray)","Dobie Gray","117","60s B-Sides_Motown Soul","2:56"

"The In Crowd -Instr- (Ramsey Lewis Trio) (8ct looper)","Ramsey Lewis Trio","141","60s B-Sides_Motown Soul","3:15"

"The Love You Save (Dj Cut 2025)","The Jackson 5","113","60s A-Sides_Motown Soul/Pop","3:22"

"The Name Game","Shirley Ellis","81","60s A-Sides_Motown Soul","2:45"

"The Nitty Gritty (Diana Ross & The Supremes)","Diana Ross & The Supremes","109","60s B-Sides_Motown Soul","2:53"

"The Shoop Shoop Song (Dj Cut)","Betty Everett","122","60s A-Sides_Motown Soul","2:17"

"The Wah-Watusi","The Orlons","134","60s B-Sides_Motown Soul","2:30"

"The Way You Do the Things You Do (Speeds up) (8ct looper)","The Temptations","123","60s A-Sides_Motown Soul","2:41"

"This Old Heart of Mine (Is Weak for You)","The Isley Brothers","131","60s A-Sides_Motown Soul","2:47"

"Too Busy Thinking About My Baby","Marvin Gaye","120","60s A-Sides_Motown Soul","2:55"

"Twist and Shout","The Isley Brothers","124","60s A-Sides_Motown Soul","2:29"

"Twistin' The Night Away (Dj Cut)","Sam Cooke","80","60s A-Sides_Motown Soul","2:47"

"Unchain My Heart","Ray Charles","153","60s A-Sides_Motown Soul","2:51"

"Up on the Roof","The Drifters","122","60s B-Sides_Motown Soul","2:40"

"Uptight (Everything's Alright)","Stevie Wonder","133","60s A-Sides_Motown Soul","2:55"

"Walk Away Renee (8ct looper)","The Four Tops","116","60s B-Sides_Motown Soul","2:47"

"What's Easy for Two Is So Is Hard For One (Dj Cut 2023)","Mary Wells","134","60s A-Sides_Motown Soul","2:56"

"Where Did I our Love Go (8ct looper)","The Supremes","135","60s A-Sides_Motown Soul","2:34"

"Whispers (Getting Louder)","Jackie Wilson","116","60s B-Sides_Motown Soul","2:25"

"Wrap It Up","Sam and Dave","111","60s A-Sides_Motown Soul","2:33"

"You can't Hurry Love (doubletime)","The Supremes","97","60s A-Sides_Motown Soul","2:47"

"You Keep Me Hanging On","Diana Ross & The Supremes","127","60s A-Sides_Motown Soul/WMSport","2:43"

"You Keep Running Away (Dj Cut 2022)","The Four Tops","98","60s B-Sides_Motown Soul","2:59"

"(Your Love Keeps Lifting Me) Higher and Higher (doubletime)","Jackie Wilson","96","60s A-Sides_Motown Soul/Pop","2:52"

"You're A Wonderful One (Doubletime) (Remaster)","Marvin Gaye","85","60s A-Sides_Motown Soul","2:42"

