Song Title,Artists,BPM,Comments,Length

"(I Know) I'm Losing You (Slow start)(108bpm)","The Temptations","108","60s A-Sides_Panther Soul","2:28"

"(I Wanna) Testify (Dj Special 2023)","The Parliaments","100","60s B-Sides_Panther Soul","3:07"

"(Sweet Sweet Baby) Since You've Been Gone (Dj Cut)","Aretha Franklin","117","60s A-Sides_Panther Soul","2:29"

"Ain't No Mountain High Enough (Tempo Adjusted Dj Special 2022)","Diana Ross","99","60s B-Sides_Panther Soul","3:34"

"Ain't No Mountain High Enough","Marvin Gaye","129","60s A-Sides_Panther Soul","2:28"

"Ain't Nothing Like the Real Thing (8ct looper)","Marvin Gaye & Tammi Terrell","93","60s B-Sides_Panther Soul_Mix","2:17"

"Ain't That A Groove","James Brown","121","60s B-Sides_Panther Soul","2:41"

"Amen","The Impressions","129","60s B-Sides_Panther Soul","3:13"

"Angel Doll","The Temptations","119","60s B-Sides_Panther Soul_Mix","2:31"

"Aquarius Pt.2 [Dj Cut Redux]","The 5th Dimension","117","60s B-Sides_Panther Soul","2:30"

"Ball of Confusion (That's What the World Is Today)","The Temptations","80","60s B-Sides_Panther Soul_Mix","4:04"

"Band Of Gold","Freda Payne","106","60s B-Sides_Panther Soul","2:57"

"Barefootin'","Robert Parker","142","60s B-Sides_Panther Soul","2:44"

"Chain Of Fools (Dj Cut 2022)","Aretha Franklin","117","60s B-Sides_Panther Soul_Mix","2:48"

"Cloud Nine (Slow Start)","The Temptations","118","60s A-Sides_Panther Soul","3:37"

"Cold Sweat, Pt. 1","James Brown","111","60s A-Sides_Panther Soul","2:51"

"Come Together - Ike and Tina (doubletime","Ike  & Tina Turner","159","60s B-Sides_Panther Soul","3:38"

"Crystal Blue Persuasion (Dj cut)(8ct looper)","Tommy James & The Shondells","99","60s B-Sides_Panther Soul","4:09"

"Dance to the Music","Sly & the Family Stone","129","60s A-Sides_Panther Soul/Pop/MensSports","2:56"

"Do The Funky Chicken","Rufus Thomas","114","60s B-Sides_Panther Soul","3:18"

"Everyday People","Sly And The Family Stone","114","60s A-Sides_Panther Soul","2:23"

"For Once In My Life","Stevie Wonder","109","60s B-Sides_Panther Soul_Mix","2:52"

"Funky Broadway","Diana Ross & The Supremes & The Temptations","109","60s B-Sides_Panther Soul","2:31"

"Get on the Good Foot","James Brown","108","60s B-Sides_Panther Soul","3:35"

"Get Up (I Feel Like Being A) Sex Machine, Pt. 1 (Dj Cut 2022)","James Brown","108","60s A-Sides_Panther Soul","5:10"

"Get up Offa That Thing (Tempo Adj 2026)","James Brown","116.800000","60s A-Sides_Panther Soul/Pop/MensSports","4:09"

"Get Up, Get Into It, Get Involved (Pt. 1 & 2 / Mono)","James Brown","110","60s B-Sides_Panther Soul","7:07"

"Give It up or Turnit a Loose (Dj Cut 2022)","James Brown","108","60s B-Sides_Panther Soul","3:18"

"Good Good Lovin' (Dj Cut 2022)(4 Phrase)","James Brown","158","60s B-Sides_Panther Soul","2:23"

"Good Time ","Johnny Daye","123","60s B-Sides_Panther Soul","2:22"

"Grazing In The Grass","Friends Of Distinction","125","60s A-Sides_Panther Soul","2:57"

"Hard to Handle (Otis Redding)[Dj Cut 2023)","Otis Redding","95","60s A-Sides_Panther Soul","2:22"

"Having a Party","Sam Cooke","122","60s A-Sides_Panther Soul","2:37"

