Song Title,Artists,BPM,Comments,Length

"(I Can't Get No) Satisfaction ","The Rolling Stones","136","60s A-Sides_Acid Rock/Pop/Menssports","3:42"

"(I'm Not Your) Steppin' Stone","The Monkees","130","60s A-Sides_Acid Rock","2:24"

"[Theme From] The Monkees (Dj Cut 2025)(4 phrase)","The Monkees","83","60s A-Sides_Acid Rock/Pop","2:31"

"19th Nervous Breakdown (Dj Cut 2023)[Doubletime]","The Rolling Stones","96","60s B-Sides_Acid Rock","3:59"

"96 Tears (Tempo adjusted)","? & The Mysterians","123","60s B-Sides_Acid Rock","2:57"

"A Beautiful Morning (Dj Cut)","The Rascals","120","60s B-Sides_Acid Rock","2:33"

"A Hazy Shade of Winter","Simon & Garfunkel","142","60s B-Sides_Acid Rock","2:18"

"A Little Bit Me, A Little Bit You (Single Version) - 79.57","The Monkees","159","60s B-Sides_Acid Rock","2:48"

"A Taste of Honey (8ct looper)","Herb Alpert & The Tijuana Brass","81","60s B-Sides_Acid Rock","2:44"

"After Midnight","Eric Clapton","127","60s A-Sides_Acid Rock","2:53"

"All Along the Watchtower","Jimi Hendrix","114","60s A-Sides_Acid Rock","3:59"

"All Right Now","Free","120","60s A-Sides_Acid Rock/Pop","4:14"

"All Together Now (Speeds up)","The Beatles","97","60s B-Sides_Acid Rock","2:11"

"All You Need Is Love (Dj Cut 2022)","The Beatles","100","60s A-Sides_Acid Rock","3:30"

"Along Comes Mary","The Association","145","60s A-Sides_Acid Rock","2:51"

"American Woman (TGW)","The Guess Who","92","60s A-Sides_Acid Rock","3:40"

"Aquarius Let the Sunshine In (The Flesh Failures) (92bpm) [Dj Cut Redux]","The 5th Dimension","92","60s B-Sides_Acid Rock","4:43"

"Back In The U.S.S.R.","The Beatles","142","60s A-Sides_Acid Rock","2:44"

"Bad Moon Rising (Dj Cut 2025)","Creedence Clearwater Revival","89","60s A-Sides_Acid Rock/Pop","2:22"

"Beatles' Movie Medley (Ends with get back)","The Beatles","83","60s B-Sides_Acid Rock","4:03"

"Being For The Benefit Of Mr. Kite! (8ct looper)","The Beatles","110","60s A-Sides_Acid Rock","2:38"

"Birthday","The Beatles","139","60s A-Sides_Acid Rock","2:43"

"Black Magic Woman/Gypsy Queen","Santana","125","60s A-Sides_Acid Rock/Panther Soul/Pop","5:19"

"Born On The Bayou (8ct looper)","Creedence Clearwater Revival","117","60s B-Sides_Acid Rock","5:15"

"Born to Be Wild","Steppenwolf","146","60s A-Sides_Acid Rock/Pop/Menssports","3:30"

"Break On Through (To The Other Side) (92bpm)(doubletime)","The Doors","92","60s A-Sides_Acid Rock/Pop/Menssports","2:28"

"Brown Eyed Girl","Van Morrison","149","60s A-Sides_Acid Rock","3:04"

"Build Me Up Buttercup","The Foundations","134","60s A-Sides_Acid Rock/Pop","2:57"

"California Dreamin (Tempo Adj-Into Boost)","The Mama's And The Papa's","113","60s A-Sides_Acid Rock","2:41"

"Can't You Hear Me Knocking (4 Phrase)","The Rolling Stones","151","60s B-Sides_Acid Rock","7:16"

"Casey Jones (Dj Cut 2023 Tempo Adj)","The Grateful Dead","98","60s B-Sides_Acid Rock","4:30"

"Come Together (doubletime looper)","The Beatles","82","60s B-Sides_Acid Rock","4:18"

"Cracklin' Rosie (8ct looper)","Neil Diamond","127","60s B-Sides_Acid Rock","2:59"

"Crosstown Traffic","Jimi Hendrix","113","60s A-Sides_Acid Rock","2:19"

"Daydream Believer","The Monkees","125","60s A-Sides_Acid Rock","3:00"

"Daydream (8ct looper)","The Lovin' Spoonful","111","60s B-Sides_Acid Rock","2:22"

"Dear Landlord (Dj Cut 2022)","Janis Joplin Big Brother & The Holding Company","115","60s B-Sides_Acid Rock","2:35"

"Different Drum [feat. Linda Ronstadt]","Stone Poneys","122","60s B-Sides_Acid Rock","2:40"

"Dizzy","Tommy Roe","104","60s B-Sides_Acid Rock","2:57"

"Doctor Robert","The Beatles","82","60s B-Sides_Acid Rock","2:14"

"Dolly Dagger (Dj Cut 2022)","Jimi Hendrix","121","60s B-Sides_Acid Rock","4:40"

"Don't Let Me Be Misunderstood","The Animals","111","60s B-Sides_Acid Rock","2:28"

"Down On Me [Live] (Dj Cut 2022)","Janis Joplin Big Brother & The Holding Company","145","60s B-Sides_Acid Rock","2:55"

"Down on Me 2.0","Janis Joplin Big Brother & The Holding Company","139","60s B-Sides_Acid Rock","3:06"

"Down on the Corner (Live)","Creedence Clearwater Revival","107","60s A-Sides_Acid Rock/Pop","2:58"

"Down On The Corner (Studio Version)","Creedence Clearwater Revival","108","60s B-Sides_Acid Rock","2:46"

"Easy Once You Know How (Dj Cut 2022)","Janis Joplin Big Brother & The Holding Company","145","60s B-Sides_Acid Rock","3:58"

"Eleanor Rigby ","The Beatles","137","60s B-Sides_Acid Rock","2:07"

"Evil Ways","Santana","117","60s A-Sides_Acid Rock","3:02"

"Ezy Rider","Jimi Hendrix","124","60s B-Sides_Acid Rock","4:10"

"Fire - Jimmy Hendrix (Dj cut 2022)","Jimi Hendrix","151","60s A-Sides_Acid Rock","2:43"

"Flower In The Sun [Live] (Dj Special 2022)","Janis Joplin Big Brother & The Holding Company","144","60s B-Sides_Acid Rock","3:10"

"For What It's Worth","Buffalo Springfield","98","60s A-Sides_Acid Rock","2:41"

"For You Blue (Dj Special 2022)","The Beatles","129","60s A-Sides_Acid Rock","2:27"

"For Your Love (89bpm)(Doubletime)","The Yardbirds","89","60s B-Sides_Acid Rock","3:21"

"Fortunate Son","Creedence Clearwater Revival","132","60s A-Sides_Acid Rock","2:19"

"Funk #49 (l18ct ooper)","James Gang","92","60s B-Sides_Acid Rock","3:56"

"Get Off Of My Cloud (Mono Version) (looper 8ct)","The Rolling Stones","125","60s B-Sides_Acid Rock","2:54"

"Gimme Shelter","The Rolling Stones","118","60s A-Sides_Acid Rock/Pop","3:28"

