Song Title,Artists,BPM,Comments,Length

"(I Can't Get No) Satisfaction ","The Rolling Stones","136","60s Surf Rock_B-Sides","3:42"

"(I'm Not Your) Steppin' Stone","The Monkees","130","60s Surf Rock_B-Sides","2:24"

"(Marie's The Name) His Latest Flame (Doubletime)","Elvis Presley","105","60s A-Sides_Surf Rock","2:07"

"[Theme From] The Monkees (Dj Cut 2025)(4 phrase)","The Monkees","83","60s A-Sides_Surf Rock","2:31"

"19th Nervous Breakdown (Dj Cut 2023)[Doubletime]","The Rolling Stones","96","60s Surf Rock_B-Sides","3:59"

"A Hard Day's Night (Dj Special 2022)","The Beatles","140","60s A-Sides_Surf Rock","2:44"

"A Little Bit Me, A Little Bit You (Single Version) - 79.57","The Monkees","159","60s Surf Rock_B-Sides","2:48"

"A Little Less Conversation","Elvis Presley","115","60s A-Sides_Surf Rock","2:02"

"A Mess of Blues","Elvis Presley","116","60s A-Sides_Surf Rock","2:41"

"Ain't She Sweet (Dj Cut 2022)","The Beatles","158","60s Surf Rock_B-Sides","2:16"

"All Day And All Of The Night","The Kinks","136","60s A-Sides_Surf Rock","2:24"

"All My Loving (Dj Special 2022)(4 phrase doubletime)","The Beatles","156","60s Surf Rock_B-Sides","2:19"

"Another Girl (Dj Cut 2022)","The Beatles","91","60s A-Sides_Surf Rock","2:15"

"Any Time At All (Dj Cut 2021)","The Beatles","143","60s Surf Rock_B-Sides","2:16"

"Baby What You Want Me to Do (8ct looper)","Elvis Presley","131","60s A-Sides_Surf Rock","2:18"

"Barbara Ann (Dj special 2022)(4 phrase)","The Beach Boys","81","60s A-Sides_Surf Rock/Pop","2:17"

"Be True to Your School (Dj Cut 2024)","The Beach Boys","138","60s Surf Rock_B-Sides","1:51"

"Beggin'","Frankie Valli & The Four Seasons","129","60s A-Sides_Surf Rock","2:48"

"Big Boss Man (Elvis R&B Version)[Dj Cut 2024]{4 Phrase}","Elvis Presley","96","60s A-Sides_Surf Rock","2:48"

"Bits and Pieces","The Dave Clark Five","146","60s A-Sides_Surf Rock","1:59"

"Bossa Nova Baby (Viva Mix) [4 Phrase)","Elvis Presley","106","60s A-Sides_Surf Rock","3:05"

"Boys (Remastered 2009)","The Beatles","145","60s Surf Rock_B-Sides","2:26"

"California Girls (8ct looper)","The Beach Boys","115","60s A-Sides_Surf Rock","2:30"

"Can't Buy Me Love (Dj special 2022)(4 phrase)","The Beatles","89","60s A-Sides_Surf Rock","2:21"

"Cant Take My Eyes Off You","Frankie Valli","122","60s A-Sides_Surf Rock","3:45"

"Can't You See That She's Mine (4 phrase)","The Dave Clark Five","80","60s Surf Rock B-Sides","2:31"

"Cherry, Cherry","Neil Diamond","84","60s Surf Rock_B-Sides","2:42"

"Cindy, Cindy (Dj Cut 2023) [4 Phrase][Speeds up to 108)","Elvis Presley","103","60s A-Sides_Surf Rock","2:44"

"Come Together - The Beatles (Doubletime)","The Beatles","82","60s Surf Rock_B-Sides","4:18"

"Come What May (Doubletime)","Elvis Presley & The Jordanaires","91","60s A-Sides_Surf Rock","2:00"

"Cool Jerk - 84","Capitols","84","60s A-Sides_Surf Rock","2:46"

"Day Tripper","The Beatles","137","60s A-Sides_Surf Rock","2:48"

"Daydream Believer","The Monkees","125","60s A-Sides_Surf Rock","3:00"

"Dizzy Miss Lizzy","The Beatles","138","60s Surf Rock_B-Sides","2:57"

"Do Wah Diddy Diddy (Dj Cut 2025)","Manfred Mann's Earth Band","127","60s A-Sides_Surf Rock/Pop","2:34"

"Do You Believe in Magic","The Lovin' Spoonful","139","60s A-Sides_Surf Rock","2:09"

"Do You Love Me (Dj Special 2022)","The Contours","150","60s A-Sides_Surf Rock/MensSports","2:43"

"Do You Wanna Dance? (Dj Cut 2024)","The Beach Boys","147","60s A-Sides_Surf Rock","2:43"

"Don't Bother Me (Remastered 2009)","The Beatles","85","60s Surf Rock_B-Sides","2:28"

"Double Shot (Of My Baby's Love)","The Swingin' Medallions","131","60s A-Sides_Surf Rock","2:13"

"Drive My Car (Dj Cut)","The Beatles","122","60s A-Sides_Surf Rock/Pop","2:39"

"Eight Days A Week (dj Special 2022)","The Beatles","137","60s A-Sides_Surf Rock","2:43"

"Everybody Come Aboard [4 Phrase]","Elvis Presley","94","60s A-Sides_Surf Rock","1:50"

"Everybody's Trying To Be My Baby (Dj Cut 2021)(doubletime)","The Beatles","85","60s Surf Rock_B-Sides","2:31"

"Finders Keepers, Losers Weepers","Elvis Presley","142","60s A-Sides_Surf Rock","1:54"

"Follow That Dream (8ct looper)","Elvis Presley","103","60s A-Sides_Surf Rock","1:41"

"From Me To You (Mono Version / Remastered 2009)","The Beatles","136","60s Surf Rock_B-Sides","1:58"

"Fun Fun Fun (Dj cut 2022) (Tempo Adjusted)","The Beach Boys","155","60s A-Sides_Surf Rock","2:04"

"Get Back","The Beatles","122","60s A-Sides_Surf Rock/Pop","3:12"

"Get Off Of My Cloud (Mono Version) (looper 8ct)","The Rolling Stones","125","60s Surf Rock_B-Sides","2:54"

"Gimme Gimme Good Lovin'","The Rhinos","135","60s Surf Rock B-Sides","2:04"

"Gimme Shelter","The Rolling Stones","118","60s Surf Rock_B-Sides","3:28"

"Gimme Some Lovin'","The Spencer Davis Group","148","60s A-Sides_Surf Rock","2:57"

"Girl Next Door Went a 'Walking (Doubletime)","Elvis Presley","89","60s A-Sides_Surf Rock","2:13"

"Goin' Down (looper)","The Monkees","119","60s Surf Rock_B-Sides","4:22"

"Gonna Get Back Home Somehow (Doubletime)","Elvis Presley","92","60s A-Sides_Surf Rock","2:32"

"Good Lovin (Dj Cut 2022)(4 phrase)","Young Rascals","97","60s A-Sides_Surf Rock","2:39"

"Good Thing (Album Version)","Paul Revere & The Raiders","125","60s A-Sides_Surf Rock","3:05"

"Good Vibrations {Ver 2} (DJ Special 2022)","The Beach Boys","151","60s A-Sides_Surf Rock","3:41"

"Green Onions (Hard Warp)","Booker T & The MG's","135","60s A-Sides_Surf Rock/Pop","2:50"

"Guitar Man (4 Phrase)","Elvis Presley","112","60s A-Sides_Surf Rock","2:23"

"Hang on Sloopy","The McCoys","114","60s A-Sides_Surf Rock/Pop","3:52"

"Hanky Panky (Single Version)","Tommy James And The Shondells","125","60s Surf Rock_B-Sides","2:54"

"Heather Honey (Dj speicial 2022)","Tommy Roe","98","60s Surf Rock_B-Sides","2:53"

"Help! (Dj Special 2022)(4 phrase doubletime)","The Beatles","95","60s A-Sides_Surf Rock/Pop","2:19"

"Here Comes The Sun (Dj special 2022)","The Beatles","128","60s Surf Rock_B-Sides","2:59"

"Hey Baby","Bruce Channel","131","60s A-Sides_Surf Rock","2:23"

"Hi-Heel Sneakers (Original Unedited Master) [Dj Special 2023]","Elvis Presley","81","60s A-Sides_Surf Rock","4:31"

"Him or Me - What's It Gonna Be? (Doubletime)","Paul Revere & The Raiders","97","60s A-Sides_Surf Rock","2:52"

"Honey Don't (Remastered 2009) (8ct looper)","The Beatles","83","60s Surf Rock_B-Sides","2:57"

"Honkey Tonk Woman(SlowStart)","The Rolling Stones","120","60s Surf Rock_B-Sides","3:00"

"How'd We Ever Get This Way (8 ct Looper)","Andy Kim","105","60s Surf Rock B-Sides","2:32"

"Hungry (Album Version) (8ct looper)","Paul Revere & The Raiders","131","60s A-Sides_Surf Rock","2:57"

"I Feel Fine (4 phrase)","The Beatles","93","60s A-Sides_Surf Rock","2:18"

"I Feel So Bad (doubletime)","Elvis Presley","93","60s A-Sides_Surf Rock","2:57"

"I Get Around (Dj Special 2022)","The Beach Boys","149","60s A-Sides_Surf Rock","2:17"

"I Got Lucky (from Kid Galahad) [Doubletime)","Elvis Presley","93","60s A-Sides_Surf Rock","1:56"

"I Gotta Know","Elvis Presley","132","60s A-Sides_Surf Rock","2:16"

"I Saw Her Standing There","The Beatles","80","60s A-Sides_Surf Rock/Pop/MensSports","2:56"

"I Should Have Known Better (Remastered 2009)","The Beatles","131","60s Surf Rock_B-Sides","2:43"

"I Think We're Alone Now (Single)","Tommy James And The Shondells","131","60s Surf Rock_B-Sides","2:10"

"I Want Candy","The Strangeloves","103","60s A-Sides_Surf Rock","2:34"

"I Want To Hold Your Hand (Dj Special 2022 OK)","The Beatles","131","60s A-Sides_Surf Rock/Pop","2:24"

"I Want You With Me","Elvis Presley","132","60s A-Sides_Surf Rock","2:15"

"I'll Cry Instead (8ct looper)(Doubletime)","The Beatles","97","60s Surf Rock_B-Sides","1:46"

"I'm A Believer (Monkees) [Dj Cut 2025]","The Monkees","80","60s Surf Rock_B-Sides","2:52"

"I'm A Loser (Dj Special 2022) (4 phrase)","The Beatles","91","60s Surf Rock_B-Sides","2:29"

"I'm a Roustabout (Dj Special 2023)[4 Phrase]","Elvis Presley & The Jordanaires","109","60s A-Sides_Surf Rock","2:11"

"I'm Into Something Good","Herman's Hermits","134","60s A-Sides_Surf Rock","2:33"

"Indian Reservation (8ct looper)","Paul Revere & The Raiders, The Raiders","130","60s Surf Rock_B-Sides","2:54"

"It's My Party(Dj Cut)","Lesley Gore","128","60s A-Sides_Surf Rock","2:37"

"Its Not Unusual (4 Phrase)(Slow start)","Tom Jones","92","60s A-Sides_Surf Rock/Pop","2:02"

"It's Now or Never (Dj cut 2022)","Elvis Presley","125","60s A-Sides_Surf Rock","3:11"

"Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini (DJ Special 2023)","Brian Hyland","121","60s A-Sides_Surf Rock","2:35"

"Jumpin' Jack Flash (Dj Cut 2023)","The Rolling Stones","136","60s Surf Rock_B-Sides","3:42"

"Just Like Me (Album Version)","Paul Revere & The Raiders","126","60s A-Sides_Surf Rock","2:33"

"Kicks (Album Version)","Paul Revere & The Raiders","131","60s A-Sides_Surf Rock","2:28"

