Song Title,Artists,BPM,Comments,Length

"(Don't Fear) The Reaper","Blue Oyster Cult","141","70s Classic Rock-B Sides","5:08"

"25 Or 6 To 4 (Remastered) - 73","Chicago","147","70s Classic Rock-B Sides","4:50"

"A  Beutiful Morning (Dj Cut)","The Rascals","120","70s Classic Rock-B Sides","2:41"

"A Horse With No Name","America","124","70s Classic Rock-B Sides","4:11"

"Abracadabra","Steve Miller Band","127","70s Classic Rock-A Sides/Pop-Radio","5:09"

"After Midnight","Eric Clapton","127","70s Classic Rock-A Sides","2:53"

"All Right Now","Free","120","70s Classic Rock-A Sides/Pop-Radio/Menssports","4:14"

"All She Wants To Do Is Dance","Don Henley","115","70s Classic Rock-A Sides/Pop-Radio","4:30"

"America (From "The Jazz Singer" Soundtrack)","Neil Diamond","130.460000","70s Classic Rock-B Sides","4:18"

"American Pie (No Mix)","Don McLean","138","70s Classic Rock-B Sides","8:33"

"American Woman","The Guess Who","92","70s Classic Rock-A Sides/Pop-Radio/WMSport","3:40"

"Anarchy In The U.K.","Sex Pistols","133","70s Classic Rock-B Sides","3:32"

"Another Brick In The Wall Pt. 2 (Dj Cut 2026)","Pink Floyd","104.860000"," 00000000 00000210 00000AD4 0000000000A0C11C 00000000 003A4A74 00000000 00000000 00000000 00000000 00000000 00000000","3:47"

"Another one bites the dust","Queen","110","70s Classic Rock-A Sides/Pop-Radio/Menssports","3:36"

"Any Way You Want It (Dj Special 2024)","Journey","138","70s Classic Rock-A Sides","3:29"

"Baba O'Riley","The Who","116","70s Classic Rock-B Sides","5:01"

"Baby Hold On","Eddie Money","120","70s Classic Rock-A Sides/Pop-Radio","3:32"

"Back in Black","AC/DC","91","70s Classic Rock-A Sides/Pop-Radio/Menssports","4:15"

"Bad Bad Leroy Brown","Jim Croce","147","70s Classic Rock-A Sides/Pop-Radio","3:01"

"Bad Case Of Loving You (Doctor, Doctor)","Robert Palmer","145","70s Classic Rock-A Sides","3:14"

"Baker Street","Gerry Rafferty","113","70s Classic Rock-B Sides","6:06"

"Band On The Run (81bpm) (speeds up to 123)","Paul McCartney And Wings","123","70s Classic Rock-B Sides","5:13"

"Band On The Run (123bpm version)[4 Phrase]","Paul McCartney And Wings","81","70s Classic Rock-B Sides","5:13"

"Bang A Gong","T. Rex","125","70s Classic Rock-A Sides/Pop-Radio","4:29"

"Barracuda 1977","Heart","137","70s Classic Rock-B Sides","4:21"

"Beast of Burden (8ct looper)[Slow Start]","The Rolling Stones","100","70s Classic Rock-A Sides","4:25"

"Bela Lugosi's Dead (Short Version)","Bauhaus","153","70s Classic Rock-B Sides","6:01"

"Bend Me Shape Me","The American Breed","128","70s Classic Rock-A Sides","2:08"

"Bennie and the Jets","Elton John","131","70s Classic Rock-A Sides","5:23"

"Big Balls","AC/DC","107","70s Classic Rock-A Sides","2:38"

"Billy Don't Be a Hero","Bo Donaldson & The Heywoods","124","70s Classic Rock-B Sides","3:39"

"Bitch (2009 Mix)","The Rolling Stones","135","70s Classic Rock-A Sides","3:37"

"Black Betty (Dj Special 2022)","Ram Jam","117","70s Classic Rock-B Sides","1:58"

"Black Magic Woman/Gypsy Queen","Santana","125","70s Classic Rock-A Sides","5:19"

"Black Water (doubletime)","The Doobie Brothers","84","70s Classic Rock-B Sides","4:20"

"Blinded By The Light (2020 Short Mix)","Manfred Mann's Earth Band","141","70s Classic Rock-B Sides","4:57"

"Blitzkreig Bop","The Ramones","88","70s Classic Rock-B Sides","2:12"

"Bohemian Rhapsody (DJ Cut 2024)2.0","Queen","151.000000","70s Classic Rock-B Sides/Dance","2:55"

"Bohemian Rhapsody [Full Song]","Queen","141","70s Classic Rock-B Sides","5:54"

"Born To Hand Jive (From “Grease”)","Sha-Na-Na","128","70s Classic Rock-B Sides","4:40"

"Brandy (You're a Fine Girl)","Looking Glass","124","70s Classic Rock-B Sides","3:09"

"Breaking The Law","Judas Priest","82","70s Classic Rock-B Sides","2:35"

"Brown Sugar","The Rolling Stones","128","70s Classic Rock-A Sides/Pop-Radio","3:45"

"Burning Love (Dj Special 2022)","Elvis Presley","143","70s Classic Rock-A Sides/Pop-Radio","2:57"

"Call Me - Blondie","Blondie","142","70s Classic Rock-A Sides/Pop-Radio","3:32"

"Calling Dr. Love","Kiss","127","70s Classic Rock-A Sides/Pop-Radio","3:48"

"Can't You Hear Me Knocking (4 Phrase)","The Rolling Stones","151","70s Classic Rock-B Sides","7:16"

"Carry On My Wayward Son (Dj Cut)(Slow Start)","Kansas","127","70s Classic Rock-B Sides","5:11"

"Casey Jones (Tempo Adjusted) (8ct looper)","The Grateful Dead","100","70s Classic Rock-B Sides","4:23"

"Cat Scratch Fever","Ted Nugent","127","70s Classic Rock-B Sides","3:38"

"China Grove","The Doobie Brothers","144","70s Classic Rock-A Sides/Pop-Radio","3:16"

"Cindy, Cindy (Dj Cut 2023) [4 Phrase][Speeds up to 108)","Elvis Presley","103","70s Classic Rock-A Sides","2:44"

"Cocaine","Eric Clapton","105","70s Classic Rock-A Sides/Pop-Radio","3:42"

"Coconut","Harry Nilsson","131","70s Classic Rock-A Sides","3:51"

"Come And Get Your Love (Dj Cut 2026)[From The Top]","Leon Redbone","107.460000","70s Classic Rock-A Sides/Pop-Radio","3:39"

"Come And Get Your Love (Dj Cut 2026)2.0","Leon Redbone","107.460000","70s Classic Rock-B Sides","3:41"

"Come Together - Aerosmith (doubletime)","Aerosmith","85","70s Classic Rock-A Sides","3:46"

"Conjunction Junction (Looper)","Schoolhouse Rock","116","70s Classic Rock-B Sides","3:00"

"Could You Be Loved  (Dj Special (2025) Cold Start OK","Bob Marley & the Wailers","103","70s Classic Rock-A Sides/Pop-Radio","3:55"

"Cracklin' Rosie (8ct looper)","Neil Diamond","127","70s Classic Rock-B Sides","2:59"

"Crazy Little Thing Called Love","Queen","153","70s Classic Rock-A Sides/Pop-Radio","2:44"

"Crazy On You (Dj Special 2024)","Heart","129","70s Classic Rock-B Sides","3:59"

"Crazy Train (remastered)","Ozzy Osbourne","137","70s Classic Rock-B Sides","4:56"

"Crocodile Rock","Elton John","149","70s Classic Rock-A Sides","3:56"

"Da' Think I'm Sexy","Rod Stewart","112","70s Classic Rock-A Sides/Pop-Radio","8:32"

"Dance (Pt 1)","The Rolling Stones","107","70s Classic Rock-B Sides","4:23"

"Dance The Night Away","Van Halen","129","70s Classic Rock-B Sides","3:10"

"Dance with Me","Orleans","98","70s Classic Rock-B Sides","3:21"

"Dancing Days {Say it's Alright} (DJ special 2024)","Led Zeppelin","117","70s Classic Rock-A Sides/Pop-Radio","3:35"

"Dancing In the Moonlight (Kings Harvest) (Dj Cut)","King Harvest","136","70s Classic Rock-B Sides","2:51"

"Dancing Queen (Dj Cut Special 2026)","ABBA","99.450000","                            ","4:07"

"Dancing Queen [Cold Start]","ABBA","99.450000","70s Classic Rock-A Sides/Pop-Radio","3:47"

"Dark Entries (doubletime)","Bauhaus","85","70s Classic Rock-B Sides","3:52"

"Dark Star","Crosby, Stills & Nash","100","70s Classic Rock-B Sides","4:46"

"De Do Do Do, De Da Da Da","The Police","147","70s Classic Rock-A Sides/Pop-Radio","4:10"

"Dirty Deeds Done Dirt Cheap","AC/DC","135","70s Classic Rock-A Sides/Pop-Radio","4:12"

"Dirty Laundry","Don Henley","98","70s Classic Rock-A Sides/Pop-Radio","5:37"

"Dirty Love","Frank Zappa","99","70s Classic Rock-B Sides","2:59"

"Do It Again (Dj Edit) - Steely Dan","Steely Dan","124","70s Classic Rock-A Sides/Pop-Radio","5:06"

"Do Ya","Electric Light Orchestra","123","70s Classic Rock-B Sides","3:45"

"Do You Feel Like We Do (Live) [Short Edit]","Peter Frampton","108","70s Classic Rock-B Sides","5:45"

"Doctor My Eyes","Jackson Browne","148","70s Classic Rock-B Sides","3:20"

"Don't Ask Me No Questions (Single Version)","Lynyrd Skynyrd","127","70s Classic Rock-A Sides","3:32"

"Don't Bring Me Down","Electric Light Orchestra","115","70s Classic Rock-A Sides","4:05"

"Don't Do Me Like That","Tom Petty","116","70s Classic Rock-A Sides/Pop-Radio","2:42"

"Don't Go Breaking My Heart (Dj Cut 2025)","Elton John","131","70s Classic Rock-A Sides/Pop-Radio","4:37"

"Don't Stand So Close To Me","The Police","140","70s Classic Rock-A Sides/Pop-Radio","4:03"

"Don't Stop (Fleetwood Mac 1977)","Fleetwood Mac","119","70s Classic Rock-A Sides/Pop-Radio","3:11"

"Don't Stop Believin' (Dj Special 2025)","Journey","120","70s Classic Rock-A Sides/Pop-Radio","4:08"

