Song Title,Artists,BPM,Comments,Length

"(Don't Worry) If There's A Hell Below We're All Going To Go","Curtis Mayfield","120","70s Classic Soul B-Sides","7:48"

"(For God's Sake) Give More Power To The People (Dj Cut)","The Chi-Lites","96","70s Classic Soul B+Sides","2:50"

"A Real Mother For Ya","Johnny "Guitar" Watson","98","70s Classic Soul B+Sides","5:05"

"ABC (Tempo Adjusted) (Doubletime)","The Jackson 5","93","70s Classic Soul A-Sides/Pop-Radio/MensSports","2:59"

"Across 110th Street","Bobby Womack & Peace","112","70s Classic Soul B-Sides","3:47"

"Ahh...The Name Is Bootsy, Baby ","Bootsy Collins","90","70s Classic Soul B-Sides","6:53"

"Ain't No Mountain High Enough (Tempo Adjusted Dj Special 2022)","Diana Ross","99","70s Classic Soul B-Sides","3:34"

"Ain't No Stoppin' Us Now","McFadden & Whitehead","113","70s Classic Soul A-Sides","3:40"

"Ain't No Woman (Like the One I Got)(Slow start)","The Four Tops","99","70s Classic Soul A-Sides","3:09"

"All I Do","Stevie Wonder","117","70s Classic Soul B+Sides/Dance","5:15"

"All Night Thing (Dj Cut 2024)","The Invisible Man Band","122","70s Classic Soul B+Sides/Dance","5:23"

"America, The Beautiful","Ray Charles","60","70s Classic Soul B-Sides","3:35"

"And the Beat Goes On","The Whispers","113","70s Classic Soul A-Sides/Pop-Radio","4:53"

"Angel Doll","The Temptations","119","70s Classic Soul B-Sides","2:31"

"Another Star","Stevie Wonder","122","70s Classic Soul A-Sides","8:28"

"Aqua Boogie (104bpms)","Parlaiment","104","70s Classic Soul A-Sides","6:41"

"Aquarius  (Dj Cut) (92bpm) (Doubletime) (SLOW START)","The 5th Dimension","92","70s Classic Soul B-Sides","4:44"

"Are You My Woman? (Tell Me So) (looper)","The Chi-Lites","111","70s Classic Soul B-Sides","3:02"

"As","Stevie Wonder","99","70s Classic Soul B+Sides","7:09"

"At Last","Etta James","60","70s Classic Soul B-Sides","3:00"

"Back In Stride Again","Maze Feat. Frankie Beverly","113","70s Classic Soul A-Sides/Pop-Radio","7:07"

"Backstabbers","The O'Jays","124","70s Classic Soul B+Sides","3:09"

"Backstrokin'","Fatback Band","117","70s Classic Soul B-Sides","3:46"

"Badd Luck 3.0 [SLOW START]","Harold Melvin And The Blue Notes","120","70s Classic Soul A-Sides/Pop-Radio","6:19"

"Ball of Confusion (That's What the World Is Today)(Doubletime)","The Temptations","80","70s Classic Soul B-Sides","4:04"

"Band Of Gold","Freda Payne","108","70s Classic Soul B-Sides","2:57"

"Be Thankful for What You Got","William DeVaughn","91","70s Classic Soul A-Sides/Pop-Radio","3:26"

"Beautiful Brother of Mine (Single Version)","Curtis Mayfield","120","70s Classic Soul B-Sides","3:10"

"Behind The Groove","Teena Marie","115","70s Classic Soul B-Sides","4:00"

"Beijo Brazilian Rhymn","Earth Wind & Fire","111","70s Classic Soul A-Sides/Pop-Radio","4:36"

"Best of My Love","The Emotions","115","70s Classic Soul A-Sides/Pop-Radio","3:41"

"Bite You","Bo Diddley","110","70s Classic Soul B-Sides","4:23"

"Black Water (doubletime)","The Doobie Brothers","84","70s Classic Soul B-Sides","4:20"

"Blame It on the Boogie","The Jacksons","113","70s Classic Soul A-Sides/Pop-Radio","3:35"

"Blessed Are Those Who Struggle","The Last Poets","95","70s Classic Soul B-Sides","3:42"

"Bodyheat (Pt. 1)","James Brown","115","70s Classic Soul B-Sides","4:03"

"Boogie Down","Eddie Kendricks","114","70s Classic Soul B-Sides","3:52"

"Boogie Nights","Heatwave","119","70s Classic Soul A-Sides/Pop-Radio","5:03"

"Boogie on Reggae Woman","Stevie Wonder","107","70s Classic Soul A-Sides","4:06"

"Boogie Wonderland","Earth, Wind & Fire","132","70s Classic Soul A-Sides/Pop-Radio/MensSports","4:46"

"Bounce, Rock, Skate, Roll (Dj Cut 2024)","Vaughan Mason And Crew","110","70s Classic Soul B+Sides","5:36"

"Breezin' (4 Phrase)","George Benson","81","70s Classic Soul B-Sides","5:39"

"Brick House (cue 12.1)","The Commodores","107","70s Classic Soul A-Sides/Pop-Radio","3:27"

"Burn This Disco Out","Michael Jackson","117","70s Classic Soul B-Sides","3:41"

"Bustin' Loose [Clean] ","Chuck Brown And The Soul Searchers","112","70s Classic Soul B-Sides","7:42"

"Bustin' Out (Dj Cut 2025)","Rick James","101","70s Classic Soul A-Sides/Pop-Radio","5:39"

"Can You Feel It (Dj Cut 2026)","The Jacksons","125","70s Classic Soul A-Sides/Pop-Radio","6:02"

"Can You Stand The Pressure","Bobby Freeman","110","70s Classic Soul B-Sides","2:25"

"Can't Get Enough of Your Love Babe","Barry White","111","70s Classic Soul A-Sides/Pop-Radio","3:47"

"Car Wash [7" Mix]","Rose Royce","116","70s Classic Soul A-Sides/WMSport","3:20"

"Chase Me","Con Funk Shun","123","70s Classic Soul B-Sides","5:38"

"Cheaper To Keep Her (8ct looper) {warps}","Johnnie Taylor","109","70s Classic Soul B+Sides","3:29"

"China Grove","The Doobie Brothers","144","70s Classic Soul A-Sides","3:16"

"Cinco De Mayo","War","134","70s Classic Soul A-Sides/Pop-Radio","4:05"

"Clean Slate","Tower Of Power","98","70s Classic Soul B+Sides","3:22"

