
Title,Artist,Album,Year,Length,BPM


"(Do You Love Me) Just Say Yes","Highway 101","Highway 101, Vol. 2","2008","3:41","140"

"9 To 5 (Cold Start)","Dolly Parton","9 To 5","    ","2:44","103"

"9 To 5 (Dj Cut 2026)","Dolly Parton","9 To 5","","2:43","103"

"A Little Bit In Love (126bpm)","Patty Loveless","20th Century Masters: The Millennium Collection: Best Of Patty Loveless","2000","2:28","126"

"Above And Beyond (The Call Of Love)","Rodney Crowell","Diamonds & Dirt","1993","2:27","149"

"Ace In The Hole (doubletime)","George Strait","Best Of (Deluxe Edition)","2011","2:35","115"

"All My Rowdy Friends Are Coming Over Tonight (148bpm)","Hank Williams, Jr.","That's How They Do It In Dixie - The Essential Collection","2006","2:59","148"

"All The Fun","Paul Overstreet","Best Of Paul Overstreet","1994","4:05","151"

"Always Late with Your Kisses (Dj Cut 2023)","Dwight Yoakam","Hillbilly Deluxe","1987","2:16","136"

"Am I Blue (4 Phrase)","George Strait","Ocean Front Property","1987","3:07","94"

"American Made (Dj Special 2023)","The Oak Ridge Boys","20th Century Masters: The Millennium Collection: Best Of The Oak Ridge Boys","2000","2:41","129"

"Baby's Got Her Blue Jeans On","Mel McDaniel","Mel McDaniel - His Very Best","2008","2:58","108"

"Big City","Merle Haggard","Big City","1996","3:02","134"

"Blame It On Texas (Album Version)","Mark Chesnutt","Too Cold At Home","1990","2:51","157"

"Bobbie Sue (8ct looper)","Oak Ridge Boys","Boys Night Out","2014","4:48","134"

"Born To Boogie (Doubletime)","Hank Williams, Jr.","Born To Boogie","1998","2:45","90"

"Brother Jukebox (Dj Cut 2023)","Mark Chesnutt","Too Cold At Home","1990","3:10","142"

"C.C. Waterback (8ct Looper)","Merle Haggard & George Jones","A Taste of Yesterday's Wine","2001","3:39","125"

"Cajun Moon (Album Version)(8ct looper)","Ricky Skaggs","Super Hits","1993","3:42","115"

"Can't Even Get The Blues (Album Version)","Reba McEntire","Reba #1's","2005","2:30","121"

"Chasin' That Neon Rainbow","Alan Jackson","Here In The Real World","1990","3:05","150"

"Chicken Truck","John Anderson","John Anderson 2","2007","2:43","83"

"Come Next Monday","K.T. Oslin","Love In a Smalltown","1990","3:50","82"

"Common Man (Dj Special 2023)","John Conlee","Classics","2003","2:43","129"

"Copperhead Road (+155.58 Intro. Jumps to 83+)","Steve Earle","100 Hits - Drivetime cd1","2008","4:32","155"

"Country Club","Travis Tritt","Country Club","2007","3:11","127"

"Crazy Arms","Willie Nelson;Ray Price","One Hell Of A Ride","1980","2:42","134"

"Crazy Over You","Foster And Lloyd","Foster and Lloyd","2015","4:32","128"

"Cry, Cry, Cry (8ct looper)","Highway 101","Highway 101","1987","2:29","125"

"Crying over You","Rosie Flores","Rosie Flores","1987","3:51","138"

"Dancin' Cowboys (8ct looper)","The Bellamy Brothers","Greatest Hits, Vol. 1","","3:20","120"

"Deeper Than The Holler - 71.32","Randy Travis","I Told You So - The Ultimate Hits Of Randy Travis","2009","3:39","142"

"Dixieland Delight (92bpm intro jumps to 119)","Alabama","Closer You Get","2009","5:22","92"

