Song Title,Artists,BPM,Comments,Length

"A Lover's Holiday","Change","116","80s Disco B-Sides","3:57"

"A Night To Remember","Shalamar","109","80s Disco Soul/RNB","4:22"

"Babe, We're Gonna Love Tonight","Lime","131","80s Disco B-Sides","6:55"

"Call Me - Blondie","Blondie","142","80s Disco Rock/WMSport","3:32"

"Celebration","Kool & the Gang","121","80s Disco Soul/RNB/MensSports","3:40"

"Cutie Pie","One Way Ride","103","80s Disco Soul/RNB","5:25"

"Die Hard Lover","Loverde","129","80s Disco B-Sides","6:53"

"Do Ya Wanna Funk","Sylvester","130","80s Disco Soul/RNB","6:55"

"Fantastic Voyage [12"]","Lakeside","114","80s Disco Soul/RNB","6:08"

"Feels Like I'm in Love (8ct looper)","Kelly Marie","121","80s Disco B-Sides","4:17"

"Flash Light [Cold Start]","Parliament","105","80s Disco Soul/RNB","5:34"

"Forget Me Nots","Patrice Rushen","114","80s Disco Soul/RNB","4:04"

"Funkytown","Lipps Inc.","122","80s Disco Soul/RNB/WMSport","3:56"

"Going Back to My Roots","Richie Havens","120","80s Disco B-Sides","5:04"

"Hands Up","Ottawan","123","80s Disco Rock","3:29"

"I Like What You're Doin' to Me","Young & Company","118","80s Disco Soul/RNB","4:18"

"I'm Coming Out (Dj Special 2025) ","Diana Ross","111","80s Disco Soul/Pop-Radio","4:07"

"I'm Ready","Kano","126","80s Disco Soul/RNB","3:34"

"It's Raining Men (Dj Special 2023)","The Weather Girls","136","80s Disco Soul/RNB","5:16"

"Just an Illusion","Imagination","105","80s Disco B-Sides","4:25"

"L.A. Is My Lady [feat. Quincy Jones]","Frank Sinatra & Quincy Jones","114","80s Disco Rock/Pop-Radio","3:13"

"Last Night A Dj Saved My Life - Indeep","Indeep","110","80s Disco Soul/RNB","5:40"

"Let's Start 2 Dance Again (Short) (Message in the Music)","Hamilton Bohannon","120","80s Disco Soul/RNB","4:39"

"Ma quale idea (Italian Disco)","Pino D'Angiò","114","80s Disco B-Sides","4:23"

"Make That Move","Shalamar","117","80s Disco Soul/RNB","3:47"

"Passion","The Flirts","120","80s Disco B-Sides","5:02"

"Pull Up To The Bumper","Grace Jones","109","80s Disco B-Sides","4:42"

"Rapture (Class Edit)","Blondie","107","80s Disco RNB- A Sides/Soul/WMSport","5:32"

"Shake It Up Tonight","Cheryl Lynn","121","80s Disco B-Sides","5:42"

"Shoot Your Best Shot","Linda Clifford","129","80s Disco B-Sides","6:47"

"So Many Men, So Little Time (Rerecorded)","Miquel Brown","129","80s Disco B-Sides","5:12"

"Stars On 45 (Original Single Version)","Stars On 45","123","80s Disco Rock","4:47"

"Super Freak","Rick James","132","80s Disco Soul/RNB","3:23"

"Sweet Sensation","Stephanie Mills","109","80s Disco Soul/RNB","6:27"

"The Glow of Love (LP Version)","Change","118","80s Disco B-Sides","6:15"

"Upside Down (Dj Special 2025)","Diana Ross","108","80s Disco Soul/Pop-Radio","4:08"

"Watching You","Slave","110","80s Disco Soul/RNB","4:42"

"Waterloo (English Version)","ABBA","146","80s Disco Rock/Pop-Radio","2:46"

"Wikka Wrap (Original Mix)","Evasions","120","80s Disco Soul/RNB","6:21"

"Wordy Rappinghood","Tom Tom Club","122","80s Disco Soul/Rap","6:27"

