Song Title,Artists,BPM,Comments,Length

"(I'm Only) Human","The Human League","101","80s Rock- B Sides","4:25"

"(I've Had) The Time of My Life Boost 2020","Bill Medley & Jennifer Warnes","108","80s Rock- A Sides/Classic Rock/New Wave/Alt","4:50"

"(Oh) Pretty Woman (2015 Remaster)","Van Halen","128","80s Rock- A Sides/Guitar-Alt/Classic Rock/New Wave/Alt/MensSports","2:53"

"(She's) Sexy & 17 (doubletime)","Stray Cats","89","80s Rock- B Sides","3:32"

"1-2-3","Gloria Estefan/Miami Sound Machine","126","80s Rock- A Sides/Pop/Classic Rock","3:35"

"19 - Paul Hardcastle","Paul Harcastle","118","80s Rock- B Sides","3:36"

"33% God {Instrumental}","Beastie Boys","103","80s Rock- B Sides","3:53"

"99 Luftballons (English)[Dj Special 2025]","Nena","96","80s Rock- A Sides/Classic Rock","2:50"

"99 Luftballons (German)[Dj Special 2025]","Nena","96","80s Rock- A Sides/Classic Rock/WMSport","2:53"

"867-5309/Jenny","Tommy Tutone","137","80s Rock- B Sides","3:47"

"A Little Respect","Erasure","114","80s Rock- B Sides","3:33"

"A View to a Kill","Duran Duran","125","80s Rock- B Sides","3:35"

"Addicted To Love (Dj cut)","Robert Palmer","111","80s Rock- A Sides/Classic Rock","3:57"

"Ain't Talkin' 'Bout Love","Van Halen","139","80s Rock- A Sides/Guitar-Alt/Classic Rock/New Wave/Alt/MensSports","3:50"

"Airhead","Thomas Dolby","119","80s Rock- B Sides","5:09"

"All She Wants To Do Is Dance","Don Henley","115","80s Rock- A Sides/Classic Rock","4:30"

"Always Something There To Remind Me","Naked Eyes","149","80s Rock- A Sides/Classic Rock","3:41"

"America (From "The Jazz Singer" Soundtrack)","Neil Diamond","130.460000","80s Rock- B Sides","4:18"

"American Girl (Dj Cut 2026)[4 Phrase]","Tom Petty","114.450000","80s Rock- A Sides/Guitar-Alt","3:09"

"American Girl [Cold Start]","Tom Petty","114.450000","80s Rock- A Sides/Guitar-Alt/Classic Rock","3:30"

"And She Was","Talking Heads","126","80s Rock- B Sides","3:39"

"Animal(WARPED)","Def Leopard","119","80s Rock- B Sides/Guitar","4:04"

"Another One Bites The Dust","Queen","109","80s Rock- A Sides/Pop/Classic Rock/MensSports","3:36"

"Any Way You Want It (Dj Special 2024)","Journey","138","80s Rock- A Sides/Classic Rock","3:29"

"Anything, Anything (I'll Give You) (4 Phrase)","Dramarama","112","80s Rock- B Sides","3:26"

"Are You Ready for the Sex Girls (Dj Cut 2022)","Gleaming Spires","130","80s Rock- B Sides","4:09"

"Authority Song","John Cougar Mellencamp","156","80s Rock- B Sides","3:50"

"Axel F (From "Beverly Hills Cop" Soundtrack)","Harold Faltermeyer","117","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt/MensSports","3:05"

"Back in Black (8ct looper)","AC/DC","91","80s Rock- A Sides/Guitar-Alt/Classic Rock","4:15"

"Bad Boy","Gloria Estefan/Miami Sound Machine","90","80s Rock- A Sides/Pop/Classic Rock","3:56"

"Bad Medicine (Dj cut 2022)","Bon Jovi","119","80s Rock- A Sides/Guitar-Alt/New Wave/Alt","5:09"

"Bad Reputation (Doubletime)","Joan Jett & The Blackhearts","102","80s Rock- B Sides","2:48"

"Bad To The Bone (98.80bpm)","George Thurgood","99","80s Rock- B Sides","4:55"

"Bamboleo (8ct Looper)","Gipsy Kings","120","80s Rock- B Sides","3:24"

"Bang on the Drum All Day","Todd Rundgren","141","80s Rock- B Sides","3:37"

"Bark at the Moon","Ozzy Osbourne","149","80s Rock- B Sides/Guitar","4:17"

"Beat Box (Class Edit 2)","The Art of Noise","109","80s Rock- A Sides/Classic Rock/New Wave/Alt","4:07"

"Been Caught Stealing (Dj Cut 2025)","Jane's Addiction","103","80s Rock- A Sides/Guitar-Alt/New Wave/Alt/MensSports","3:40"

"Bela Lugosi's Dead (Short Version)","Bauhaus","153","80s Rock- B Sides","6:01"

"Bette Davis Eyes","Kim Carnes","116","80s Rock- B Sides","3:46"

"Big Balls","AC/DC","107","80s Rock- A Sides/Guitar-Alt/Classic Rock","2:38"

"Big Love","Fleetwood Mac","125","80s Rock- A Sides/Pop/Classic Rock","3:39"

"Big Time","Peter Gabriel","115","80s Rock- B Sides","4:25"

