Song Title,Artists,BPM,Comments,Length

"A Deeper Love (C+C Radio Mix){Intro Boost}","Aretha Franklin","122","90s RNB A-Sides","4:36"

"Action - Featuring Nadine Sutherland","Terror Fabulous Featuring Nadine Sutherland","93","90s RNB A-Sides/International/Club/Dance","3:51"

"Ain't Too Proud To Beg","TLC","108","90s RNB A-Sides/WMSport","5:49"

"All 4 Love","Color Me Badd","106","90s RNB A-Sides","3:31"

"All For You (Dj Cut 2026)","Janet Jackson","113.480000","90s RNB A-Sides","4:39"

"Angel (feat. Rayvon)","Shaggy","85","90s RNB A-Sides","3:55"

"Anything (remix)","SWV","97","90s RNB B-Sides","4:57"

"Are You Gonna Go My Way (Dj Cut 2026)","Lenny Kravitz ","127.460000","90s RNB A-Sides/Club/Dance/Menssports","3:32"

"Ascension (Don't Ever Wonder)","Maxwell","96","90s RNB B-Sides","5:46"

"At The Alter (Let's Get Married)","Donnel Jones","110","90s RNB A-Sides","4:13"

"Baby","Brandy","91","90s RNB A-Sides","5:13"

"Baby, I Love Your Way (Dj Cut 2026)[4 Phrase]","Big Mountain","147.000000","                            ","4:38"

"Baby-Baby-Baby","TLC","92","90s RNB A-Sides","5:15"

"Back and Forth (Dj Cut 2025)","Aaliyah","93","90s RNB A-Sides","4:09"

"Bag Lady (Cheeba Sac Radio Edit)","Erykah Badu","84","90s RNB B-Sides","4:12"

"Baila Esta Cumbia","Selena","91","90s RNB A-Sides/International/Club/Dance","3:00"

"Bailamos","Enrique Iglesias","100","90s RNB A-Sides/International/Club/Dance","3:34"

"Barbie Girl","Aqua","130","90s RNB A-Sides/Club/Dance","3:12"

"Best Friend","Brandy","90","90s RNB B-Sides","4:49"

"Bidi Bidi Bom Bom (Cold Start)","Selena","90.000000","90s RNB A-Sides/Latin-International/Club/Dance","3:29"

"Bidi Bidi Bom Bom (Dj Cut 2024)","Selena","90.000000","90s RNB A-Sides/Latin-International/Club/Dance","3:29"

"Black or White (Class Edit)","Michael Jackson","115","90s RNB A-Sides","3:21"

"Boombastic [Sting Remix](Dj Cut 2025)","Shaggy","83","90s RNB A-Sides/International/Club/Dance","4:41"

"Boom-Shack-A-Lack (Dj cut)","Apache Indian","134","90s RNB A-Sides","3:40"

"Bootylicious","Destiny's Child","103","90s RNB A-Sides","3:28"

"Bring It All to Me","Blaque feat. 'N Sync","89","90s RNB B-Sides","3:38"

"Bug A Boo","Destinys Child","104.470000","90s RNB A-Sides","3:32"

"Bye Bye Bye","*Nsync","86","90s RNB A-Sides/Club/Dance","3:21"

"Can We","SWV","85","90s RNB B-Sides","4:53"

"Candy Rain","Soul for Real","94","90s RNB A-Sides/Club/Dance","4:37"

"Can't Take My Eyes Off of You","Lauryn Hill","89","90s RNB B-Sides","3:42"

"Cant You See [ft  Notorious B.I.G](Dj Cut 2023)","Total","86","90s RNB B-Sides","5:01"

"Case Of The Ex (Whatcha Gonna Do)","Mya","98","90s RNB B-Sides","3:57"

"Caught Out There","Kelis","93","90s RNB B-Sides","4:51"

"Cha Cha Slide (Radio Edit)","DJ Casper","124","90s RNB A-Sides","3:45"

"City High","City High feat. Eve","97","90s RNB B-Sides","2:48"

"Close To You","Maxi Priest","96","90s RNB A-Sides/Club/Dance","5:27"

"Cold Hearted (Dj Cut 2025)","Paula Abdul","122","90s RNB A-Sides/Club/Dance","4:07"

"Cream","Prince ","115","90s RNB A-Sides","4:12"

"Creep (TLC)","TLC","93","90s RNB A-Sides","4:29"

"Dem Suga","Beenie Man","94","90s RNB A-Sides/International/Club/Dance","3:56"

"Do Me Right","Guy","106","90s RNB B-Sides","4:24"

"Doesn't Really Matter (Dj Cut 2022)","Janet Jackson","99","90s RNB B-Sides","4:46"

"Don't Be Afraid","Aaron Hall","101","90s RNB B-Sides","5:19"

"Dont Take It Personal","Monica","89","90s RNB B-Sides","4:20"

"Don't Walk Away","Jade","103","90s RNB B-Sides","4:44"

"Dreamlover","Mariah Carey","100","90s RNB A-Sides","3:54"

"Emotions","Mariah Carey","114","90s RNB A-Sides","4:10"

"Every Little Thing I Do","Soul For Real","99","90s RNB A-Sides/Club/Dance","4:19"

"Everybody (Backstreet's Back) (Radio Edit)","Backstreet Boys","108","90s RNB A-Sides/Club/Dance","3:45"

"Everyone Falls In Love (Dj Cut 2025)[4 Phrase]","Tanto Metro & Devonte","96","90s RNB A-Sides/International/Club/Dance","3:29"

"Fairweather Friend","Johnny Gill","105","90s RNB B-Sides","4:36"

"Fantasy","Mariah Carey","102","90s RNB A-Sides","4:04"

"Feels Good","Tony! Toni! Toné!","117","90s RNB A-Sides","4:58"

"Flex (Dj Cut 2025)[4 Phrase]2.0","Mad Cobra","154","90s RNB A-Sides/International/Club/Dance","3:32"

"Freak Like Me","Adina Howard","93","90s RNB A-Sides","4:28"

"Free Your Mind","En Vogue","100","90s RNB A-Sides/WMSport","4:52"

"Genie In A Bottle","Christina Aguilera","88","90s RNB A-Sides/Club/Dance","3:39"

"Get Away (Dj Cut 2025)","Bobby Brown","112","90s RNB A-Sides","5:22"

"Get Busy","Sean Paul","100","90s RNB B-Sides","3:20"

"Get Involved (Ft Q-Tip) [Edited]","Raphael Saadiq, Q-Tip","98","90s RNB A-Sides","3:15"

"Get Involved (Ft Q-Tip) [Explicit]","Raphael Saadiq, Q-Tip","98","90s RNB A-Sides","3:15"

"Get It On Tonite","Montell Jordan","99","90s RNB B-Sides","4:37"

"Get On Up (Dj Cut 2024)","Jodeci","93","90s RNB A-Sides","3:03"

"Gett Off (Dj cut 2022 OK)","Prince ","100","90s RNB A-Sides","4:38"

"Girlfriend.Boyfriend (Dj Cut 2024)","Blackstreet","103","90s RNB B-Sides","4:04"

"Give in to Me (warps)","Michael Jackson","86","90s RNB A-Sides","5:29"

"Giving You The Benefit","Pebbles","103","90s RNB B-Sides","5:40"

"Go Deep","Janet Jackson","102","90s RNB A-Sides","4:41"

"Got 'Til It's Gone (Edit) [Doubletime]","Janet Jackson","90","90s RNB A-Sides","4:02"

"Got To Give It Up (Aaliyah and Slick Rick) 2","Aaliyah","109","90s RNB B-Sides","4:43"

"Groove Is in the Heart (Sound Balanced)","Deee-Lite","121","90s RNB A-Sides/Club/Dance/WMSport","3:52"

"Groove Thang (Dj Cut 2024)","Zhane","102.000000","90s RNB A-Sides","4:05"

"Gur Nalon Ishq Mitha (Doubletime)","DJ Rekha featuring Malkit Singh Remixed By Bally Sagoo","91","90s RNB A-Sides/Asian-International/Club/DanceWMSport","11:23"

"He Wasn't Man Enough","Toni Braxton","88","90s RNB B-Sides","4:22"

"Heads High","Mr. Vegas","93","90s RNB A-Sides/International/Club/Dance","3:38"

"Heartbreaker [Clean] (Dj Cut 2024 OK)","Mariah Carey feat. Da Brat & Missy Elliott","100","90s A-Sides Rap Nation/Top Rap{Solo}","4:19"

"Hey Mr. D.J. (Original Mix)","Zhane","101.290000","90s RNB A-Sides","4:14"

"History Repeating (Dj Cut 2023) (4 phrase)","Shirley Bassey feat. Propellerheads","143","90s RNB A-Sides/Club/Dance","4:02"

"Hit em up style (Dj Cut 2025)","Blue Cantrell","91","90s RNB B-Sides","3:59"

"Hold on","En Vogue","97","90s RNB A-Sides","5:04"

"Honey","Mariah Carey","96","90s RNB B-Sides/Dance","5:00"

"Hot Steppa (Dj Cut 2025) [From the top]","Ini Kamoze","100","90s RNB A-Sides/Menssports","4:26"

"Hot Steppa (Dj Cut 2025) [From 1st bar]","Ini Kamoze","100","90s RNB B-Sides","4:07"

"Hot Thing","Prince","108","90s RNB A-Sides","5:40"

"Hotel","Cassidy","93","90s RNB A-Sides","4:12"

"How Deep Is Your Love (Class Edit)","Dru Hill & Redman","94","90s RNB A-Sides","4:05"

"How Deep Is Your Love (Dirty)","Dru Hill & Redman","94","90s RNB A-Sides","4:11"

"Humpin' Around","Bobby Brown","110","90s RNB A-Sides","6:18"

"I Can See Clearly Now","Jimmy Cliff","120","90s RNB B-Sides","3:11"

"I Just Might","T-Boz","95","90s RNB B-Sides","3:50"

"I Like It Like That","Tito Nieves","128","90s RNB A-Sides/International/Club/Dance/Menssports","3:49"

"I Like The Way (The Kissing Game)","Hi-Five","104","90s RNB B-Sides","5:50"

"I Need To Know","Marc Anthony","115","90s RNB A-Sides/Club/Dance","3:48"

"I Wanna Be Down","Brandy","86","90s RNB B-Sides","4:52"

"I Wanna Sex You Up (Dj Cut 2025)","Color Me Badd","101","90s RNB A-Sides","4:15"

"I Want It That Way [Dj Special 2025]","Backstreet Boys","99","90s RNB A-Sides/Club/Dance","3:43"

"I Want You Back (Radio Edit) {Nsync}","*Nsync","112","90s RNB A-Sides/Club/Dance","3:22"

"Iesha (Dj Cut 2026) 2.0","Another Bad Creation","111.000000","                            ","3:10"

"If I Had No Loot [Radio Mix]","Tony! Toni! Toné!","107","90s RNB A-Sides","4:03"

"If You Had My Love","Jennifer Lopez","96","90s RNB B-Sides","3:40"

"If Your Girl Only Knew","Aaliyah","89","90s RNB B-Sides","4:10"

"If","Janet Jackson","105","90s RNB B-Sides","4:32"

"I'm Dreamin ","Christopher Williams","110","90s RNB A-Sides","4:55"

"I'm Every Woman (Club Mix)","Whitney Houston","119","90s RNB A-Sides/Club/Dance","6:53"

"I'm Every Woman (Original)","Whitney Houston","120","90s RNB A-Sides","4:45"

"I'm So Into You","SWV","99","90s RNB B-Sides","4:38"

"In My Bed (So So Def Mix) (8ct looper)","Dru Hill","95","90s RNB B-Sides","4:02"

"In the Closet","Michael Jackson","110","90s RNB B-Sides","6:31"

"Independant (Dj Cut 2025)","Destiny's Child","98","90s RNB A-Sides","3:39"

"Is It Good To You [feat. Tammy Lucas]","Teddy Riley","107","90s RNB A-Sides","4:17"

"It's Gonna Be Me (4 Phrase)","*Nsync","83","90s RNB A-Sides/Club/Dance","3:12"

"It's Over Now","112","98","90s RNB B-Sides","4:25"

"Jam -Short Edit- (Dj cut 2025)","Michael Jackson","116","90s RNB A-Sides/Menssports","5:26"

"Jumpin Jumpin (Cold Start)","Destiny's Child","89","90s RNB A-Sides","3:50"

"Jumpin Jumpin (Dj Cut 2024)2.0","Destiny's Child","89","90s RNB A-Sides","3:44"

"Just Another Day (Jon Secada)","Jon Secada","105.460000","90s RNB A-Sides/Club/Dance","5:27"

"Just Friends (Sunny) [Clean]","Musiq Soulchild","95","90s RNB B-Sides","4:11"

"Just Kickin It (Class Edit)","Xscape","81.000000","90s RNB A-Sides","3:00"

"La Copa de la Vida (Oficial de la Copa Mundial, Francia '98) (Spanglish Radio Edit)","Ricky Martin","127","90s RNB A-Sides/Latin-International/Club/Dance","4:41"

"Lady Marmalade (Moulin Rouge)[Dj Cut 2026]","Christina Aguilera and Lil' Kim and Mya and P!nk","110","90s RNB A-Sides","4:41"

"Lady","Lenny Kravitz","112","90s RNB A-Sides/Club/Dance","4:16"

"Larger Than Life","Backstreet Boys","107","90s RNB B-Sides","3:55"

"Let's Get Down (Dj Special 2022 OK)","Tony! Toni! Toné!","103","90s RNB A-Sides","4:54"

"Let's Get Loud","Jennifer Lopez","131","90s RNB A-Sides/WMSport","4:00"

"Live and Learn (Class Edit)","Joe Public","106","90s RNB B-Sides","4:13"

"Love Like This Before","Faith Evans","101","90s RNB A-Sides","4:40"

"Love No Limit (Puff Daddy Mix)","Mary J. Blige","90","90s RNB B-Sides","3:55"

"Luv Me Luv Me","Shaggy Feat. Janet Jackson","97","90s RNB A-Sides","3:49"

"Lyrics 2 the Rhythm","Essence","110","90s RNB B-Sides","4:07"

"Macarena","Rio feat. Los","103","90s RNB A-Sides/International/Club/Dance","3:51"

"Make It Happen","Mariah Carey","107","90s RNB B-Sides","5:08"

"Mambo No. 5 (A Little Bit Of)(4 Phrase)","Lou Bega","87","90s RNB A-Sides/Menssports","3:39"

"Maríab {UN-DOS-THRES} (DJ cut) (Radio Edit)","Ricky Martin","126","90s RNB A-Sides/International/Club/Dance","4:38"

"Maria Bethânia","Santana","98","90s RNB A-Sides/Club/Dance","3:03"

"Missing (Todd Terry Club Mix)","Everything But The Girl","123","90s RNB B-Sides/Club/Dance","4:57"

"Monster Hash","The Toyes","133","90s RNB B-Sides","3:19"

"MotownPhilly","Boyz II Men","114","90s RNB A-Sides/Menssports","3:59"

"Move Like This (Lydia Oh Lydia)[Dj Cut 2024 OK]","K7","106","90s RNB A-Sides/Club/Dance","5:10"

"Murder She Wrote","Maxi Priest","95","90s RNB A-Sides/International/Club/Dance","4:04"

"Music [HQ2 Radio Mix]","Madonna","130","90s RNB B-Sides","4:06"

"My Boo (Radio Mix)(Dj Special 2022) Make 2nd without slow intro","Ghost Town DJs","130","90s RNB B-Sides","3:47"

"My Lovin (Your Never Gonna Get It)-club Mix  (Dj Cut)","En Vogue","98","90s RNB A-Sides","4:12"

"My Name Is Prince [Class Edit]","Prince ","117","90s RNB B-Sides/Club","5:33"

"My Name Is Prince [Original Dirty)","Prince & the New Power Generation","117","90s RNB B-Sides/Club","8:04"

"My Way","Usher","90","90s RNB A-Sides","3:30"

"Nights Like This I Wish (That Raindrops Would Fall","After 7","97","90s RNB B-Sides","4:05"

"No Diggity [Clean] (Dj Cut 2025) -88.69 BPM-","Blackstreet & Dr. Dre & Queen Pen","88","90s RNB A-Sides/Menssports","5:15"

