Song Title,Artists,BPM,Comments,Length

"Slave Driver - (Live) (doubletime)","Bob Marley & the Wailers","154","70s Reggae/Disco ++","3:41"

"Rastaman Chant (8ct Looper)","Bob Marley & Busta Rhymes","95","70s Reggae  ","4:18"

"400 Years (30 Year Version)","Bob Marley & The Wailers","106","70s Reggae  ","2:35"

"Adam And Eve","Bob Marley & The Wailers","112","70s Reggae  ","3:09"

"Africa Unite","Bob Marley & the Wailers","127","70s Reggae/Disco","2:56"

"African Herbsman (30 Year Version)","Bob Marley & The Wailers","108","70s Reggae  ","2:26"

"All In One (Medley) [4 phrase]","Bob Marley & The Wailers","94","70s Reggae  ","3:37"

"Bend Down Low (4 Phrase)","Bob Marley & the Wailers","88","70s Reggae/Disco ++","3:22"

"Blackman Redemption","Bob Marley & the Wailers","126","80s Reggae","3:34"

"Buffalo Soldier (doubletime)","Bob Marley & the Wailers","124","70s Reggae/Pop-Radio","4:17"

"Burnin And Lootin' (live) (doubletime)","Bob Marley & the Wailers","81","70s Reggae/Disco/Dance ++","6:29"

"Caution (30 Year Version)","Bob Marley & The Wailers","112","70s Reggae  ","2:44"

"Chant Down Babylon (doubletime)","Bob Marley & the Wailers","143","80s Reggae","2:37"

"Coming in from the Cold (doubletime)","Bob Marley & the Wailers","142","70s Reggae/Disco/Dance","4:31"

"Concrete Jungle","Bob Marley & the Wailers","96","70s Reggae/Disco ++","4:14"

"Could You Be Loved","Bob Marley & the Wailers","103","70s Reggae/Disco ++","3:55"

"Dem Crazy - Running Away (doubletime) 129 bpm","Bob Marley & the Wailers","129","70s Reggae/Disco","9:20"

"Crazy Baldhead","Bob Marley & the Wailers","126","70s Reggae/Pop-Radio","3:23"

"Crisis (doubletime)","Bob Marley & the Wailers","123","70s Reggae/Disco","3:55"

"Cry to Me (4 Phrase)","Bob Marley & the Wailers","94","70s Reggae/Pop-Radio","2:36"

"Don't Rock My Boat (30 Year Version)","Bob Marley & The Wailers","147","70s Reggae  ","4:31"

"Downpresser (30 Year Version) (4 phrase)","Bob Marley & The Wailers","87","70s Reggae  ","3:08"

"Duppy Conqueror [30 Years Version] (Dj Cut 2023)","Bob Marley & The Wailers","90","70s Reggae  ","3:41"

"Duppy Conqueror (doubletime)","Bob Marley & the Wailers","143","70s Reggae/Disco/Dance","3:47"

"Easy Skanking","Bob Marley & the Wailers","126","70s Reggae/Pop-Radio","2:56"

"Exodus - (Live) (doubletime)","Bob Marley & the Wailers","146","70s Reggae/Disco/Dance ++","11:47"

"Exodus","Bob Marley & the Wailers","133","70s Reggae/Pop-Radio","7:35"

"Forever Loving Jah (Doubletime)","Bob Marley & the Wailers","141","70s Reggae/Disco/Dance","4:02"

"Fussing And Fighting (30 Year Version)","Bob Marley & The Wailers","93","70s Reggae  ","2:28"

"Get Up, Stand Up (Doubletime)","Bob Marley & the Wailers","156","70s Reggae/Pop-Radio","3:17"

"Hypocrites (30 Year Version)","Bob Marley & The Wailers","159","70s Reggae  ","2:39"

"I Shot the Sheriff (Original)[Dj cut 2023] 2.0 {4 Phrase}","Bob Marley & the Wailers","95","70s Reggae/Pop-Radio","4:50"

"Is This Love","Bob Marley & the Wailers","122","70s Reggae/Pop-Radio","3:52"

"Jammin'","Bob Marley & the Wailers","124","70s Reggae/Pop-Radio","3:31"

"Jamming' - (Live)","Bob Marley & the Wailers","132","70s Reggae/Pop-Radio","7:06"

"Jump Nyabinghi (doubletime)","Bob Marley & the Wailers","142","80s Reggae/Club/Disco","3:45"

"Kaya","Bob Marley & the Wailers","97","70s Reggae/Pop-Radio","3:16"

"Keep On Moving (30 Years Version)[Dj Special 2023)","Bob Marley & The Wailers","80","70s Reggae  ","3:12"

"Keep on Moving (Dj Cut) (Doubletime)","Bob Marley & the Wailers","148","70s Reggae/Disco ++","4:21"

"Keep on Moving - (Live) (doubletime)","Bob Marley & the Wailers","148","70s Reggae/Disco","6:25"

"Keep on Moving - 74 (Doubletime)","Bob Marley & the Wailers","148","70s Reggae/Disco","4:22"

"Keep on Skanking (Dj Cut2023) [4 Phrase]","Bob Marley & The Wailers","87","70s Reggae/Disco ++","3:18"

"Lively Up Yourself - (Live) (doubletime)[SLOW START!!!]","Bob Marley & the Wailers","83","70s Reggae/Disco ++","7:30"

"Long, Long Winter","Bob Marley & The Wailers","99","70s Reggae  ","2:59"

"Midnight Ravers (doubletime)","Bob Marley & the Wailers","139","70s Reggae/Disco","5:08"

"Mix Up, Mix Up (4 Phrase)","Bob Marley & the Wailers","88","80s Reggae/Club/Disco/Dance/A Sides ++","5:02"

"More Axe","Bob Marley & The Wailers","106","70s Reggae  ","3:32"

"Mr. Brown (4 phrase)","Bob Marley & The Wailers","93","70s Reggae/Disco ++","3:36"

"Natty Dread (4 Phrase)[Slow start]","Bob Marley & the Wailers","88","70s Reggae/Disco ++","3:36"

"Natural Mystic","Bob Marley & the Wailers","130","70s Reggae/Disco","3:27"

"Nightshift","Bob Marley & the Wailers","136","70s Reggae/Disco","3:11"

"No More Trouble (doubletime)","Bob Marley & the Wailers","142","70s Reggae/Disco/Dance","4:00"

"No Woman, No Cry (4 phrase)","Bob Marley & the Wailers","157","70s Reggae/Pop-Radio","7:07"

"No Woman, No Cry","Bob Marley & the Wailers","98","70s Reggae/Disco ++","3:46"

"One Draw (70s) {4 Phrase Doubletime}","Rita Marley","89","70s Reggae/Disco/Dance ++","4:26"

"One Draw (80s) {4 Phrase Doubletime}","Rita Marley","89","80s Reggae/Club/Disco ++","4:26"

"One Drop (121bpm)","Bob Marley & the Wailers","121","70s Reggae/Disco","3:52"

"One In All (Medley) (30 Years Version)[Dj Cut 2023]","Bob Marley & The Wailers","92","70s Reggae  ","2:01"

"One Love/People Get Ready (4 Phrase)","Bob Marley & the Wailers","151","70s Reggae/Pop-Radio","2:52"

"Pimper's Paradise (Dj Cut) (doubletime 4 phrase)","Bob Marley & the Wailers","134","70s Reggae/Disco","3:34"

"Punky Reggae Party (DUB) (77 Lee Perry Sessions)","Bob Marley & the Wailers","135","70s Reggae/Disco/Dance","8:50"

"Put It On","Bob Marley & the Wailers","90","70s Reggae/Disco ++","4:01"

"Reaction","Bob Marley & The Wailers","102","70s Reggae  ","2:44"

"Real Situation","Bob Marley & the Wailers","131","70s Reggae/Disco","3:08"

"Redemption Song [Band Version][*]","Bob Marley & the Wailers","117","70s Reggae/Disco","4:51"

"Roots, Rock, Reggae","Bob Marley & the Wailers","139","70s Reggae/Disco","3:31"

"Run For Cover (30 Years Version)[4 Phrase]","Bob Marley & The Wailers","95","70s Reggae  ","3:07"

"Satisfy My Soul","Bob Marley & the Wailers","127","70s Reggae/Pop-Radio","4:32"

"Slogans","Bob Marley & the Wailers","140","70s Reggae/Disco","4:00"

"Small Axe (Dj Cut 20203)[4 Phrase]","Bob Marley & the Wailers","91","70s Reggae/Disco ++","3:50"

"So Much Things to Say","Bob Marley & the Wailers","124","70s Reggae/Disco","3:08"

"So Much Trouble in the World (doubletime)","Bob Marley & the Wailers","156","70s Reggae/Disco/Dance ++","3:58"

"Soul Almighty (30 Year Version)[Dj Cut 2023)","Bob Marley & The Wailers","100","70s Reggae  ","2:50"

"Soul Rebel (30 Year Version)","Bob Marley & The Wailers","94","70s Reggae  ","3:21"

"Soul Rebel","Bob Marley & the Wailers","93","70s Reggae/Disco ++","3:18"

"Stand Up Jamrock (doubletime 4 8cts)","Bob Marley & the Wailers/The Wailers","153","70s Reggae  ","5:46"

"Stir It Up (4 phrase Doubletime)","Bob Marley & the Wailers","147","70s Reggae/Pop-Radio","5:34"

"Stop That Train - (Live) (doubletime)","Bob Marley & the Wailers","82","70s Reggae/Disco/Dance ++","3:58"

"Survival","Bob Marley & the Wailers","142","70s Reggae/Disco/Dance","3:54"

"The Heathen - (Live) (doubletime)","Bob Marley & the Wailers","151","70s Reggae/Disco","6:47"

"The Heathen (doubletime)","Bob Marley & the Wailers","135","70s Reggae/Disco/Dance","2:32"

"Three Little Birds (doubletime)","Bob Marley & the Wailers","147","70s Reggae/Pop-Radio","3:00"

"Trenchtown Rock [Live] [Doubletime) (ends @ 85bpm)","Bob Marley & the Wailers","155","70s Reggae/Disco/Dance ++","4:12"

"Turn Me Loose (30 Year Version)","Bob Marley & The Wailers","105","70s Reggae  ","2:36"

"Waiting in Vain (4 Phrase)","Bob Marley & the Wailers","158","70s Reggae/Pop-Radio","4:16"

"Wake Up and Live","Bob Marley & the Wailers","134","70s Reggae/Disco","5:01"

"War (doubletime)","Bob Marley & the Wailers","146","70s Reggae/Disco/Dance","3:32"

"War - No More Trouble - (Live) (Doubletime)","Bob Marley & the Wailers","159","70s Reggae/Disco/Dance ++","7:43"

"We and Dem (doubletime)","Bob Marley & the Wailers","146","70s Reggae/Disco/Dance","3:15"

"Who the Cap Fit","Bob Marley & the Wailers","138","70s Reggae/Disco","4:17"

"Wisdom","Bob Marley & The Wailers","113","70s Reggae  ","3:16"

"You Can't Blame the Youth (live) (doubletime)","Bob Marley/Peter Tosh","82","70s Reggae/Disco/Dance ++","4:00"

"Zimbabwe","Bob Marley & the Wailers","125","70s Reggae/Disco","3:51"

"Zion Train","Bob Marley & the Wailers","128","70s Reggae/Disco","3:37"

