Song Title,Artists,BPM,Comments,Length

"Burning Reggae (Dj Special 2022)(4 phrase)","Burning Spear","87","90s reggae","2:58"

"Calling Rastafari (Doubletime)","Burning Spear","155","90s reggae","3:49"

"Civilised Reggae","Burning Spear","125","70s Reggae  ","4:04"

"Creation (4 phrase)","Burning Spear","158","70s Reggae  ","3:40"

"Down By The Riverside (Doubletime)","Burning Spear","87","70s Reggae  ","2:59"

"Fire Down Below (Doubletime)","Burning Spear","149","70s Reggae  ","3:29"

"Hello Rastaman (Doubletime)","Burning Spear","153","90s reggae","4:46"

"House Of Reggae","Burning Spear","142","90s reggae","4:36"

"Institution (Dj Special 2022)","Burning Spear","137","70s Reggae  ","3:28"

"My Roots (doubletime)","Burning Spear","143","80s Reggae","4:23"

"Pirate's Dub (Doubletime)","Burning Spear","150","80s Reggae","3:25"

"Rasta Business (4 phrase doubletime)","Burning Spear","94","90s reggae","4:19"

"Social Living (doubletime)","Burning Spear","129","70s Reggae  ","2:51"

