Song Title,Artists,BPM,Comments,Length

"Christmas Rappin' (Short) (looper 8ct)","Kurtis Blow","111","70s 60s Classic Rap","3:58"

"E Pluribus Unum (looper 4ct)","The Last Poets","94","70s 60s Classic Rap","4:38"

"Here Comes The Judge (looper 8ct)","Pigmeat Markham","98","70s 60s Classic Rap","2:41"

"Rapper's Delight","The Sugarhill Gang","111","70s 60s Classic Rap","14:14"

"Telephone Bill (Dj Cut 2022)","Johnny "Guitar" Watson","110","70s Classic Soul - Deep Tracks","4:47"

"That's the Joint (4ct looper)","Funky 4 + 1","105","70s 60s Classic Rap","9:22"

