Song Title,Artists,BPM,Comments,Length

"21 Hungarian Dances, No. 7 In A Major: Allegretto","Frank Maus & Oscar Shumsky","","Amazon.com Song ID: 206468987","1:52"

"Bizet: Carmen / Act 2 - "Votre toast, je peux vous le rendre" - "Toréador, en garde"","Veronique Gens & Stella Doufexis & Anne Sofie von Otter & Roberto Alagna & Bryn Terfel & Donostiako Orfeonia & José Antonio Sainz Alfaro & Berliner Philharmoniker & Claudio Abbado","","Amazon.com Song ID: 274934440","5:07"

"Boléro","Maurice Ravel (1875-1937)","","Amazon.com Song ID: 201761313","15:52"

"Carmen, Suite No. 2: II (VIII) Habanera","Georges Bizet","","Amazon.com Song ID: 201760955","2:07"

"Handel: (Coronation Anthem No. 1, HWV 258): Zadok the Priest (Remastered 2015)","Choir of King's College, Cambridge & English Chamber Orchestra & Sir David Willcocks","","Amazon.com Song ID: 266343735","5:54"

"Delibes: Sylvia - Act 3 - Marche et cortège de Bacchus","New Philharmonia Orchestra and Richard Bonynge","","Amazon.com Song ID: 202546589","6:53"

"Dukas: L'apprenti sorcier - Arranged By Victor Staub","Yuja Wang","","Amazon.com Song ID: 228676047","9:49"

"Eine kleine Nachtmusik, K. 525: I. Allegro","Herbert von Karajan","","Amazon.com Song ID: 249327791","5:49"

"Fanfare for the Common Man","Aaron Copland","","Amazon.com Song ID: 203914036","3:16"

"Funeral March of a Marionette","Arthur Fiedler","106","Amazon.com Song ID: 240647901","4:07"

"Für Elise","Myung-Whun Chung","","","3:00"

"Grand Canyon Suite: Grand Canyon Suite: III. On the Trail (excerpt)","Seattle Symphony Orchestra","","Amazon.com Song ID: 213730611","3:06"

"Grieg: Peer Gynt, Op.23 - Incidental Music - No. 13 Morning Mood","Gothenburg Symphony Orchestra and Neeme Järvi","","Amazon.com Song ID: 202531007","4:14"

"Grieg: Peer Gynt, Op.23 - Incidental Music - No. 16 Anitra's Dance","Gothenburg Symphony Orchestra and Neeme Järvi","101","Amazon.com Song ID: 202531010","3:41"

"Handel: Water Music Suite No.2 in D, HWV 349 - Marriner - 2. Alla hornpipe","Academy of St. Martin in the Fields and Sir Neville Marriner","","Amazon.com Song ID: 205455065","4:10"

"Leichte Kavallerie, Overture","Orquesta Lírica de Barcelona","123","Amazon.com Song ID: 259833772","6:45"

"Les Patineurs, Op. 183: The Skater's Waltz","Various artists","","Amazon.com Song ID: 239287807","7:31"

"Lieder ohne Worte, Op. 62: No. 6, Frühlingslied, Allegretto grazioso, MWV U 161","Angelo Martino","","Amazon.com Song ID: 200000613034164","3:34"

"Liszt: Piano Concerto No. 1 in E-Flat Major, S. 124 - II. Quasi adagio - Allegretto vivace - Allegro animato","Martha Argerich & London Symphony Orchestra & Claudio Abbado","","Amazon.com Song ID: 204929885","8:26"

"Medley Overture in D minor-major (orchestration reconstructed by B. van Boer)","Patrick Gallois & Sinfonia Finlandia Jyvaskyla","","","11:56"

"Mendelssohn: Fingal's Cave Op.26","Dimanche FR","","Amazon.com Song ID: 200000356352382","10:51"

"Minuetto","I Solisti Italiani","","Amazon.com Song ID: 212070101","3:52"

"Suppé: Morning, Noon and Night in Vienna - Overture","Detroit Symphony Orchestra and Paul Paray","","Amazon.com Song ID: 202391152","7:32"

"Mozart: Piano Sonata No. 11 in A major, K 331, III. "Rondo Alla Turca" Allegretto in A major","Sarah Ainsworth (piano)","","Amazon.com Song ID: 224084414","3:30"

"Mussorgsky: _ - Mussorgsky/Ravel: The Great Gate of Kiev [Pictures at an Exhibition]","Berliner Philharmoniker and Herbert von Karajan","","Amazon.com Song ID: 285541036","6:44"

"Norwegian Dances, Op.35: 2. Allegro tranquillo e grazioso","Utah Symphony Orchestra, Maurice Abravanel","","Amazon.com Song ID: 228214748","2:39"

"Orchestral Transcription: V. Youmans Song Tea for Two in G-Flat Major, Op. 16 "Tahiti Trot"","Moscow Chamber Orchestra, Konstantin Orbelyan","","Amazon.com Song ID: 245637503","4:19"

"Orff: Carmina Burana / Fortuna Imperatrix Mundi - "O Fortuna" ((From "Excalibur"))","Brighton Festival Chorus & Royal Philharmonic Orchestra & Antal Doráti","","Amazon.com Song ID: 240600855","2:25"

"Overture (From "The Cowboys")","The City Of Prague Philharmonic Orchestra","","Amazon.com Song ID: 218538428","9:44"

"Overture to "Orpheus in the Underworld"","Ahreum Han","","Amazon.com Song ID: 200000454018345","9:45"

"Pachelbel: Canon And Gigue In D Major - Arr. Max Seiffert","Berliner Philharmoniker & Herbert von Karajan & Frank Maus","","Amazon.com Song ID: 202382157","7:10"

"Medley Overture in D minor-major (orchestration reconstructed by B. van Boer)","Patrick Gallois & Sinfonia Finlandia Jyvaskyla","","","11:56"

"Federal Overture (orchestration reconstructed by B. van Boer)","Patrick Gallois & Sinfonia Finlandia Jyvaskyla","","","10:06"

"New Medley Overture in C major (orchestration reconstructed by B. van Boer)","Patrick Gallois & Sinfonia Finlandia Jyvaskyla","","","12:21"

"New Federal Overture (orchestration reconstructed by B. van Boer)","Patrick Gallois & Sinfonia Finlandia Jyvaskyla","","","10:57"

"Miscellaneous Overture in D major (orchestration reconstructed by B. van Boer): I. Allegro","Patrick Gallois & Sinfonia Finlandia Jyvaskyla","","","3:19"

"Miscellaneous Overture in D major (orchestration reconstructed by B. van Boer): II. Andante - Allegro - Presto","Patrick Gallois & Sinfonia Finlandia Jyvaskyla","","","5:05"

"Occasional Overture in D major (orchestration reconstructed by B. van Boer): I. Moderato","Sinfonia Finlandia Jyvaskyla & Patrick Gallois","","","3:48"

"Occasional Overture in D major (orchestration reconstructed by B. van Boer): II. Andante - Allegro","Sinfonia Finlandia Jyvaskyla & Patrick Gallois","","","3:54"

"Overture in G major (orchestration reconstructed by B. van Boer): I. Allegro di molto","Patrick Gallois & Sinfonia Finlandia Jyvaskyla","","","3:57"

"Overture in G major (orchestration reconstructed by B. van Boer): II. Allegro","Patrick Gallois & Sinfonia Finlandia Jyvaskyla","","","2:34"

"Piano Concerto No. 1: III. Allegretto Vivace - Allegro Animato","Robert Hart Baker and Sinfonie Orchester Szeged","153","Amazon.com Song ID: 214343283","4:15"

"Piano Sonata No. 11 in A, K. 331 "Alla Turca": III. Alla Turca (Allegretto)","Alfred Brendel","","","3:24"

"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 “Moonlight”: I. Adagio sostenuto","Greg Maroney","","Amazon.com Song ID: 200000305626045","6:42"

"Piano Sonata No. 16 in C Major, K. 545 "Sonata facile": I. Allegro","Jenö Jando","","Amazon.com Song ID: 222728480","3:02"

"Poet And Peasant: Overture","Royal Philharmonic Orchestra","","Amazon.com Song ID: 211903486","9:56"

"Pomp and Circumstance","Edward Elgar","","Amazon.com Song ID: 236958111","4:34"

"Ponchielli: La Gioconda / Act 3 - Dance of the Hours","The National Philharmonic Orchestra & Bruno Bartoletti","83","Amazon.com Song ID: 236871518","7:34"

"Prodana nevesta (The Bartered Bride): Act III: Dance of the Comedians","London Symphony Orchestra","","Amazon.com Song ID: 203244162","5:40"

"Rhapsody in Blue","André Previn and London Symphony Orchestra","","Amazon.com Song ID: 293215008","14:50"

"Rossini: La Danza","The Clarinotts and Wiener Virtuosen Streichensemble","","Amazon.com Song ID: 265648491","4:36"

"Rule Britannia","Leonard Bernstein","","Amazon.com Song ID: 203945380","0:49"

"String Quintet in E Major, Op. 11 No. 5, G. 275: III. Minuetto "Con un poco di moto"","Fabio Biondi","","Amazon.com Song ID: 221680866","3:38"

"Symphony No.5 In C Minor, Op.67 - 1. Allegro Con Brio","Wiener Philharmoniker & Carlos Kleiber","","Amazon.com Song ID: 216988993","7:22"

"Tarantella Napoletana","Musica Popolari Italiani","","Amazon.com Song ID: 200000328197015","2:43"

"The Four Seasons, Concerto in F Major, Op. 8 No. 3, RV 293 "Autumn": I. Allegro","Richard Tognetti","89","Amazon.com Song ID: 255647346","4:57"

"The Four Seasons, Concerto No. 1 in E Major, Op. 8: RV 269, Spring - I. Allegro","Mikhail Vaiman & Chamber Orchestra of St. Petersburg Philharmonic","","Amazon.com Song ID: 228564131","3:53"

"The Ride Of The Valkyries","Royal Philharmonic Orchestra (Vernon Handley)","","Amazon.com Song ID: 223596230","5:43"

"The Skaters' waltz","Arthur Fiedler","","Amazon.com Song ID: 240647910","8:34"

"Toccata and Fugue in D Minor, BMV 565","Organ Master Orchestra","","Amazon.com Song ID: 251845443","8:08"

"Vaughan Williams: Fantasia On Greensleeves","The Boston Pops Orchestra & John Williams","","Amazon.com Song ID: 248823677","4:41"

"Verdi: La forza del destino - Overture (Sinfonia)","Orchestra dell'Accademia Nazionale di Santa Cecilia & Myung Whun Chung","","Amazon.com Song ID: 202387900","7:49"

"Verdi: Rigoletto / Act 3: "La donna è mobile"","Luciano Pavarotti & London Symphony Orchestra & Richard Bonynge","","Amazon.com Song ID: 241736040","2:24"

"Waltz No. 6 in D-Flat Major, Op. 64, No. 1","Elfrun Gabriel","","Amazon.com Song ID: 229326927","1:59"

"Zolotoy vek (The Golden Age), Op. 22: Act I: Exhibition Hall: Tahiti Trot","Moscow Chamber Orchestra","","Amazon.com Song ID: 206612591","4:17"

