Song Title,Artists,BPM,Comments,Length

"Africando","Trovador","93","Latin","4:15"

"Al Gato y Al Ratón","Banda Machos","142","90s RNB A-Sides/Latin-International/Club/DanceWMSport","2:42"

"Ana Mile (doubletime)","Grupo Niche","90","Latin","5:54"

"APRUEBA DE FUEGO","Groupo Niche","94","Latin","4:44"

"Baile Latino ","Afro-Cuban Jazz Project","88","Latin","3:48"

"Bidi Bidi Bom Bom","Selena","90","90s RNB A-Sides/Latin","3:16"

"Busca Por Dentro (doubletime)","Grupo Niche","86","Latin","5:56"

"Baile Latino "," Afro Cuban Jazz Project","88","Latin","3:48"

"Cali Pachangero.mp3","Grupo Niche","102","Latin","5:00"

"Casimira","Banda Machos","146","90s RNB A-Sides/Latin-International/Club/DanceWMSport","2:49"

"Charanga Para Ti (doubletime)","Afro Cuban Jazz Project","148","Latin","4:57"

"Cicatrices","Grupo Niche","97","Latin","6:47"

"Coge Este Tumbao","Afro Cuban Jazz Project","120","Latin","4:52"

"Cuba Havana","Afro Cuban Jazz Project","141","Latin","3:47"

"Cuban Pete","Tito Puente","114","Latin","2:26"

"Cubana","Mambo Kings","144","Latin","3:23"

"Del Puente Pa'lla","Grupo Niche","94","Latin","6:01"

"Duele Mas","Grupo Niche","89","Latin","5:19"

"El Baile del Perrito","Wilfrido Vargas","150","Latin","4:40"

"El Crimen De Culiacan","Chalino Sanchez","98","Latin","3:11"

"El Que Siembra Su Maiz (doubletime)","Afro Cuban Jazz Project","101","Latin","4:01"

"Ode To Cachao","Tito Puente","131","Latin","6:31"

"Gotas De Lluvia","Grupo Niche","98","Latin","5:58"

"Hagamos Lo Que Diga El Corazon","Grupo Niche","90","Latin","5:04"

"Han Cogido La Cosa","Grupo Niche","92","Latin","4:45"

"I Like It Like That Cha-cha","Pete Conde Rodriguez","121","Latin","4:51"

"Interes Cuanto Vales","Grupo Niche","93","Latin","5:23"

"La Culebra","Banda Machos","144","90s RNB A-Sides/Latin-International/Club/DanceWMSport","3:07"

"La Fiera","Grupo Niche","97","Latin","5:02"

"La Magia De Tus Besos","Grupo Niche","80","Latin","4:41"

"La negra tiene tumba´o (Cold Start)","Celia Cruz","110.470000","Latin","4:15"

"La NegraTiene Tumba´O (Dj Cut 2026) balance","Celia Cruz","110.470000","Latin","4:15"

"Listo Medellin","Grupo Niche","97","Latin","5:31"

"Fania Latin Jazz Party","Afro Cuban Jazz Project","100","Latin","6:01"

"Porque Dios Te Hizo Tan Bella","Grupo Niche","88","Latin","4:11"

"Putumayo "," Afro Cuban Jazz Project","93","Latin","4:15"

"Que Nunca Me Falte Tu Amor","Grupo Niche","85","Latin","4:40"

"Salsa Cubana Mix","Mix","86","Latin","11:08"

"Salsa Cubana","Elvis Crespo & Victor Manuelle","107","Latin","5:02"

"Siempre Sere","Grupo Niche feat. Tito Rojas","82","Latin","5:21"

"Sin Sentimiento","Grupo Niche","83","Latin","4:55"

"Somos Cubanos","Los Van Van ","95","Latin","4:44"

"Spanish Rumba - Instrumental- ","Carlos Santana","120","Latin","3:46"

"Una aventura","Grupo Niche","93","Latin","5:18"

"Aguanile","Hector Lavoe","125","Old School Salsa","6:09"

"Bang! Bang!","Joe Cuba","128","Old School Salsa","4:07"

"Brujeria","El Gran Combo De Puerto Rico","93","Old School Salsa","3:24"

"Che Che Cole","Willie Colon","101","Old School Salsa","3:30"

"El Cantante (93bpms)","Hector Lavoe","93","Old School Salsa","10:32"

"El Día De Mi Suerte","Hector Lavoe","100","Old School Salsa","5:26"

"La Murga","Héctor Lavoe and Willie Colon","88","Old School Salsa","5:33"

"Lloraras","Oscar D'León","95","Old School Salsa","3:44"

"Mi Gente","Hector Lavoe","106","Old School Salsa","5:31"

"Paraiso De Dulzura (116bpms)","Hector Lavoe","116","Old School Salsa","4:36"

"Periodico De Ayer","Hector Lavoe","99","Old School Salsa","6:52"

