Song Title,Artists,BPM,Comments,Length

"Asche Zu ASche","Ramstein","","                            ","3:53"

"Engel","Rammstein","","                              ","4:24"

"Enter Sandman","Metalica","124","                              ","5:32"

"King Nothing","Metallica","112","                            ","5:31"

"Snap Your Fingers...","Prong","137","                            ","4:11"

"Speedfreak  (1980's)","Motörhead","133","","3:21"

"Switchback","Biohazard","90","                            ","3:34"

"Through the Never (98bpms)","Metallica","98","                              ","4:02"

"Walk (116bpms)","Pantera","116","                            ","5:14"

"Where Ever I May Roam","Metallica","131","                              ","6:44"

