Song Title,Artists,BPM,Comments,Length

"Action - Buju Banton","Buju Banton","93","Latin Mix","3:48"

"Baby, I Love Your Way","Big Mountain","148","                            ","4:24"

"Badfish","Sublime","92","","3:07"

"Boom Bye Bye","Buju Banton","154","                            ","3:47"

"Can't Stand Losing You","The Police","142","Latin Mix","3:04"

"Caress Me Down - 79","Sublime","80","                            ","3:31"

"Champion - Buju Banton","Buju Banton","90","Latin Mix","4:00"

"Chase The Devil","Max Romeo","149","1976","3:29"

"Mood for Love","Heavy D & the Boyz","91","                            ","5:31"

"Pass the Dutchie","Musical Youth","150","                            ","3:27"

"Sinsemilla - 81","Sublime","82","                              ","2:01"

"Smoke Two Joints","Sublime","95","                              ","2:53"

"Tha Bombudd - (146bpm) (Doubletime)","DJ Quik","146","                            ","3:49"

"The Harder They Come","Jimmy Cliff","99","70s Reggae/Disco","3:40"

"Underneath It All","No Doubt","139","                            ","5:03"

"Wonderful World, Beautiful People {HQ3}","Jimmy Cliff","106","","3:14"

