
Title,Artist,Album,Year,Length,BPM


"Action - Buju Banton","Buju Banton","Buju Banton","","3:48","93"

"Baby, I Love Your Way","Big Mountain","Pure Reggae","    ","4:24","148"

"Badfish","Sublime","Greatest Hits","1999","3:07","92"

"Boom Bye Bye","Buju Banton","Champion","2001","3:47","154"

"Can't Stand Losing You","The Police","Outlandos d'Amour","1978","3:04","142"

"Caress Me Down - 79","Sublime","Sublime","1996","3:31","80"

"Champion - Buju Banton","Buju Banton","Buju Banton","","4:00","90"

"Chase The Devil","Max Romeo","Max Romeo","    ","3:29","149"

"Mood for Love","Heavy D & the Boyz","Big Tyme","1989","5:31","91"

"Pass the Dutchie","Musical Youth","Just Can't Get Enough: New Wave Hits of the 80's, Vol. 7","1994","3:27","150"

"Sinsemilla - 81","Sublime","Sublime;","    ","2:01","82"

"Smoke Two Joints","Sublime","     ","    ","2:53","95"

"Tha Bombudd - (146bpm) (Doubletime)","DJ Quik","Quik Is the Name","1991","3:49","146"

"The Harder They Come","Jimmy Cliff","The Harder They Come (Original Motion Picture Soundtrack)","1972","3:40","99"

"Underneath It All","No Doubt","The Singles","2003","5:03","139"

"Wonderful World, Beautiful People {HQ3}","Jimmy Cliff","","","3:14","106"
