Song Title,Artists,BPM,Comments,Length

"African (Dj Cut 2022)","Peter Tosh","149","70s Reggae","3:44"

"Brand New Second Hand","Peter Tosh","147","70s Reggae","4:05"

"Bumbo Klaat (doubletime)","Peter Tosh","154","80s Reggae","5:27"

"Bush Doctor","Peter Tosh","129","70s Reggae/Disco","4:12"

"Downpressor Man (Dj Cut 2022) (4 phrase)","Peter Tosh","149","70s Reggae/Disco/Dance ++","6:26"

" Equal Rights (Slow Start)","Peter Tosh","152","70s Reggae/Disco/Dance ++","6:00"

"I Am That I Am","Peter Tosh","146","70s Reggae/Disco/Dance ++","4:33"

"I Am That I Am (doubletime)","Peter Tosh","146","70s Reggae/Disco/Dance ++","4:28"

"Jah Guide (Dj Special 2022)(4 phrase)","Peter Tosh","147","70s Reggae/Disco","4:29"

"Ketchy Shuby (Dj Special 2022)(4 phrase)","Peter Tosh","154","70s Reggae/Disco/Dance ++","5:02"

"Legalize It (Dj cut 2022)(4 phrase)","Peter Tosh","143","70s Reggae/Disco/Dance ++","4:46"

"Mama Africa","Peter Tosh","95","80s Reggae","5:47"

"Mr. Brown","Peter Tosh and Bob Marley","92","70s Reggae","3:34"

"No Symapthy (Peter Tosh)(Dj Cut 2022)(4 phrase doubletime)","Peter Tosh","158","70s Reggae/Disco/Dance ++","4:44"

"Rastafari Is (doubletime)","Peter Tosh","145","80s Reggae","6:32"

"Stepping Razor","Peter Tosh","130","70s Reggae/Disco","5:50"

"Whatcha Gonna Do (Peter Tosh)(Dj cut 2022)(4 phrase)","Peter Tosh","146","70s Reggae/Disco/Dance ++","2:34"

"Why Must I Cry (Peter Tosh)(Dj Special 2022)(4 phrase)","Peter Tosh","156","70s Reggae/Disco/Dance ++","3:12"

