
Title,Artist,Album,Year,Length,BPM


"(I Can't Get No) Satisfaction ","The Rolling Stones","The Rolling Stones","    ","3:42","136"

"(Oh) Pretty Woman (2015 Remaster)","Van Halen","The Collection","2015","2:53","128"

"24K Magic (Clean)","Bruno Mars","24K Magic (Clean)","    ","3:46",""

"ABC (Tempo Adjusted) (Doubletime)","The Jackson 5","20th Century Masters - The Millennium Collection: The Best of Jackson 5","1999","2:59","93"

"Aint Goin Down Till The Sun Comes Up - 170","Garth Brooks","Garth Brooks","    ","3:02","85"

"Ain't Talkin' 'Bout Love","Van Halen","Very Best Of CD1","1999","3:50","139"

"Ain't Too Proud to Beg","The Temptations","Greatest Hits, Vol. 1","1966","2:33","119"

"All Right Now","Free","Back To The 70's","1987","4:14","120"

"All Shook up - 150","Elvis Presley","All Shook up","1957","1:59","150"

"All Stars (Dj Cut)","Smash Mouth","Smash Mouth","    ","3:38","104"

"All The Way Up (feat. French Montana & Infared)","Fat Joe & Remy Ma","All The Way Up (feat. French Montana & Infared) - Single","2016","3:12","87"

"America, The Beautiful","Ray Charles","Ray Charles","    ","3:35","126"

"American Girl (4 Phrase)","Tom Petty","Greatest Hits","    ","3:30","114"

"American Honky Tonk Bar Association","Garth Brooks","Rope The Wind","","3:33","152"

"Another one bites the dust","Queen","Awesome 80's, Vols. 1-3","2003","3:36","110"

"Ante Up (Robbin Hoodz Theory) [Clean]","M.O.P.","B2K Presents "You Got Served" Soundtrack [Clean]","2003","3:53","94"

"Apache","The Sugarhill Gang","The Sugar Hill Records Story","2009","6:13","115"

"Are You Gonna Be My Girl (4 Phrase)","Jet","Get Born","    ","3:34","105"

"Are You Gonna Go My Way","Lenny Kravitz ","Lenny Kravitz","","3:32","129"

"Automatic Ft Fabulous (RadioEdit)","E-40","E-40","","4:18","96"

"Aw Naw","Chris Young","Chris Young","    ","3:11","110"

"Axel F (From "Beverly Hills Cop" Soundtrack)","Harold Faltermeyer","Beverly Hills Cop: Music From The Motion Picture Soundtrack","1984","3:05","117"

"Baby Got Back  (Dj Cut)","Sir Mix-A-Lot","Sir Mix-A-Lot","","4:05","128"

"Baby I'm A Star","Prince","Purple Rain [Explicit]","1990","4:24","138"

"Back in Black","AC/DC","Back in Black","1980","4:15","91"

"Bad Boy For Life (Radio Edit)","P Diddy","Bad Boy For Life(Feat Mark Cur","2001","4:11","90"

"Beat It","Michael Jackson","Thriller","1982","4:18","138"

"Bebot ","The Black Eyed Peas","The Black Eyed Peas","","3:30","107"

"Been Caught Stealing ","Jane's Addiction","Ritual de lo Habitual","1990","3:34","103"

"Beware of the Boys","Jay-Z","Jay-Z","","3:57","98"

"Black or White (Class Edit)","Michael Jackson","Michael Jackson","","3:21","115"

"Block Rockin' Beats","The Chemical Brothers","Block Rockin' Beats","","3:36","109"

"Blow the Whistle [Clean]","Too $hort","Blow The Whistle [Clean]","2006","2:43","100"

"Bohemian Rhapsody FULL SONG","Queen","A Night at the Opera (2011 Expanded Reissue)","    ","5:54","141"

"Boogie Wonderland","Earth, Wind & Fire","The Best of Earth, Wind & Fire, Vol. 2","1988","4:46","132"

