Song Title,Artists,BPM,Comments,Length

"1,2 Step (Mixed)","Ciara","114","Womens Sports 2000s Pop","3:17"

"9 To 5 (Tempo Adjusted) (106bpm)2.0","Dolly Parton","106","Womens Sports 80s Country","2:43"

"99 Luftballons (german) - 193","Nena","96","Womens Sports 80s Rock","3:54"

"100% Pure Love +","Crystal Waters","120","Womens Sports 90s Club                 ","3:08"

"Afro Puffs (Class Edit)","Lady Of Rage","","Womens Sports 90s Rap","4:45"

"Ain't Too Proud To Beg","TLC","108","Womens Sports 90s RNB","5:49"

"All About That Bass [Clean Version] (Doubletime)","Meghan Trainor","134","Womens Sports 2010s Rap","3:12"

"All I Want To Do Is Have Some Fun (Dj Special 2024)","Sheryl Crow","120","Womens Sports 90s Rock","4:41"

"All That She Wants","Ace of Base","93","Womens Sports 90s Rock","3:31"

"Alright","Janet Jackson","111","Womens Sports 80s RNB","4:38"

"Jump (Jv Womens)- American Woman ","The Guess Who","93","Womens Sports 70s Rock","3:40"

"American Woman","The Guess Who","92","Womens Sports 70s Rock","3:40"

"Any Man Of Mine (Double Time)","Shania Twain","156","Womens Sports 90s Country","4:07"

"APT.","ROSÉ & Bruno Mars","149","Womens Sports 2020s Pop","2:50"

"Bad Girls","Donna Summer","120","Womens Sports 70s Disco","4:55"

"bad guy","Billie Eilish","134","Womens Sports 2010s Rock","3:14"

"Bad Reputation","Joan Jett & The Blackhearts","","Womens Sports 80s Rock","2:48"

"Bad Romance ","Lady Gaga","119","Womens Sports 2000s Pop","5:04"

"Balam Pichkari","Pritam, Vishal Dadlani & Shalmali Kholgade","120","Womens Sports 2020s International","4:32"

"Bidi Bidi Bom Bom (Dj Cut 2024)","Selena","90","Womens Sports 90s RNB","3:29"

"Boogie Oogie Oogie","A Taste of Honey","125","Womens Sports 70s Disco","6:24"

"Boogie Woogie Bugle Boy","The Andrews Sisters","98","Womens Sports 40s 50s Jazz and Big Band","2:17"

"Break My Heart","Dua Lipa","","Womens Sports 2010s Pop","3:42"

"Brick House","The Commodores","107","Womens Sports 70s Disco","3:27"

"California Girls (David Lee Roth)","David Lee Roth","","Womens Sports 80s Rock","2:29"

"California Girls (DJ Special 2024)","Katy Perry","125","Womens Sports 2010s Rap","4:02"

"Call Me - Blondie","Blondie","142","Womens Sports 70s Disco","3:32"

"Call Me Maybe (Dj cut 2022)","Carly Rae Jepsen","120","Womens Sports 2010s Rap","3:17"

