
Title,Artist,Album,Year,Length,BPM


"Babylon The Bandit","Steel Pulse","Smash Hits","","5:04","84"

"Blues Dance Raid (4 phrase doubletime)","Steel Pulse","Smash Hits!","2005","4:53","82"

"Bodyguard (4 Phrase)","Steel Pulse","Smash Hits","","4:29","80"

"Chant a Psalm","Steel Pulse","Smash Hits","","4:26","111"

"Drug Squad (Dj Special 2024)(4 phrase)","Steel Pulse","Best Of Steele Pulse","","3:48","137"

"Earth Crisis (4 phrase doubletime)","Steel Pulse","Smash Hits","","4:57","88"

"Handsworth Revolution","Steel Pulse","Best Of Steele Pulse","","5:23","118"

"Ku Klux Klan","Steel Pulse","Best Of Steele Pulse","","3:35","128"

"Lego Beast","Steel Pulse","Smash Hits","","3:40","150"

"Not King James Version (looper 8ct)","Steel Pulse","Smash Hits","","4:09","82"

"Prodigal Son","Steel Pulse","Reggae Greats","","5:07","124"

"Ravers (Doubletime) (4 phrase)","Steel Pulse","Smash Hits","","3:55","158"

"Reggae Fever (Doubletime)","Steel Pulse","Best Of Steele Pulse","","3:26","149"

"Roller Skates (Doubletime)","Steel Pulse","Smash Hits","","4:48","81"

"Soldiers","Steel Pulse","Best Of Steele Pulse","","4:37","133"

"Sound System (Dj Cut 2024) [4 Phrase]","Steel Pulse","Best Of Steele Pulse","","3:10","130"

"State of Emergency","Steel Pulse","Best Of Steele Pulse","","4:56","95"

"Steppin Out (4 Phrase)","Steel Pulse","Smash Hits","","3:55","145"

"Tight Rope (Dj Cut 2024)","Steel Pulse","","","4:09","92"

"Worth His Weight In Gold (Rally Round) (Doubletime)","Steel Pulse","Smash Hits!","","4:31","156"

"Your House (Doubletime)","Steel Pulse","Smash Hits","","3:42","154"
