
Title,Artist,Album,Year,Length,BPM


"American Bandstand (Bandstand Boogie) (92bpm)","Barry Manilow","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:25","0"

"Auld Lang Syne (New Years Eve)","Guy Lombardo","Auld Lang Syne","1993","1:03",""

"Cheers (Where Everybody Knows Your Name)","Judy Hart Angelo","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:06","93"

"Come On Get Happy (The Partridge Family Theme)","David Cassidy","Come On Get Happy! The Very Best Of The Partridge Family","2005","1:06","142"

"Entertainment Tonight","Michael Mark","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:29","153"

"Fat Albert and the Cosby Kids","Ed Fournier/Michael Gray","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:05","102"

"Gimme a Break","Soundtrack","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","0:54","134"

"Good Times","Dave Grusin","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","0:50","123"

"Happy Days","Norman Gimbel","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:16","95"

"Hawaii Five-o (Remaster)","The Ventures","The Ventures","    ","1:49","84"

"Hill Street Blues","Mike Post","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:19","94"

"Inspector Gadget","Soundtrack","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:15","102"

"James Bond Theme Song (Remaster)","James Bond Theme Song","James Bond Theme Song","1999","1:44","142"

"Knight Rider","Knight Rider","Knight Rider","1996","1:18","115"

"Laverne and Shirley (Making Our Dreams Come True)","Soundtrack","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:19","82"

"Linus And Lucy","Vince Guaraldi Trio","Peanuts Greatest Hits (Music From The TV Specials)","2015","3:06","82"

"Love Boat","P. Williams","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:37","118"

"Miami Vice Theme (Remaster)","Miami Vice Theme","Miami Vice Theme","2002","1:02","116"

"One Day at a Time","Nancy Barry","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","0:53","93"

"Sanford & Son Theme (The Streetbeater)","Quincy Jones","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","0:56","115"

"A Noun is a Person, Place or Thing","Schoolhouse Rock!","Schoolhouse Rock!","","2:53","116"

"Conjunction Junction (8ct Looper)","Schoolhouse Rock!","Schoolhouse Rock!","1998","3:00","116"

"Electricity","Schoolhouse Rock!","Schoolhouse Rock!","","2:59","89"

"Energy Blues","Schoolhouse Rock!","Schoolhouse Rock!","","2:56",""

"I'm Just A Bill","Schoolhouse Rock!","Schoolhouse Rock!","","2:58","114"

"Schoolhouse Rock! - Intro","Schoolhouse Rock!","Schoolhouse Rock!","","0:12","90"

"Lolly Lolly Lolly Get Your Adverbs Here","Schoolhouse Rock!","Schoolhouse Rock!","","2:58","136"

"The Shot Heard 'Round the World","Schoolhouse Rock!","Schoolhouse Rock!","","2:59","105"

"Verb! That's What's Happening","Schoolhouse Rock!","Schoolhouse Rock!","","2:59","100"

"Soul Bossa Nova Ft. Austin Powers (Clean)","Harry Belafonte Vs Austin Powers","Harry Belafonte Vs Austin Powers","","8:19","153"

"Soul Bossa Nova Ft Austin Powers (PG13)","Harry Belafonte Vs Austin Powers","Harry Belafonte Vs Austin Powers","","8:19","153"

"Suki Yaki Hot Saki Sue","Raw Dog","The Last Dragon Soundtrack","","1:28","134"

"The A-Team","Pete Carpenter","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:40","119"

"The A-Team","Pete Carpenter","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:40","119"

"Theme From The Dukes Of Hazzard","Waylon Jennings","The Dukes Of Hazzard","    ","2:09","148"

"The Facts of Life","Al Burton","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","0:54","93"

"The Greatest American Hero (Believe It or Not)","Soundtrack","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:47","119"

"The Jeffersons (Movin' on Up)","Soundtrack","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:10","92"

"The Muppet Show","Soundtrack","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:12","114"

"The Smurfs","Joseph Barbera","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:03","115"

"Theme from S.W.A.T.","Barry de Vorzon","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:14","110"

"Three's Company","Don Nicholl","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:01","153"

"Welcome Back, Kotter (Welcome Back)","John Sebastian","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","0:58","109"

"WKRP in Cincinnati","Thomas Wells","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","0:45","112"

"Wonder Woman","Charles Fox","Television's Greatest Hits, Vol. 3  (70's & 80's)","1990","1:38","125"
