Song Title,Artists,BPM,Comments,Length

"American Bandstand (Bandstand Boogie) (92bpm)","Barry Manilow","0","                            ","1:25"

"Auld Lang Syne (New Years Eve)","Guy Lombardo","","Amazon.com Song ID: 202668255","1:03"

"Cheers (Where Everybody Knows Your Name)","Judy Hart Angelo","93","                            ","1:06"

"Come On Get Happy (The Partridge Family Theme)","David Cassidy","142","Amazon.com Song ID: 206146690","1:06"

"Entertainment Tonight","Michael Mark","153","                            ","1:29"

"Fat Albert and the Cosby Kids","Ed Fournier/Michael Gray","102","                            ","1:05"

"Gimme a Break","Soundtrack","134","                            ","0:54"

"Good Times","Dave Grusin","123","                            ","0:50"

"Happy Days","Norman Gimbel","95","                            ","1:16"

"Hawaii Five-o (Remaster)","The Ventures","84","                              ","1:49"

"Hill Street Blues","Mike Post","94","                            ","1:19"

"Inspector Gadget","Soundtrack","102","                            ","1:15"

"James Bond Theme Song (Remaster)","James Bond Theme Song","142","                            ","1:44"

"Knight Rider","Knight Rider","115","                            ","1:18"

"Laverne and Shirley (Making Our Dreams Come True)","Soundtrack","82","                            ","1:19"

"Linus And Lucy","Vince Guaraldi Trio","82","Amazon.com Song ID: 260500481","3:06"

"Love Boat","P. Williams","118","                            ","1:37"

"Miami Vice Theme (Remaster)","Miami Vice Theme","116","                            ","1:02"

"One Day at a Time","Nancy Barry","93","                            ","0:53"

"Sanford & Son Theme (The Streetbeater)","Quincy Jones","115","                            ","0:56"

"A Noun is a Person, Place or Thing","Schoolhouse Rock!","116","","2:53"

"Conjunction Junction (8ct Looper)","Schoolhouse Rock!","116","Top Act","3:00"

"Electricity","Schoolhouse Rock!","89","","2:59"

"Energy Blues","Schoolhouse Rock!","","","2:56"

"I'm Just A Bill","Schoolhouse Rock!","114","","2:58"

"Schoolhouse Rock! - Intro","Schoolhouse Rock!","90","","0:12"

"Lolly Lolly Lolly Get Your Adverbs Here","Schoolhouse Rock!","136","","2:58"

"The Shot Heard 'Round the World","Schoolhouse Rock!","105","","2:59"

"Verb! That's What's Happening","Schoolhouse Rock!","100","","2:59"

"Soul Bossa Nova Ft. Austin Powers (Clean)","Harry Belafonte Vs Austin Powers","153","","8:19"

"Soul Bossa Nova Ft Austin Powers (PG13)","Harry Belafonte Vs Austin Powers","153","","8:19"

"Suki Yaki Hot Saki Sue","Raw Dog","134","","1:28"

"The A-Team","Pete Carpenter","119","                            ","1:40"

"The A-Team","Pete Carpenter","119","                            ","1:40"

"Theme From The Dukes Of Hazzard","Waylon Jennings","148","                              ","2:09"

"The Facts of Life","Al Burton","93","                            ","0:54"

"The Greatest American Hero (Believe It or Not)","Soundtrack","119","                            ","1:47"

"The Jeffersons (Movin' on Up)","Soundtrack","92","                            ","1:10"

"The Muppet Show","Soundtrack","114","                            ","1:12"

"The Smurfs","Joseph Barbera","115","                            ","1:03"

"Theme from S.W.A.T.","Barry de Vorzon","110","                            ","1:14"

"Three's Company","Don Nicholl","153","                            ","1:01"

"Welcome Back, Kotter (Welcome Back)","John Sebastian","109","                            ","0:58"

"WKRP in Cincinnati","Thomas Wells","112","                            ","0:45"

"Wonder Woman","Charles Fox","125","                            ","1:38"

